,reference,等权 · 无质量约束,等权 · direct,等权 · direct+near,保护最差目标
pile_cc,11.948759779188562,18.330652636914337,13.688561723375765,19.172345780572854,26.36275621400391
dm_mathematics,2.54628540970504,22.439151638241654,21.21251175433621,18.572598130230105,1.810995909854222
arxiv,11.30225258326928,0.22393861927769462,16.867280705544285,17.869920201683478,11.832612696052545
ubuntu_irc,1.9599998284005893,16.06219251996456,11.801114296901606,11.851699679608991,2.4996757572985735
github,11.070066007050915,15.607242862210121,15.448280229188926,13.415542047332094,8.771298261561364
pubmed_central,11.375419105058358,6.367609731935331,4.452552436673016,3.7951162017088182,10.859362143507422
stackexchange,9.943242344413017,0.12254294900538,0.0,0.1788877085299553,3.510812624190475
freelaw,9.682483215202781,1.7661617348021952,1.3097279222992668,1.026877458112145,5.255041162032578
gutenberg_pg_19,4.691494424753537,8.33382872235974,6.754666864123035,5.452857072523385,0.7439673338001414
uspto_backgrounds,7.556475309333588,0.2853918035908225,0.14552532469991855,0.48813543136297316,7.5893348417793
wikipedia_en,7.5077756079836275,0.009736461707725854,0.0,0.3740379360171793,3.438422231232379
pubmed_abstracts,6.618116611257162,0.2777893079901074,0.1411435300751388,0.12949437011215428,6.399650922774002
nih_exporter,0.5889680217095951,5.323336571687397,3.929183766897801,3.2269950449518525,1.3780615964547211
hackernews,1.1650822378108678,3.8855272260926546,3.585406283151979,2.7704814829860713,3.895146650308592
philpapers,0.5487697351193036,0.8421477505041686,0.5956642950078749,1.228527895811504,3.5715703635171416
europarl,1.273706475403153,0.12103557631744145,0.0,0.016262518957268667,1.5752856193327787
enron_emails,0.2211033043406226,0.0017138873986766432,0.06838086772517953,0.430221039499168,0.5060056722998779
