,freelaw*arxiv,freelaw*pubmed_central,freelaw*github,freelaw*pile_cc,arxiv*pubmed_central,arxiv*github,arxiv*pile_cc,pubmed_central*github,pubmed_central*pile_cc,github*pile_cc
arxiv,-1.6236300099218448,-0.6595750539993168,-0.4419029803904981,-0.876722572159939,-1.0037671492223343,-2.494997566813572,-2.52637687125559,-0.7932357236609636,-0.7665047560207948,-0.049750742751649035
freelaw,-1.4797908072959851,-1.4683091654705103,-1.3854787139443145,-0.7553375481189979,-0.19903578503276875,-1.0028907496955592,-0.6954598713139546,-0.6631155708137011,-0.5211915975634032,-0.22182218110700155
pubmed_central,-0.2575371467445889,-1.4752271135111048,-0.407413322040121,-0.4569883488196938,-1.0534499180858998,-1.1427168268802155,-0.6374409966222386,-1.6224739270661555,-1.6767090130437288,-0.060665971625127255
wikipedia_en,-0.0069220106821560375,-0.04900413633161831,-0.06098064607164084,-0.21274859824293174,-0.02798796011689319,-0.10143425510989161,-0.24507847085746823,-0.28267988722253085,-0.24754417069395007,-0.23648239479510003
dm_mathematics,-0.9936243470775462,-0.9303906368719467,0.1987365711383129,-0.4305620538867055,-0.15250375197730012,-0.8236762400741363,-0.9968314542068486,0.2902673378932049,0.04561990519438737,0.4083205475141425
github,0.15013756537170045,-0.2063551768652525,-1.6842524378414492,-0.23411103461319857,-0.9047373423869778,-2.9246609033393947,-0.4590593489495348,-2.620921118247634,-0.9300779029438893,-1.7281815858155458
stackexchange,0.2380667658976694,-0.1839889727832803,-0.6814372522682487,-0.29668245238782254,-0.38227572792239917,-1.2893507961293387,-0.5618029357999023,-1.2324322035919757,-0.9394180279748992,-0.6355704539470814
gutenberg_pg_19,-0.2531779722258162,-0.2891426573052487,-0.12268698068911783,-0.18562368580365257,-0.015009433920543517,-0.2143822314102562,-0.4526214763275039,-0.08993527416210824,-0.4732789446882273,-0.2518347876530205
pile_cc,-0.06957863808183655,-0.21614462832452155,-0.13405199309270116,-0.4306858093758897,-0.01844288211022062,-0.16683802060700634,-0.5392031863866733,-0.23030235537567256,-0.5657359777500267,-0.42711762833392797
ubuntu_irc,-0.19946003954864755,-0.4310827883689333,-0.13113288751711694,-0.31068337341551083,-0.640976483458656,-0.9035346095093533,-0.25499708359579415,-0.6175727874896528,-0.5886557813542781,-0.41206759956000283
hackernews,0.016762973700878724,-0.24066672936913888,-0.09434970687556833,-0.19798200477125316,-0.015532094127527289,-0.14073566827634287,-0.42730890370650104,-0.20751524812345634,-0.5647911343671699,-0.2027503970968273
pubmed_abstracts,0.0338457922706093,-0.30980408596581127,-0.021443019513858897,-0.14654272455160122,-0.3423781436556307,-0.3140403279583603,-0.08605340106846339,-0.49881781919887036,-0.24035756814973103,0.00523325526679486
uspto_backgrounds,0.03878198124813722,-0.11737481255595851,-0.20879953361931355,-0.12156632406999633,-0.06836613564751076,-0.21844843550181314,-0.14499987161263125,-0.2878936137396053,-0.13986605973035798,-0.059564342047120016
