repeat,policy,selected_index,frozen_selected_index,same_as_frozen,refit_regret_using_frozen_choice,frozen_regret_using_refit_choice,selected_feature_domains,chosen_alpha_13
0,unconstrained,136,136,True,0.0,0.0,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
0,quality_direct,84,301,False,0.0019818819451364877,0.010177373071483344,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
0,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
0,minimax,367,477,False,0.011157984847270486,0.008278341016680901,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
1,unconstrained,136,136,True,0.0,0.0,freelaw|stackexchange|pubmed_central|arxiv|pile_cc,0.01|0.01|0.01|0.1|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1
1,quality_direct,84,301,False,0.0382517064283149,0.010177373071483344,freelaw|stackexchange|pubmed_central|arxiv|pile_cc,0.01|0.01|0.01|0.1|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1
1,quality_direct_and_near,84,172,False,0.014475422648169423,0.0256261008610291,freelaw|stackexchange|pubmed_central|arxiv|pile_cc,0.01|0.01|0.01|0.1|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1
1,minimax,403,477,False,0.08943712739249099,0.04588796442219323,freelaw|stackexchange|pubmed_central|arxiv|pile_cc,0.01|0.01|0.01|0.1|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1
2,unconstrained,136,136,True,0.0,0.0,stackexchange|arxiv|pubmed_central|pile_cc|github,0.01|0.1|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
2,quality_direct,84,301,False,0.02317919329041601,0.010177373071483344,stackexchange|arxiv|pubmed_central|pile_cc|github,0.01|0.1|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
2,quality_direct_and_near,84,172,False,0.011292721074969897,0.0256261008610291,stackexchange|arxiv|pubmed_central|pile_cc|github,0.01|0.1|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
2,minimax,125,477,False,0.09087696988961391,0.03156317656457963,stackexchange|arxiv|pubmed_central|pile_cc|github,0.01|0.1|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
3,unconstrained,136,136,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.001|0.01|0.01|0.1|0.1
3,quality_direct,477,301,False,0.004346911040801912,6.151112186358193e-05,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.001|0.01|0.01|0.1|0.1
3,quality_direct_and_near,384,172,False,0.004221511872394362,0.003407985373192826,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.001|0.01|0.01|0.1|0.1
3,minimax,477,477,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.001|0.01|0.01|0.1|0.1
4,unconstrained,125,136,False,0.0037296644906407023,0.05382880006847719,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
4,quality_direct,129,301,False,0.0376176305422489,0.04024356504195853,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
4,quality_direct_and_near,129,172,False,0.023013245156887054,0.055692292831504286,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
4,minimax,125,477,False,0.020563755574078302,0.03156317656457963,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
5,unconstrained,136,136,True,0.0,0.0,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
5,quality_direct,84,301,False,0.024700208043743906,0.010177373071483344,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
5,quality_direct_and_near,84,172,False,0.01686973007583492,0.0256261008610291,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
5,minimax,97,477,False,0.01540850887328804,0.0025900536515444106,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
6,unconstrained,136,136,True,0.0,0.0,arxiv|stackexchange|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
6,quality_direct,84,301,False,0.0199877482327434,0.010177373071483344,arxiv|stackexchange|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
6,quality_direct_and_near,84,172,False,0.013318843519194164,0.0256261008610291,arxiv|stackexchange|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
6,minimax,367,477,False,0.02910106227212239,0.008278341016680901,arxiv|stackexchange|pubmed_central|github|pile_cc,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
7,unconstrained,136,136,True,0.0,0.0,freelaw|arxiv|pile_cc|pubmed_central|github,0.1|0.01|0.1|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
7,quality_direct,301,301,True,0.0,0.0,freelaw|arxiv|pile_cc|pubmed_central|github,0.1|0.01|0.1|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
7,quality_direct_and_near,384,172,False,0.002485568392179352,0.003407985373192826,freelaw|arxiv|pile_cc|pubmed_central|github,0.1|0.01|0.1|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
7,minimax,97,477,False,0.00696427361027796,0.0025900536515444106,freelaw|arxiv|pile_cc|pubmed_central|github,0.1|0.01|0.1|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
8,unconstrained,136,136,True,0.0,0.0,stackexchange|arxiv|github|pubmed_central|pile_cc,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
