axis,held_level,selected_ridge,inner_mean_rmse,outer_rmse,held_rows
N_params_B,0.07,0.01,"{'0.0': 0.047275189987999164, '0.001': 0.047275183162089604, '0.01': 0.04727512183222453}",0.060776582427896145,50
N_params_B,0.16,0.0,"{'0.0': 0.048581755672842286, '0.001': 0.0485817599171866, '0.01': 0.048581798209796176}",0.05025530400327927,50
N_params_B,0.41,0.0,"{'0.0': 0.0485558443399695, '0.001': 0.048555845756127765, '0.01': 0.04855585856257619}",0.050587109207872405,50
N_params_B,0.7,0.0,"{'0.0': 0.049834934012081486, '0.001': 0.04983493410083853, '0.01': 0.049834934954943066}",0.0402626566552898,50
N_params_B,1.0,0.01,"{'0.0': 0.04861681086644585, '0.001': 0.04861680957497523, '0.01': 0.048616798009566906}",0.049574318806836735,50
N_params_B,2.8,0.01,"{'0.0': 0.04894006048266968, '0.001': 0.04894005819915502, '0.01': 0.048940037707709605}",0.047878982489775894,50
N_params_B,4.0,0.01,"{'0.0': 0.04912935457631261, '0.001': 0.04912934922039616, '0.01': 0.049129301085164875}",0.0467470649962004,50
N_params_B,6.9,0.01,"{'0.0': 0.04942100448966954, '0.001': 0.04942100009636524, '0.01': 0.04942096063088894}",0.042655902973028,50
N_params_B,11.97,0.0,"{'0.0': 0.04856190581916425, '0.001': 0.048561911266312374, '0.01': 0.04856196037447934}",0.049907066745216465,50
D_tokens_B,10.0,0.01,"{'0.0': 0.04587746700161223, '0.001': 0.045877459019689155, '0.01': 0.045877387329422675}",0.05967568393628943,90
D_tokens_B,50.0,0.0,"{'0.0': 0.047290167083750265, '0.001': 0.047290194896301145, '0.01': 0.0472904453144374}",0.052963005286551276,90
D_tokens_B,150.0,0.0,"{'0.0': 0.0490995466473104, '0.001': 0.04909954955809155, '0.01': 0.049099575818925614}",0.047940208610359365,90
D_tokens_B,300.0,0.01,"{'0.0': 0.050471696490231706, '0.001': 0.05047169007744191, '0.01': 0.050471632451570006}",0.04268997653984226,90
D_tokens_B,600.0,0.0,"{'0.0': 0.051187662124490184, '0.001': 0.051187664276744656, '0.01': 0.05118768370093522}",0.04048486986956206,90
Q_score,0.1,0.01,"{'0.0': 0.049392801593524126, '0.001': 0.04939279711806176, '0.01': 0.04939275690169878}",0.04338701982110216,45
Q_score,0.2,0.0,"{'0.0': 0.04885351294725361, '0.001': 0.048853513184846695, '0.01': 0.04885351539044968}",0.04674692036993887,45
Q_score,0.3,0.01,"{'0.0': 0.048914330129444364, '0.001': 0.04891433010886099, '0.01': 0.04891432997896459}",0.04702032464852238,45
Q_score,0.4,0.01,"{'0.0': 0.04796441777742658, '0.001': 0.04796441528242037, '0.01': 0.04796439288867071}",0.05420103940659249,45
Q_score,0.5,0.01,"{'0.0': 0.049465270951558366, '0.001': 0.04946527034819554, '0.01': 0.049465264969185754}",0.041539446495642465,45
Q_score,0.6,0.0,"{'0.0': 0.04784453225612754, '0.001': 0.047844532466224124, '0.01': 0.047844534404228985}",0.05612728031635688,45
Q_score,0.7,0.01,"{'0.0': 0.04950036379298401, '0.001': 0.04950036378518035, '0.01': 0.04950036375926019}",0.04112463386236117,45
Q_score,0.8,0.0,"{'0.0': 0.04847160556094745, '0.001': 0.048471606249737335, '0.01': 0.04847161249143156}",0.05024853989821429,45
Q_score,0.9,0.01,"{'0.0': 0.048334090052734285, '0.001': 0.04833408892308242, '0.01': 0.04833407880048213}",0.051402226476628725,45
Q_score,1.0,0.01,"{'0.0': 0.04797745777021895, '0.001': 0.04797745740202148, '0.01': 0.047977454131241874}",0.054589314210032595,45
