scenario,Q0,quality_bridge_scale,mixture_bridge_lambda,budget_FLOPs,context_tokens,quality_family,status,eligible_observed_recipes,feasible_observed_recipes,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,conditional_bridge_loss,C_total_FLOPs
baseline,0.5,1.0,1.0,1e+19,2048,exponential,conditional_v8_fixed_policy_feasible,87,47,172,0.09973756999408563,10.0,0.6713607648391644,3.081021893272243,1e+19
baseline,0.5,1.0,1.0,1e+19,2048,power,conditional_v8_fixed_policy_feasible,87,26,477,0.10399881732943643,10.0,0.5995154272811548,3.1551319128943502,1e+19
baseline,0.5,1.0,1.0,1e+19,2048,logarithmic,conditional_v8_fixed_policy_feasible,87,37,477,0.10813211639645467,10.0,0.5995154272811548,3.1446762412516907,1e+19
baseline,0.5,1.0,1.0,1e+19,8192,exponential,conditional_v8_fixed_policy_feasible,87,40,172,0.08369264880525912,10.0,0.6713607648391644,3.1288356220616755,1e+19
baseline,0.5,1.0,1.0,1e+19,8192,power,conditional_v8_fixed_policy_feasible,87,22,477,0.08726838337279479,10.0,0.5995154272811548,3.2037856092798376,1e+19
baseline,0.5,1.0,1.0,1e+19,8192,logarithmic,conditional_v8_fixed_policy_feasible,87,28,477,0.0907367528873476,10.0,0.5995154272811548,3.1927431471808547,1e+19
baseline,0.5,1.0,1.0,1e+19,131072,exponential,infeasible_within_v8_support,87,0,,,,,,
baseline,0.5,1.0,1.0,1e+19,131072,power,infeasible_within_v8_support,87,0,,,,,,
baseline,0.5,1.0,1.0,1e+19,131072,logarithmic,infeasible_within_v8_support,87,0,,,,,,
baseline,0.5,1.0,1.0,1e+22,2048,exponential,conditional_v8_fixed_policy_feasible,87,87,172,7.217669544123998,214.48596704955614,0.6713607648391644,2.08036873083266,1e+22
baseline,0.5,1.0,1.0,1e+22,2048,power,conditional_v8_fixed_policy_feasible,87,87,172,7.291455104688068,210.7989031187745,0.6713607648391644,2.0809295649309942,1e+22
baseline,0.5,1.0,1.0,1e+22,2048,logarithmic,conditional_v8_fixed_policy_feasible,87,87,172,7.2483504789377635,212.94047673908793,0.6713607648391644,2.0806016512985654,1e+22
baseline,0.5,1.0,1.0,1e+22,8192,exponential,conditional_v8_fixed_policy_feasible,87,87,172,6.598901990599592,196.9831051104279,0.6713607648391644,2.0938941263769473,1.0000000000000002e+22
baseline,0.5,1.0,1.0,1e+22,8192,power,conditional_v8_fixed_policy_feasible,87,87,172,6.660655431364221,193.8735311891349,0.6713607648391644,2.094421151267308,1e+22
baseline,0.5,1.0,1.0,1e+22,8192,logarithmic,conditional_v8_fixed_policy_feasible,87,87,172,6.624569551985024,195.68106406170244,0.6713607648391644,2.0941129377533003,1e+22
baseline,0.5,1.0,1.0,1e+22,131072,exponential,conditional_v8_fixed_policy_feasible,87,87,172,3.199313927343033,96.68870141198036,0.6713607648391644,2.2176260815641102,1e+22
baseline,0.5,1.0,1.0,1e+22,131072,power,conditional_v8_fixed_policy_feasible,87,87,172,3.213619683761294,95.94341980261542,0.6713607648391644,2.2179393990608167,1e+22
baseline,0.5,1.0,1.0,1e+22,131072,logarithmic,conditional_v8_fixed_policy_feasible,87,87,172,3.2052463047632447,96.37853824588281,0.6713607648391644,2.2177559355068994,1.0000000000000002e+22
baseline,0.5,1.0,1.0,1e+24,2048,exponential,conditional_v8_fixed_policy_feasible,87,87,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.3108817111892697e+22
baseline,0.5,1.0,1.0,1e+24,2048,power,conditional_v8_fixed_policy_feasible,87,87,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.3211543750644943e+22
