source,year,task,n,mean,q90,zero_fraction
Historical (papers/reports),2019,IFEval,1,24.6,24.6,0.0
Historical (papers/reports),2019,BBH,1,0.0,0.0,1.0
Historical (papers/reports),2019,MATH_Lvl5,1,0.0,0.0,1.0
Historical (papers/reports),2019,GPQA,1,0.0,0.0,1.0
Historical (papers/reports),2019,MUSR,1,0.0,0.0,1.0
Historical (papers/reports),2019,MMLU_PRO,1,0.0,0.0,1.0
Historical (papers/reports),2020,IFEval,1,29.2,29.2,0.0
Historical (papers/reports),2020,BBH,1,14.3,14.3,0.0
Historical (papers/reports),2020,MATH_Lvl5,1,0.0,0.0,1.0
Historical (papers/reports),2020,GPQA,1,0.0,0.0,1.0
Historical (papers/reports),2020,MUSR,1,0.0,0.0,1.0
Historical (papers/reports),2020,MMLU_PRO,1,2.5,2.5,0.0
Historical (papers/reports),2021,IFEval,2,5.95,6.71,0.0
Historical (papers/reports),2021,BBH,2,0.0,0.0,1.0
Historical (papers/reports),2021,MATH_Lvl5,2,0.0,0.0,1.0
Historical (papers/reports),2021,GPQA,2,0.0,0.0,1.0
Historical (papers/reports),2021,MUSR,2,0.0,0.0,1.0
Historical (papers/reports),2021,MMLU_PRO,2,0.0,0.0,1.0
Historical (papers/reports),2022,IFEval,7,11.600000000000003,22.44000000000001,0.0
Historical (papers/reports),2022,BBH,7,9.342857142857143,26.160000000000025,0.8571428571428571
Historical (papers/reports),2022,MATH_Lvl5,7,0.8142857142857143,2.280000000000002,0.8571428571428571
Historical (papers/reports),2022,GPQA,7,0.0,0.0,1.0
Historical (papers/reports),2022,MUSR,7,1.2142857142857142,3.400000000000003,0.8571428571428571
Historical (papers/reports),2022,MMLU_PRO,7,7.814285714285715,21.88000000000002,0.8571428571428571
Historical (papers/reports),2023,IFEval,13,10.56153846153846,18.680000000000003,0.0
Historical (papers/reports),2023,BBH,13,9.284615384615384,28.98,0.46153846153846156
Historical (papers/reports),2023,MATH_Lvl5,13,2.1153846153846154,5.920000000000002,0.46153846153846156
Historical (papers/reports),2023,GPQA,13,0.19230769230769232,0.8600000000000001,0.7692307692307693
Historical (papers/reports),2023,MUSR,13,1.9153846153846152,4.1,0.46153846153846156
Historical (papers/reports),2023,MMLU_PRO,13,5.43076923076923,6.08,0.6923076923076923
Historical (papers/reports),2024,IFEval,2,12.9,14.9,0.0
Historical (papers/reports),2024,BBH,2,0.0,0.0,1.0
Historical (papers/reports),2024,MATH_Lvl5,2,0.0,0.0,1.0
Historical (papers/reports),2024,GPQA,2,0.0,0.0,1.0
Historical (papers/reports),2024,MUSR,2,0.0,0.0,1.0
Historical (papers/reports),2024,MMLU_PRO,2,0.0,0.0,1.0
Open LLM Leaderboard,2024,IFEval,2671,45.20825705632608,74.39371977464239,0.0022463496817671283
Open LLM Leaderboard,2024,BBH,2671,27.349149239119143,47.02211721984639,0.0
Open LLM Leaderboard,2024,MATH_Lvl5,2671,12.900993409025714,32.17522658610272,0.028079371022089104
Open LLM Leaderboard,2024,GPQA,2671,6.410223208315571,13.422818791946312,0.05990265818045676
Open LLM Leaderboard,2024,MUSR,2671,9.930948049263696,17.220833333333328,0.00037439161362785476
Open LLM Leaderboard,2024,MMLU_PRO,2671,24.995061493601266,41.65558510638298,0.00037439161362785476
Open LLM Leaderboard,2025,IFEval,1902,46.14112112119083,74.95751273288208,0.0005257623554153522
Open LLM Leaderboard,2025,BBH,1902,28.07195622259839,50.468800790349086,0.0
Open LLM Leaderboard,2025,MATH_Lvl5,1902,19.283446268993362,45.84592145015105,0.031019978969505785
Open LLM Leaderboard,2025,GPQA,1902,7.1507797043968795,16.21923937360179,0.04258675078864353
Open LLM Leaderboard,2025,MUSR,1902,10.063457325622151,18.926484374999998,0.0
Open LLM Leaderboard,2025,MMLU_PRO,1902,25.98937397613064,47.75044326241135,0.0
