resource_gate,year,n,q90_logC,q90_logN,q90_logD,complete
primary,2020,1,22.913813852383715,10.113943352306837,12.0,True
primary,2021,3,22.2808730534086,10.00812640080492,11.683825861548396,True
primary,2022,9,23.175961437978202,10.904859628868682,11.943535140571434,True
primary,2023,29,23.383756995103692,10.477121254719663,12.316866244873506,True
primary,2024,36,24.512657029711487,10.859433453645153,13.056971676153418,True
primary,2025,3,24.10344517766291,10.480162230998246,13.128825009635657,False
wide_ratio,2019,1,20.525044807036846,8.550228353055093,10.66651798055488,True
wide_ratio,2020,1,22.913813852383715,10.113943352306837,12.0,True
wide_ratio,2021,5,22.45714147422843,10.036589122169019,11.668681718760771,True
wide_ratio,2022,11,23.550106671714225,11.113943352306837,11.929418925714293,True
wide_ratio,2023,36,23.389075625191822,10.340620618687794,12.228110115744359,True
wide_ratio,2024,36,24.512657029711487,10.859433453645153,13.056971676153418,True
wide_ratio,2025,3,24.10344517766291,10.480162230998246,13.128825009635657,False
