source_row,Model,date,N,C,D
2712,Megatron-LM (355M),2019-09-17 00:00:00+00:00,355000000.0,3.35e+20,46400000000.0
2568,mT5-XXL,2020-10-20 00:00:00+00:00,13000000000.0,8.2e+22,1000000000000.0
2495,Generative BST,2021-03-05 00:00:00+00:00,9431810048.0,1.449e+22,56800000000.0
2479,GPT-Neo-2.7B,2021-03-21 00:00:00+00:00,2700000000.0,7.9e+21,420000000000.0
2411,XLMR-XXL,2021-08-17 00:00:00+00:00,10700000000.0,3.366e+22,167000000000.0
2395,PLATO-XL,2021-09-20 00:00:00+00:00,11000000000.0,9.9e+21,150000000000.0
2333,XGLM-7.5B,2021-12-20 00:00:00+00:00,7500000000.0,2.25e+22,500000000000.0
2299,PolyCoder,2022-02-26 00:00:00+00:00,2700000000.0,1.1e+21,39300000000.0
2259,UL2,2022-05-10 00:00:00+00:00,20000000000.0,1.2e+23,1000000000000.0
2229,OPT-6.7B,2022-06-21 00:00:00+00:00,6700000000.0,1.2060000000001e+22,180000000000.0
2230,OPT-66B,2022-06-21 00:00:00+00:00,66000000000.0,1.100000000001e+23,180000000000.0
2234,OPT-30B,2022-06-21 00:00:00+00:00,30000000000.0,5.4000000000001e+22,180000000000.0
2223,CodeGeeX,2022-06-22 00:00:00+00:00,13000000000.0,6.630000000001e+22,850000000000.0
2207,BLOOM-7.1B,2022-07-05 00:00:00+00:00,7070000000.0,1.5014556e+22,354000000000.0
2205,BLOOM-176B,2022-07-11 00:00:00+00:00,176247271424.0,3.65664e+23,379000000000.0
2190,GLM-130B,2022-08-04 00:00:00+00:00,130000000000.0,3.5490054945e+23,152000000000.0
2163,"CPM-Ant
",2022-09-22 00:00:00+00:00,10000000000.0,2.004e+22,33400000000.0
2093,Hybrid H3-2.7B,2022-12-28 00:00:00+00:00,2700000000.0,6.48e+21,400000000000.0
2050,Hyena-2 153M,2023-02-21 00:00:00+00:00,153000000.0,1.87e+19,15000000000.0
2045,LLaMA-65B,2023-02-24 00:00:00+00:00,65200000000.0,5.5e+23,1400000000000.0
2043,LLaMA-33B,2023-02-27 00:00:00+00:00,32500000000.0,2.7300000000001e+23,1400000000000.0
2012,CPM-Bee,2023-03-24 00:00:00+00:00,10000000000.0,6.012e+22,140066666667.0
1992,Pythia-12b,2023-04-03 00:00:00+00:00,12000000000.0,2.1590000000001e+22,299892736000.0
1993,Pythia-2.8b,2023-04-03 00:00:00+00:00,2800000000.0,5.038000000001e+21,299892736000.0
1994,Pythia-6.9b,2023-04-03 00:00:00+00:00,6900000000.0,1.2420000000001e+22,299892736000.0
