type,resource_gate,model,n,rmse,mae,r2
non_pretrained,primary,constant,4,3.736621141792239,2.9886581331607385,-4.052009216848697
non_pretrained,primary,frontier_trend,4,3.052871241633849,2.6534090700141846,-2.3722749492738973
non_pretrained,primary,mean_resource,4,2.2374758965844466,2.1254688373976087,-0.8114349043394229
non_pretrained,primary,quantile_resource,4,2.199181066738915,2.0590159505344303,-0.7499594147862487
non_pretrained,wide_ratio,constant,4,3.736621141792239,2.9886581331607385,-4.052009216848697
non_pretrained,wide_ratio,frontier_trend,4,3.052871241633849,2.6534090700141846,-2.3722749492738973
non_pretrained,wide_ratio,mean_resource,4,2.260262101407544,2.1257859795436875,-0.8485176729312198
non_pretrained,wide_ratio,quantile_resource,4,2.1951348267644515,2.055592849688928,-0.7435258910013183
pretrained,primary,constant,4,7.633128748129861,6.303287947386515,-12.232124705573987
pretrained,primary,frontier_trend,4,9.571093391805624,8.258378626404316,-19.80403222181653
pretrained,primary,mean_resource,4,9.762644636710785,7.329940207925241,-20.64508881230641
pretrained,primary,quantile_resource,4,10.56107296476848,7.858224835311964,-24.330309485592515
pretrained,wide_ratio,constant,4,7.633128748129861,6.303287947386515,-12.232124705573987
pretrained,wide_ratio,frontier_trend,4,9.571093391805624,8.258378626404316,-19.80403222181653
pretrained,wide_ratio,mean_resource,4,9.679622376432528,7.263033374277639,-20.27851126091344
pretrained,wide_ratio,quantile_resource,4,10.466286460687995,7.784137350685983,-23.877666646652877
