type,resource_gate,horizon_months,compute_scenario,model,eta,retention,resource_multiplier,conditional_p05,conditional_p95
non_pretrained,primary,12,historical,constant,0.25,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.25,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.25,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.25,0.5,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.25,0.5,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.25,0.5,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.25,1.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.25,1.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.25,1.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.5,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.5,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.5,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.5,0.5,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.5,0.5,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.5,0.5,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.5,1.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.5,1.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.5,1.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.75,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.75,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.75,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.75,0.5,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.75,0.5,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.75,0.5,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.75,1.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.75,1.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,constant,0.75,1.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,frontier_trend,0.25,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,frontier_trend,0.25,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,frontier_trend,0.25,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,frontier_trend,0.25,0.5,0.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,historical,frontier_trend,0.25,0.5,1.0,45.89425118688804,53.05482104275585
non_pretrained,primary,12,historical,frontier_trend,0.25,0.5,1.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,historical,frontier_trend,0.25,1.0,0.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,historical,frontier_trend,0.25,1.0,1.0,52.93428484378985,64.61224187670341
non_pretrained,primary,12,historical,frontier_trend,0.25,1.0,1.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,historical,frontier_trend,0.5,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,frontier_trend,0.5,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,frontier_trend,0.5,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,frontier_trend,0.5,0.5,0.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,historical,frontier_trend,0.5,0.5,1.0,45.89425118688804,53.05482104275585
non_pretrained,primary,12,historical,frontier_trend,0.5,0.5,1.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,historical,frontier_trend,0.5,1.0,0.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,historical,frontier_trend,0.5,1.0,1.0,52.93428484378985,64.61224187670341
non_pretrained,primary,12,historical,frontier_trend,0.5,1.0,1.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,historical,frontier_trend,0.75,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,frontier_trend,0.75,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,frontier_trend,0.75,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,historical,frontier_trend,0.75,0.5,0.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,historical,frontier_trend,0.75,0.5,1.0,45.89425118688804,53.05482104275585
non_pretrained,primary,12,historical,frontier_trend,0.75,0.5,1.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,historical,frontier_trend,0.75,1.0,0.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,historical,frontier_trend,0.75,1.0,1.0,52.93428484378985,64.61224187670341
non_pretrained,primary,12,historical,frontier_trend,0.75,1.0,1.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,historical,quantile_resource,0.25,0.0,0.5,40.00910611879547,43.80015884646684
non_pretrained,primary,12,historical,quantile_resource,0.25,0.0,1.0,42.306549583096164,46.11319115687555
non_pretrained,primary,12,historical,quantile_resource,0.25,0.0,1.5,44.637744845087596,48.55230329389977
non_pretrained,primary,12,historical,quantile_resource,0.25,0.5,0.5,47.92801213315436,53.671947385586066
non_pretrained,primary,12,historical,quantile_resource,0.25,0.5,1.0,50.302393652096455,56.0067809920415
non_pretrained,primary,12,historical,quantile_resource,0.25,0.5,1.5,52.675410349408494,58.20514590231589
non_pretrained,primary,12,historical,quantile_resource,0.25,1.0,0.5,55.649443205982394,63.71260121486572
non_pretrained,primary,12,historical,quantile_resource,0.25,1.0,1.0,57.849803449402174,65.8024869009942
non_pretrained,primary,12,historical,quantile_resource,0.25,1.0,1.5,59.930745484429345,67.78651670861854
non_pretrained,primary,12,historical,quantile_resource,0.5,0.0,0.5,42.306549583096164,46.11319115687555
non_pretrained,primary,12,historical,quantile_resource,0.5,0.0,1.0,46.91970834384918,50.874012429804935
non_pretrained,primary,12,historical,quantile_resource,0.5,0.0,1.5,51.15443950061852,55.655281427556226
non_pretrained,primary,12,historical,quantile_resource,0.5,0.5,0.5,50.302393652096455,56.0067809920415
non_pretrained,primary,12,historical,quantile_resource,0.5,0.5,1.0,54.95898033475987,60.40588447546062
non_pretrained,primary,12,historical,quantile_resource,0.5,0.5,1.5,59.27568437361242,64.80090765831991
non_pretrained,primary,12,historical,quantile_resource,0.5,1.0,0.5,57.849803449402174,65.8024869009942
non_pretrained,primary,12,historical,quantile_resource,0.5,1.0,1.0,61.98275127462587,69.80460879867884
non_pretrained,primary,12,historical,quantile_resource,0.5,1.0,1.5,66.36250041649404,73.53069667482839
non_pretrained,primary,12,historical,quantile_resource,0.75,0.0,0.5,44.637744845087596,48.55230329389977
non_pretrained,primary,12,historical,quantile_resource,0.75,0.0,1.0,51.15443950061852,55.655281427556226
non_pretrained,primary,12,historical,quantile_resource,0.75,0.0,1.5,57.48131119147041,62.54459356938464
non_pretrained,primary,12,historical,quantile_resource,0.75,0.5,0.5,52.675410349408494,58.20514590231589
non_pretrained,primary,12,historical,quantile_resource,0.75,0.5,1.0,59.27568437361242,64.80090765831991
non_pretrained,primary,12,historical,quantile_resource,0.75,0.5,1.5,65.644304815154,70.84874023076542
non_pretrained,primary,12,historical,quantile_resource,0.75,1.0,0.5,59.930745484429345,67.78651670861852
non_pretrained,primary,12,historical,quantile_resource,0.75,1.0,1.0,66.36250041649404,73.53069667482839
non_pretrained,primary,12,historical,quantile_resource,0.75,1.0,1.5,72.38419436556694,78.53263101723947
non_pretrained,primary,12,historical,mean_resource,0.25,0.0,0.5,39.94153650873671,43.7358420149774
non_pretrained,primary,12,historical,mean_resource,0.25,0.0,1.0,42.16913867810951,45.94102479978867
non_pretrained,primary,12,historical,mean_resource,0.25,0.0,1.5,44.42906465236153,48.29087430480688
non_pretrained,primary,12,historical,mean_resource,0.25,0.5,0.5,45.4431998033665,54.469930798852474
non_pretrained,primary,12,historical,mean_resource,0.25,0.5,1.0,47.678505093782015,56.72466520232542
non_pretrained,primary,12,historical,mean_resource,0.25,0.5,1.5,49.92465140850046,59.01360964695768
non_pretrained,primary,12,historical,mean_resource,0.25,1.0,0.5,51.419170356470566,65.13313164231093
non_pretrained,primary,12,historical,mean_resource,0.25,1.0,1.0,53.451139791688995,67.25075087688673
non_pretrained,primary,12,historical,mean_resource,0.25,1.0,1.5,55.47172472544982,69.30037692657585
non_pretrained,primary,12,historical,mean_resource,0.5,0.0,0.5,42.16913867810951,45.94102479978867
non_pretrained,primary,12,historical,mean_resource,0.5,0.0,1.0,46.712257572388864,50.57395701897091
non_pretrained,primary,12,historical,mean_resource,0.5,0.0,1.5,50.96794086659356,55.37195862764029
non_pretrained,primary,12,historical,mean_resource,0.5,0.5,0.5,47.678505093782015,56.72466520232542
non_pretrained,primary,12,historical,mean_resource,0.5,0.5,1.0,52.17109231323872,61.29383678502312
non_pretrained,primary,12,historical,mean_resource,0.5,0.5,1.5,56.54120433286928,65.70071653480073
non_pretrained,primary,12,historical,mean_resource,0.5,1.0,0.5,53.451139791688995,67.25075087688673
non_pretrained,primary,12,historical,mean_resource,0.5,1.0,1.0,57.47438594574561,71.27651401486659
non_pretrained,primary,12,historical,mean_resource,0.5,1.0,1.5,61.40102200794062,74.99142977846456
non_pretrained,primary,12,historical,mean_resource,0.75,0.0,0.5,44.42906465236153,48.29087430480688
non_pretrained,primary,12,historical,mean_resource,0.75,0.0,1.0,50.96794086659356,55.37195862764029
non_pretrained,primary,12,historical,mean_resource,0.75,0.0,1.5,57.26484380022939,62.209631058162024
non_pretrained,primary,12,historical,mean_resource,0.75,0.5,0.5,49.92465140850046,59.01360964695768
non_pretrained,primary,12,historical,mean_resource,0.75,0.5,1.0,56.54120433286928,65.70071653480073
non_pretrained,primary,12,historical,mean_resource,0.75,0.5,1.5,62.43102082330391,71.70343207117226
non_pretrained,primary,12,historical,mean_resource,0.75,1.0,0.5,55.47172472544982,69.30037692657585
non_pretrained,primary,12,historical,mean_resource,0.75,1.0,1.0,61.40102200794062,74.99142977846456
non_pretrained,primary,12,historical,mean_resource,0.75,1.0,1.5,67.01033739327734,79.93297073847359
non_pretrained,primary,12,half,constant,0.25,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.25,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.25,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.25,0.5,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.25,0.5,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.25,0.5,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.25,1.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.25,1.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.25,1.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.5,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.5,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.5,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.5,0.5,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.5,0.5,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.5,0.5,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.5,1.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.5,1.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.5,1.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.75,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.75,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.75,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.75,0.5,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.75,0.5,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.75,0.5,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.75,1.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.75,1.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,constant,0.75,1.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,frontier_trend,0.25,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,frontier_trend,0.25,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,frontier_trend,0.25,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,frontier_trend,0.25,0.5,0.5,45.89425118688804,53.05482104275585
