filter,type,window_months,bin_width_decades,developer_control,model_class,N_bin,stratum_weight,N_low_B,N_high_B,n_early,n_late,S_early,S_late,within_bin_logN_shift,developer
primary,non_pretrained,1,0.25,False,chat,2,0.20533333333333334,3.1622776601683795,5.623413251903491,5.0,2.0,26.195633417034465,20.28666437000121,-0.024689965004081937,
primary,non_pretrained,1,0.25,False,chat,3,0.20533333333333334,5.623413251903491,10.0,49.0,7.0,19.75294479743669,23.744068710814986,0.01878941238321763,
primary,non_pretrained,1,0.25,False,chat,4,0.20533333333333334,10.0,17.78279410038923,10.0,4.0,21.408107975445805,28.612369980695334,0.05034777793817935,
primary,non_pretrained,1,0.25,False,domain_finetuned,0,0.7946666666666666,1.0,1.7782794100389228,2.0,22.0,8.303119921234618,10.227314547760182,0.05759145548414912,
primary,non_pretrained,1,0.25,False,domain_finetuned,1,0.7946666666666666,1.7782794100389228,3.1622776601683795,6.0,17.0,9.122162749905481,20.271143865145145,-0.0782961079724665,
primary,non_pretrained,1,0.25,False,domain_finetuned,2,0.7946666666666666,3.1622776601683795,5.623413251903491,2.0,13.0,14.297585214146125,19.045408866691538,-0.03814150489249546,
primary,non_pretrained,1,0.25,False,domain_finetuned,3,0.7946666666666666,5.623413251903491,10.0,76.0,48.0,15.942177501243835,20.42375197550171,0.008927429280995547,
primary,non_pretrained,1,0.25,False,domain_finetuned,4,0.7946666666666666,10.0,17.78279410038923,19.0,71.0,13.745604680108706,34.50443934730066,0.049590584568263596,
primary,non_pretrained,1,0.25,False,domain_finetuned,5,0.7946666666666666,17.78279410038923,31.622776601683793,3.0,11.0,17.084366432667753,29.632006836221013,0.05396839717710833,
primary,non_pretrained,1,0.25,False,domain_finetuned,6,0.7946666666666666,31.622776601683793,56.23413251903491,6.0,2.0,22.36731113793935,25.799080829713688,-0.044507911590143445,
primary,non_pretrained,1,0.5,False,chat,0,0.21794871794871795,1.0,3.1622776601683795,4.0,2.0,9.419255043471573,19.70725057520319,-0.05758057222340973,
primary,non_pretrained,1,0.5,False,chat,1,0.21794871794871795,3.1622776601683795,10.0,54.0,9.0,20.34949003999204,22.975756635078593,-0.029812082691392683,
primary,non_pretrained,1,0.5,False,chat,2,0.21794871794871795,10.0,31.622776601683793,12.0,4.0,21.582231004613877,28.612369980695334,0.006417765377439322,
primary,non_pretrained,1,0.5,False,domain_finetuned,0,0.782051282051282,1.0,3.1622776601683795,8.0,39.0,8.917402042737764,14.605393993799781,-0.11018382026780515,
primary,non_pretrained,1,0.5,False,domain_finetuned,1,0.782051282051282,3.1622776601683795,10.0,78.0,61.0,15.90000846824133,20.13000672280446,-0.0602828178656587,
primary,non_pretrained,1,0.5,False,domain_finetuned,2,0.782051282051282,10.0,31.622776601683793,22.0,82.0,14.200890373639487,33.85082035191192,0.0497130967308661,
primary,non_pretrained,1,0.5,False,domain_finetuned,3,0.782051282051282,31.622776601683793,100.0,12.0,3.0,27.53068567632192,31.457625069673202,-0.07836865767242651,
primary,non_pretrained,1,0.75,False,chat,0,0.21628498727735368,1.0,5.623413251903491,9.0,4.0,18.73946525100651,19.9969574726022,-0.05382246373549193,
primary,non_pretrained,1,0.75,False,chat,1,0.21628498727735368,5.623413251903491,31.622776601683793,61.0,11.0,20.112804379176467,25.514360081680568,0.05430165219680927,
primary,non_pretrained,1,0.75,False,domain_finetuned,0,0.7837150127226463,1.0,5.623413251903491,10.0,52.0,9.993438677019437,15.71539771202272,-0.08295874484772492,
