type,bin_width_decades,window_months,valid_draws,scope,metric,defined_draws,bootstrap_p05,bootstrap_p95
non_pretrained,0.25,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",standardized_change,80,3.8319540643675873,9.721216904027768
non_pretrained,0.25,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",scale_distribution_points,80,-1.8946288400094824,0.7957448325786862
non_pretrained,0.25,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",within_scale_temporal_points,80,5.07478250470122,9.61174320906136
non_pretrained,0.25,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",conditional_scale_share,80,-0.5432250638003839,0.1108331274644643
non_pretrained,0.25,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",conditional_temporal_share,80,0.8891668725355353,1.543225063800384
non_pretrained,0.25,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",composition_support_gap_points,80,-3.7520919701746887,-0.7939124325328973
non_pretrained,0.5,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",standardized_change,80,2.6549541176856373,8.299228185609113
non_pretrained,0.5,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",scale_distribution_points,80,-2.3293515408656913,0.2572077743509863
non_pretrained,0.5,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",within_scale_temporal_points,80,4.678565604707463,8.459874815761548
non_pretrained,0.5,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",conditional_scale_share,80,-0.7396550739101839,0.03526226259170141
non_pretrained,0.5,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",conditional_temporal_share,80,0.9647377374082988,1.7396550739101846
non_pretrained,0.5,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",composition_support_gap_points,80,-2.5818098964296907,-0.6162416759775945
non_pretrained,0.75,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",standardized_change,80,1.8710783812894043,8.067300198066933
non_pretrained,0.75,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",scale_distribution_points,80,-3.62312007644661,-1.6394847059708932
non_pretrained,0.75,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",within_scale_temporal_points,80,5.072179228308528,10.431585791742007
non_pretrained,0.75,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",conditional_scale_share,79,-1.4487170338986557,-0.2372693035825462
non_pretrained,0.75,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",conditional_temporal_share,79,1.2372693035825457,2.4487170338986544
non_pretrained,0.75,2,80,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",composition_support_gap_points,80,-2.0899417005429517,-0.3172723592821548
pretrained,0.25,2,79,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",standardized_change,79,-3.848282441943062,7.519178996914327
pretrained,0.25,2,79,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",scale_distribution_points,79,-6.7542911035310125,0.7337291663391079
pretrained,0.25,2,79,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",within_scale_temporal_points,79,2.694885179201411,8.32928496978464
pretrained,0.25,2,79,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",conditional_scale_share,78,-2.7775740862916543,8.801282777136334
pretrained,0.25,2,79,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",conditional_temporal_share,78,-7.801282777136342,3.7775740862916503
pretrained,0.25,2,79,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",composition_support_gap_points,79,-7.683938239642286,0.14688478910336616
pretrained,0.5,2,77,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",standardized_change,77,-2.846347764560445,6.40895648739185
pretrained,0.5,2,77,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",scale_distribution_points,77,-5.5289243982688605,0.4110932081795231
pretrained,0.5,2,77,"joint developer block resampling, recomputed common support; diagnostic variation, not fixed-target confidence coverage",within_scale_temporal_points,77,1.372483062945527,6.860973388236569
