filter,type,window_months,bin_width_decades,developer_control,status,n_early,n_late,common_cells,common_strata,retained_early,retained_late,coverage_early,coverage_late,full_observed_mean_change,standardized_start,standardized_end,standardized_change,scale_distribution_points,within_scale_temporal_points,composition_support_gap_points,conditional_scale_share,conditional_temporal_share,closure_error,max_abs_within_bin_logN_shift,technology_interpretation
primary,non_pretrained,1,0.25,False,conditional_standardized_decomposition,219.0,207.0,10.0,2.0,178.0,197.0,0.8127853881278538,0.9516908212560387,6.020137173918741,16.468127652469008,25.04803963774575,8.579911985276741,0.20459588028254527,8.375316104994189,-2.5597748113580003,0.02384591830704498,0.9761540816929543,7.105427357601002e-15,0.0782961079724665,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,1,0.25,True,insufficient_common_support,,,,,,,,,6.020137173918741,,,,,,,,,,,
primary,non_pretrained,1,0.5,False,conditional_standardized_decomposition,219.0,207.0,7.0,2.0,190.0,200.0,0.867579908675799,0.966183574879227,6.020137173918741,17.08161356672773,24.971859800200303,7.890246233472574,-0.2819218213868123,8.172168054859387,-1.8701090595538332,-0.035730421211802386,1.0357304212118026,-1.7763568394002505e-15,0.11018382026780515,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,1,0.5,True,insufficient_common_support,,,,,,,,,6.020137173918741,,,,,,,,,,,
primary,non_pretrained,1,0.75,False,conditional_standardized_decomposition,219.0,207.0,5.0,2.0,193.0,200.0,0.8812785388127854,0.966183574879227,6.020137173918741,17.36406584714595,24.973835738177527,7.609769891031576,-2.2041259056790543,9.813895796710627,-1.5896327171128348,-0.289644225415634,1.2896442254156335,3.552713678800501e-15,0.1589110946697745,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,1,0.75,True,insufficient_common_support,,,,,,,,,6.020137173918741,,,,,,,,,,,
primary,non_pretrained,2,0.25,False,conditional_standardized_decomposition,326.0,436.0,13.0,2.0,290.0,420.0,0.8895705521472392,0.963302752293578,4.221750409174831,18.774834753089362,24.561985304877577,5.787150551788216,-0.9533401070790026,6.740490658867219,-1.5654001426133846,-0.1647339391895417,1.1647339391895417,-8.881784197001252e-16,0.09132874559375619,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,2,0.25,True,conditional_standardized_decomposition,326.0,436.0,2.0,2.0,6.0,8.0,0.018404907975460124,0.01834862385321101,4.221750409174831,12.950139566874329,18.307105347510397,5.356965780636068,0.0,5.3569657806360675,-1.1352153714612374,0.0,0.9999999999999999,8.881784197001252e-16,0.0003909042296905696,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,2,0.5,False,conditional_standardized_decomposition,326.0,436.0,8.0,2.0,313.0,423.0,0.9601226993865031,0.9701834862385321,4.221750409174831,18.936586688345674,24.69987016957615,5.763283481230477,-0.757921199010059,6.521204680240536,-1.5415330720556462,-0.13150857518607445,1.1315085751860743,0.0,0.09277345918749719,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,2,0.5,True,conditional_standardized_decomposition,326.0,436.0,2.0,2.0,6.0,8.0,0.018404907975460124,0.01834862385321101,4.221750409174831,12.950139566874329,18.307105347510397,5.356965780636068,0.0,5.3569657806360675,-1.1352153714612374,0.0,0.9999999999999999,8.881784197001252e-16,0.0003909042296905696,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,2,0.75,False,conditional_standardized_decomposition,326.0,436.0,6.0,2.0,320.0,423.0,0.9815950920245399,0.9701834862385321,4.221750409174831,19.194444116008928,24.705062638218998,5.51061852221007,-2.759746435733649,8.270364957943723,-1.2888681130352388,-0.5008052044631162,1.500805204463117,-3.552713678800501e-15,0.11675544999449383,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
primary,non_pretrained,2,0.75,True,conditional_standardized_decomposition,326.0,436.0,3.0,3.0,9.0,12.0,0.027607361963190184,0.027522935779816515,4.221750409174831,18.169672168491765,17.07146143445493,-1.0982107340368366,0.0,-1.098210734036837,5.319961143211668,-0.0,1.0000000000000004,4.440892098500626e-16,0.1650232118147158,"only if within-bin scale, data quantity, selection and evaluation confounding are negligible; not empirically identified"
