Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,Epoch_AI_Publication_Date,Epoch_AI_Organization,Epoch_AI_Open_Weights,source_row,date,N,open_status,license,type,type_detail,model_class,S,logN,t,z,month,developer,license_research_status
google/gemma-7b,8.538,2024-06-08,gemma,🟢 pretrained,15.442818570272308,26.59321710838353,21.11609932329174,7.401812688821751,4.921700223713646,10.979947916666667,21.644134160756497,,,,2731,2024-06-08 00:00:00+00:00,8.538,,gemma,pretrained,🟢 pretrained,pretrained,15.442818570272303,0.931356150467928,0.2299794661190965,-1.7002839309885418,2024-06,google,custom_or_unknown_manual_review_needed
mosaicml/mpt-7b,7.0,2024-06-08,apache-2.0,🟢 pretrained,6.032029339143736,21.51990053059216,6.550600790794161,1.5861027190332326,1.342281879194629,2.904947916666668,2.288342198581559,2023-05-05,MosaicML,Yes,3524,2024-06-08 00:00:00+00:00,7.0,yes,apache-2.0,pretrained,🟢 pretrained,pretrained,6.032029339143736,0.8450980400142568,0.2299794661190965,-2.7458704919450474,2024-06,mosaicml,permissive_license_label_not_repository_verified
EleutherAI/gpt-neox-20b,20.739,2024-06-09,apache-2.0,🟢 pretrained,6.1165221524743325,25.86880587951081,4.929114201526899,1.3595166163141994,0.0,2.816666666666666,1.725029550827422,2022-02-09,EleutherAI,Yes,518,2024-06-09 00:00:00+00:00,20.739,yes,apache-2.0,pretrained,🟢 pretrained,pretrained,6.1165221524743325,1.316787811602096,0.26283367556468173,-2.731060756712037,2024-06,EleutherAI,permissive_license_label_not_repository_verified
EleutherAI/pythia-160m,0.213,2024-06-09,apache-2.0,🟢 pretrained,5.730394616916023,18.15516163778773,2.198832279508135,0.906344410876133,1.1185682326621946,10.675520833333332,1.3279403073286051,2023-04-03,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",Yes,521,2024-06-09 00:00:00+00:00,0.213,yes,apache-2.0,pretrained,🟢 pretrained,pretrained,5.730394616916022,-0.6716203965612623,0.26283367556468173,-2.80037442244365,2024-06,EleutherAI,permissive_license_label_not_repository_verified
EleutherAI/pythia-410m,0.506,2024-06-09,apache-2.0,🟢 pretrained,5.227072311484412,21.954525104500505,2.715428120335748,0.9818731117824772,1.230425055928408,3.0598958333333326,1.4202866430260035,2023-04-03,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",Yes,524,2024-06-09 00:00:00+00:00,0.506,yes,apache-2.0,pretrained,🟢 pretrained,pretrained,5.227072311484412,-0.2958494831602009,0.26283367556468173,-2.897632461713071,2024-06,EleutherAI,permissive_license_label_not_repository_verified
Qwen/Qwen1.5-7B,7.721,2024-06-09,other,🟢 pretrained,16.024674155407357,26.842998798742894,23.075768754340448,9.290030211480364,6.487695749440718,9.158333333333331,21.293218085106385,2024-02-04,Alibaba,Yes,1511,2024-06-09 00:00:00+00:00,7.721,yes,other,pretrained,🟢 pretrained,pretrained,16.024674155407357,0.8876735524544475,0.26283367556468173,-1.6563933466638765,2024-06,Qwen,custom_or_unknown_manual_review_needed
Qwen/Qwen2-1.5B,1.544,2024-06-09,apache-2.0,🟢 pretrained,10.445452935561454,21.132705665412217,11.781833653483533,7.02416918429003,1.9015659955257265,3.5932291666666667,17.239213947990542,2024-06-07,Alibaba,Yes,1517,2024-06-09 00:00:00+00:00,1.544,yes,apache-2.0,pretrained,🟢 pretrained,pretrained,10.445452935561454,0.18864729599971736,0.26283367556468173,-2.1486811461074065,2024-06,Qwen,permissive_license_label_not_repository_verified
Qwen/Qwen2-7B,7.616,2024-06-09,apache-2.0,🟢 pretrained,23.9251621404824,31.48667757106699,34.711136202753416,20.39274924471299,7.270693512304249,14.322916666666666,35.366799645390074,2024-06-07,Alibaba,Yes,1523,2024-06-09 00:00:00+00:00,7.616,yes,apache-2.0,pretrained,🟢 pretrained,pretrained,23.9251621404824,0.8817269353764179,0.26283367556468173,-1.1567868501089325,2024-06,Qwen,permissive_license_label_not_repository_verified
bigcode/starcoder2-15b,15.958,2024-06-09,bigcode-openrail-m,🟢 pretrained,12.539175421645837,27.802231412651764,20.373540752678547,5.966767371601208,3.1319910514541416,2.9283854166666674,15.032136524822691,2023-05-09,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich",Yes,2331,2024-06-09 00:00:00+00:00,15.958,yes,bigcode-openrail-m,pretrained,🟢 pretrained,pretrained,12.539175421645837,1.2029784607370653,0.26283367556468173,-1.9423331968097712,2024-06,bigcode,custom_or_unknown_manual_review_needed
bigcode/starcoder2-3b,3.03,2024-06-09,bigcode-openrail-m,🟢 pretrained,6.549147626379535,20.37083826469324,8.909299421083569,1.5105740181268883,0.0,1.432291666666666,7.071882387706856,2023-05-09,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich",Yes,2332,2024-06-09 00:00:00+00:00,3.03,yes,bigcode-openrail-m,pretrained,🟢 pretrained,pretrained,6.549147626379536,0.48144262850230496,0.26283367556468173,-2.658100747231105,2024-06,bigcode,custom_or_unknown_manual_review_needed
