budget_FLOPs,context_tokens,quality_family,Q0_scenario,minimum_cost_FLOPs,model_scope,cross_source_empirical_calibration_complete,status,N_params_B,D_tokens_B,Q_score,C_train_FLOPs,C_quality_FLOPs,C_attention_FLOPs,C_total_FLOPs,budget_residual_FLOPs,budget_utilization,active_set,kkt_check_pass,kkt_relative_violation,global_lower_bound,global_upper_bound,global_gap,certificate_kind,recipe_index,p_policy,v8_NDQ_native_loss,conditional_bridge_loss,bridge_factor
1e+19,2048,exponential,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.14024329533985802,10.0,0.5679471306625599,8.414597720391481e+18,1.0109657418964607e+18,5.744365377120585e+17,1e+19,0.0,1.0,D_min;budget,True,7.69139112947147e-08,3.25851222976908,3.258512329767904,9.999882433220364e-08,floating_point_B7_reduction,172,observed_512,3.258512329767904,3.046213330981209,0.9348478761773423
1e+19,2048,power,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.15601597603594608,10.0,0.5,9.360958562156765e+18,0.0,6.390414378432351e+17,1e+19,0.0,1.0,D_min;Q0;budget,True,0.0,3.266445350723176,3.2664454343526206,8.362944470263756e-08,floating_point_B7_reduction,172,observed_512,3.2664454343526206,3.053629576953724,0.9348478761773423
1e+19,2048,logarithmic,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.15601597603594608,10.0,0.5,9.360958562156765e+18,0.0,6.390414378432351e+17,1e+19,0.0,1.0,D_min;Q0;budget,True,0.0,3.266445340613191,3.2664454343526206,9.373942955193115e-08,floating_point_B7_reduction,172,observed_512,3.2664454343526206,3.053629576953724,0.9348478761773423
1e+19,8192,exponential,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.11864852465961001,10.0,0.56382219952671,7.118911479576601e+18,9.371510924003494e+17,1.9439374280230505e+18,1e+19,0.0,1.0,D_min;budget,True,6.031469985151046e-08,3.305518357254338,3.3055184572485174,9.999417960315782e-08,floating_point_B7_reduction,172,observed_512,3.3055184572485174,3.0901569094237815,0.9348478761773423
1e+19,8192,power,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.13091746962714707,10.0,0.5,7.855048177628823e+18,0.0,2.1449518223711772e+18,1e+19,0.0,1.0,D_min;Q0;budget,True,0.0,3.3127080145456516,3.3127081076948497,9.3149198132636e-08,floating_point_B7_reduction,172,observed_512,3.3127081076948497,3.096878138873993,0.9348478761773423
1e+19,8192,logarithmic,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.13091746962714707,10.0,0.5,7.855048177628823e+18,0.0,2.1449518223711772e+18,1e+19,0.0,1.0,D_min;Q0;budget,True,0.0,3.3127080137672427,3.3127081076948497,9.39276070255346e-08,floating_point_B7_reduction,172,observed_512,3.3127081076948497,3.096878138873993,0.9348478761773423
1e+19,131072,exponential,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,infeasible_within_v8_native_Q_support,,,,,,,,,,,,,,,,,172,observed_512,,,
1e+19,131072,power,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,infeasible_within_v8_native_Q_support,,,,,,,,,,,,,,,,,172,observed_512,,,
1e+19,131072,logarithmic,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,infeasible_within_v8_native_Q_support,,,,,,,,,,,,,,,,,172,observed_512,,,
1e+20,2048,exponential,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,1.0201925926658248,10.0,0.9838554859161377,6.121155555994948e+19,3.4609735580491297e+19,4.1787088595592187e+18,1e+20,0.0,1.0,D_min;budget,True,5.43773499054332e-07,2.699012666167392,2.699012766135615,9.996822303293129e-08,floating_point_B7_reduction,172,observed_512,2.699012766135615,2.5231663521974137,0.9348478761773423
1e+20,2048,power,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.8940242124352674,10.0,0.9784195423126221,5.364145274611605e+19,4.2696624079749095e+19,3.661923174134855e+18,1e+20,0.0,1.0,D_min;budget,True,3.116325813308955e-07,2.717526913673424,2.717527013662183,9.998875905026239e-08,floating_point_B7_reduction,172,observed_512,2.717527013662183,2.5404743571766475,0.9348478761773423
1e+20,2048,logarithmic,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.8007694161338161,15.760731277908711,1.0,7.57242694995176e+19,1.9106287035982012e+19,5.169443464500401e+18,1e+20,0.0,1.0,Q1;budget,True,0.0,2.6448057341011855,2.64480582181979,8.771860438017143e-08,floating_point_B7_reduction,172,observed_512,2.64480582181979,2.472491105429701,0.9348478761773423
1e+20,8192,exponential,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.8660156516731804,10.0,0.9803624153137207,5.196093910039082e+19,3.385026046259579e+19,1.418880043701339e+19,1e+20,0.0,1.0,D_min;budget,True,4.1209156833617346e-07,2.720763564947649,2.720763664827342,9.987969296076926e-08,floating_point_B7_reduction,172,observed_512,2.720763664827342,2.543500133644323,0.9348478761773423
1e+20,8192,power,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.7628002274162278,10.0,0.9732413291931152,4.576801364497366e+19,4.173426742903886e+19,1.2497718925987475e+19,1e+20,0.0,1.0,D_min;budget,True,8.072619787182014e-09,2.740314982272459,2.7403150822655036,9.999304451113744e-08,floating_point_B7_reduction,172,observed_512,2.7403150822655036,2.561777734712645,0.9348478761773423
