coordinate_id,policy_mode,budget_FLOPs,context_tokens,coordinate_scale_assumed,coordinate_offset_assumed,upstream_loss_stress_delta_assumed,feasible_policies,all_feasible_policies_supported,best_quality_families,unique_winner,policy_score_spread
Gemma2 report,fixed_recipe,1e+19,2048,0.9,-0.1,-0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,0.9,-0.1,0.0,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,0.9,-0.1,0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,0.9,0.0,-0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,0.9,0.0,0.0,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,0.9,0.0,0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,0.9,0.1,-0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,0.9,0.1,0.0,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,0.9,0.1,0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.0,-0.1,-0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.0,-0.1,0.0,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.0,-0.1,0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.0,0.0,-0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.0,0.0,0.0,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.0,0.0,0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.0,0.1,-0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.0,0.1,0.0,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.0,0.1,0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.1,-0.1,-0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.1,-0.1,0.0,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.1,-0.1,0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.1,0.0,-0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.1,0.0,0.0,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.1,0.0,0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.1,0.1,-0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.1,0.1,0.0,2,False,,,
Gemma2 report,fixed_recipe,1e+19,2048,1.1,0.1,0.05,2,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,0.9,-0.1,-0.05,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,0.9,-0.1,0.0,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,0.9,-0.1,0.05,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,0.9,0.0,-0.05,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,0.9,0.0,0.0,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,0.9,0.0,0.05,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,0.9,0.1,-0.05,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,0.9,0.1,0.0,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,0.9,0.1,0.05,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,1.0,-0.1,-0.05,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,1.0,-0.1,0.0,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,1.0,-0.1,0.05,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,1.0,0.0,-0.05,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,1.0,0.0,0.0,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,1.0,0.0,0.05,1,False,,,
Gemma2 report,fixed_recipe,1e+19,8192,1.0,0.1,-0.05,1,False,,,
