month,n,q90,median,date,type
2024-06,195,27.648562463190455,19.430990497953943,2024-06-15,non_pretrained
2024-07,80,29.456306666946954,20.534920939605392,2024-07-15,non_pretrained
2024-08,123,36.842374699258194,23.14181422578697,2024-08-15,non_pretrained
2024-09,227,31.735096950607446,20.37672090429901,2024-09-15,non_pretrained
2024-10,179,35.3970697530483,19.930930685006384,2024-10-15,non_pretrained
2024-11,134,37.2416540174505,21.427647116098484,2024-11-15,non_pretrained
2024-12,173,39.9534812815254,21.062119760175158,2024-12-15,non_pretrained
2025-01,242,39.314601861330004,22.47348050156004,2025-01-15,non_pretrained
2025-02,162,40.050844657854704,23.856895195733344,2025-02-15,non_pretrained
2025-03,105,40.564824833719705,22.49357945577393,2025-03-15,non_pretrained
2024-06,76,25.3401836633519,8.10107015315761,2024-06-15,pretrained
2024-07,18,18.96629824503156,11.322072327580804,2024-07-15,pretrained
2024-08,15,22.18181280958963,9.658122925542836,2024-08-15,pretrained
2024-09,16,34.97951499914765,11.535533125420573,2024-09-15,pretrained
2024-10,3,18.398534830831636,5.228976558960189,2024-10-15,pretrained
2024-11,16,9.882432369378517,5.700419418496782,2024-11-15,pretrained
2024-12,12,24.27687281624571,7.477612795485593,2024-12-15,pretrained
2025-01,28,8.826955351155847,4.651004059122295,2025-01-15,pretrained
2025-02,7,23.86716266398042,18.10730460297795,2025-02-15,pretrained
2025-03,13,15.493340354900274,14.968209771816907,2025-03-15,pretrained
