target,b_1M,b_60M,b_1B,eta_domain,pearson_1M,pearson_60M,pearson_1B
arxiv,0.856254632167,0.621335634344,0.216234784847,0.190467497604,0.714450963419,0.709178539321,0.747822722375
freelaw,1.02264321813,0.885215487763,0.352193419115,0.145688736150,0.759392652351,0.752069488423,0.623246047631
pubmed_central,1.04093498016,0.714598399826,0.110831889294,0.307418552676,0.776624832795,0.783780565989,0.734595943856
wikipedia_en,0.964334582263,0.877921005289,0.576391891441,0.070767140327,0.841758327882,0.836229847715,0.752739995696
dm_mathematics,0.994438207170,0.484044422286,0.240003161830,0.203618415047,0.655563851795,0.636903014219,0.526223006722
github,0.933650709806,0.676253219193,0.218967881225,0.200433122204,0.765396045533,0.744344918227,0.651008441754
stackexchange,0.938312656244,0.773036937224,0.393001035307,0.120286137765,0.757675642617,0.745104178969,0.724848901709
gutenberg_pg_19,1.08099970465,0.942487655613,0.789235802661,0.044666674468,0.823952096327,0.837400317844,0.686608233208
pile_cc,1.04408213778,1.00971300732,0.437024910709,0.117535058129,0.879055855757,0.868183518958,0.719267815189
ubuntu_irc,0.970652727365,0.670195461216,0.302622185285,0.163052016092,0.759422041805,0.744354711359,0.646199129801
hackernews,1.09099577841,0.983031565438,0.761796026862,0.050071872454,0.829286961217,0.815771745969,0.529875253791
pubmed_abstracts,1.02433407366,0.971613211317,0.238179678861,0.196815458568,0.887822866249,0.877991698874,0.564930399682
uspto_backgrounds,0.956815311836,0.790031806446,0.544743897455,0.079026815197,0.849323662197,0.827533966302,0.770923478728
