target,test_1m_vs_60m_spearman,test_1m_vs_60m_pearson,est_10B_vs_70B_spearman,est_10B_vs_70B_pearson
freelaw,0.9980466068,0.9977193545,0.9906874040,0.9953717718
pubmed_abstracts,0.9978062772,0.9975460115,0.9867031490,0.9937177723
stackexchange,0.9978041314,0.9941705952,0.9754458392,0.9789543773
wikipedia_en,0.9974221790,0.9977812874,0.9914312462,0.9944833637
arxiv,0.9948343442,0.9882356701,0.9916474654,0.9910830684
uspto_backgrounds,0.9946111810,0.9958408872,0.9944674468,0.9944737066
gutenberg_pg_19,0.9944058995,0.9931819945,0.9917434716,0.9942026749
pubmed_central,0.9943400950,0.9904071907,0.9826228879,0.9894287384
pile_cc,0.9940983349,0.9936666117,0.9949116743,0.9970571995
hackernews,0.9939860380,0.9931972469,0.9896313364,0.9930440733
github,0.9928745136,0.9839846001,0.9829589094,0.9880946804
dm_mathematics,0.9882925154,0.9854667416,0.9964957757,0.9978902973
ubuntu_irc,0.9800898375,0.9828519755,0.9814105873,0.9892211497
