target,alpha,cv_rmse,test_1m_spearman,test_1m_pearson,test_1m_rmse,test_1m_mae,test_60m_spearman,test_60m_pearson,test_60m_rmse,test_60m_mae,test_1B_spearman,test_1B_pearson,test_1B_rmse,test_1B_mae,est_10B_spearman,est_10B_pearson,est_10B_rmse,est_10B_mae,est_70B_spearman,est_70B_pearson,est_70B_rmse,est_70B_mae
arxiv,1,0.721405062979,0.744611181048,0.714450963419,0.579151724741,0.486594921260,0.762268968872,0.709178539321,1.82618527473,1.76432485405,0.864697802198,0.747822722375,3.20785426219,3.19446444179,0.670794930876,0.770091745014,3.38441614315,3.33682272978,0.631048387097,0.742069705970,3.75022859827,3.70024495200
freelaw,0.01,0.496775956277,0.769681277180,0.759392652351,0.481078854571,0.418305828046,0.762547922866,0.752069488423,1.44496908849,1.37975960095,0.706684981685,0.623246047631,3.36802204377,3.36252993943,0.712557603687,0.794112766013,3.45400002600,3.41505516884,0.655913978495,0.760767556625,3.82563955150,3.78514881963
pubmed_central,0.1,0.587254793353,0.833141880293,0.776624832795,0.529403917431,0.459370175028,0.852278124285,0.783780565989,1.75522883331,1.71007204172,0.799587912088,0.734595943856,3.38836188613,3.37407125931,0.693932411674,0.748731066748,3.47755509506,3.44609169276,0.609158986175,0.686724291558,3.84725032871,3.81389169276
wikipedia_en,0.01,0.297832345200,0.878828822385,0.841758327882,0.295624868202,0.246718748490,0.880735008011,0.836229847715,1.37121540563,1.34218153773,0.791346153846,0.752739995696,3.30769926748,3.30490002555,0.412572306482,0.479774297474,3.88530673555,3.87021684393,0.340053763441,0.403849499227,4.29866448529,4.28377874869
dm_mathematics,0.01,1.21091361660,0.767466811627,0.655563851795,1.15872046089,1.05323257865,0.752116474022,0.636903014219,1.55818547738,1.41730837956,0.686813186813,0.526223006722,2.66545673679,2.60679572674,0.641609062980,0.600827542609,2.82476089151,2.75191552821,0.612615207373,0.591780230668,3.11384022571,3.03929806789
github,0.01,0.720053617138,0.838052901122,0.765396045533,0.611972811252,0.506079407969,0.840670061799,0.744344918227,2.63437781939,2.58267209514,0.672115384615,0.651008441754,4.43941826227,4.42972321575,0.607094854071,0.699540307059,3.69681689163,3.65522040949,0.507968509985,0.642465919323,4.08066816553,4.03738866346
stackexchange,0.1,0.527110465605,0.826425526436,0.757675642617,0.445290066229,0.368930472989,0.825253919661,0.745104178969,1.76374216619,1.71997456280,0.771794871795,0.724848901709,3.53598642000,3.53190574054,0.536176749472,0.625700602928,3.59262244310,3.57139486628,0.426320400381,0.509192705164,3.96915690824,3.94666153295
gutenberg_pg_19,0.001,0.250130605118,0.889404039826,0.823952096327,0.256526795209,0.200842976306,0.892902409018,0.837400317844,1.01128923581,0.988970319501,0.618177655678,0.686608233208,2.67934227146,2.67319176218,0.502448156682,0.579904134471,3.58649841443,3.57225428459,0.421466973886,0.510488886413,3.97018195006,3.95586698300
pile_cc,0.001,0.158277915110,0.901931935225,0.879055855757,0.153269793399,0.124169219441,0.892968928817,0.868183518958,1.07874601965,1.06744218429,0.881089743590,0.719267815189,2.68396021272,2.68142216222,0.149913594470,0.324529264105,3.80702169788,3.79627240588,0.0911098310292,0.264137409526,4.21577056134,4.20569780270
ubuntu_irc,0.01,0.699211967952,0.763263904784,0.759422041805,0.650513753994,0.569156529292,0.760374227512,0.744354711359,2.03735962159,1.96582105689,0.660989010989,0.646199129801,4.10848409446,4.05138872132,0.499807987711,0.507077310935,4.46647810903,4.44094814140,0.391901784564,0.415492363290,4.94763563845,4.92200052235
hackernews,0.001,0.200623389564,0.843755006867,0.829286961217,0.190111721758,0.155544719904,0.838115129320,0.815771745969,1.00907331895,0.993211828970,0.569093406593,0.529875253791,2.32216118161,2.31592081713,0.192396313364,0.201304540353,3.58420825828,3.56998785023,0.105270737327,0.108917335335,3.97098860593,3.95728308832
pubmed_abstracts,0.01,0.305227349672,0.922662508583,0.887822866249,0.262821817153,0.203416503301,0.920164082170,0.877991698874,1.37469929258,1.34945915231,0.639972527473,0.564930399682,3.02902287660,3.02068113691,0.325556835637,0.412964146666,3.65330394902,3.63185558643,0.217837941628,0.330884282211,4.03914384960,4.01819844358
uspto_backgrounds,0.1,0.279766797885,0.852100022889,0.849323662197,0.270811864572,0.225732328870,0.831399490730,0.827533966302,1.42185948538,1.39776734022,0.758653846154,0.770923478728,2.89232240142,2.88952169208,0.445857885231,0.617316365230,3.45023248502,3.43402745540,0.384465833104,0.552014539769,3.81648819620,3.80007031254
