rank,target,test_1m_spearman,test_60m_spearman,test_1B_spearman,min_heldout_spearman,mean_heldout_spearman
1,pile_cc,0.901931935225,0.892968928817,0.881089743590,0.881089743590,0.891996869211
2,pubmed_central,0.833141880293,0.852278124285,0.799587912088,0.799587912088,0.828335972222
3,wikipedia_en,0.878828822385,0.880735008011,0.791346153846,0.791346153846,0.850303328081
4,stackexchange,0.826425526436,0.825253919661,0.771794871795,0.771794871795,0.807824772631
5,uspto_backgrounds,0.852100022889,0.831399490730,0.758653846154,0.758653846154,0.814051119924
6,arxiv,0.744611181048,0.762268968872,0.864697802198,0.744611181048,0.790525984039
7,freelaw,0.769681277180,0.762547922866,0.706684981685,0.706684981685,0.746304727244
8,dm_mathematics,0.767466811627,0.752116474022,0.686813186813,0.686813186813,0.735465490821
9,github,0.838052901122,0.840670061799,0.672115384615,0.672115384615,0.783612782512
10,ubuntu_irc,0.763263904784,0.760374227512,0.660989010989,0.660989010989,0.728209047762
11,pubmed_abstracts,0.922662508583,0.920164082170,0.639972527473,0.639972527473,0.827599706075
12,gutenberg_pg_19,0.889404039826,0.892902409018,0.618177655678,0.618177655678,0.800161368174
13,hackernews,0.843755006867,0.838115129320,0.569093406593,0.569093406593,0.750321180927
