scope,metric_a,metric_b,n,rho,p,q_bh,significant_negative,n_domain_negative,n_domain_significant_negative,n_domain_valid,arxiv_rho,arxiv_q,arxiv_replicated,github_rho,github_q,github_replicated,replicated,stable_conflict,cause_pattern
A1_pooled,fineweb_edu,fluency_en,51230,0.2541389943188549,0.0,0.0,False,0,0,7,0.29310345551385397,0.0,False,0.22483726292320463,0.0,False,False,False,pooled_only
A1_pooled,fineweb_edu,modernbert_cleanliness,51230,0.30363183261570087,0.0,0.0,False,1,1,7,-0.01719860302762816,0.03138047827681736,True,0.09649908521734571,0.0,False,True,False,domain_specific
A1_pooled,fineweb_edu,modernbert_readability,51230,0.32677690481103855,0.0,0.0,False,0,0,7,0.32488655584055115,0.0,False,0.2992832099066276,0.0,False,False,False,pooled_only
A1_pooled,fineweb_edu,modernbert_reasoning,51217,0.5420123000519981,0.0,0.0,False,0,0,7,0.12463214129871113,1.8778478757827383e-56,False,0.4619490263264052,0.0,False,False,False,pooled_only
A1_pooled,fineweb_edu,modernbert_professionalism,51225,0.38872438500123696,0.0,0.0,False,1,1,7,-0.35219107095436175,0.0,True,0.33644681712615815,0.0,False,True,False,domain_specific
A1_pooled,fineweb_edu,dsir_books,51230,0.3697199451886735,0.0,0.0,False,2,1,7,-0.23550380973899607,2.8096099853249693e-201,True,0.45679224295695453,0.0,False,True,False,domain_specific
A1_pooled,fineweb_edu,dsir_wiki,51230,0.3687565191958868,0.0,0.0,False,2,2,7,-0.23911040410362233,1.2770177396014318e-207,True,0.45719687708876194,0.0,False,True,False,domain_specific
A1_pooled,fineweb_edu,dsir_math,51230,0.36060041740528476,0.0,0.0,False,2,2,7,-0.21822785390319263,2.170622499564279e-172,True,0.4556509971476202,0.0,False,True,False,domain_specific
A1_pooled,fineweb_edu,qurater,51230,0.5446573226955896,0.0,0.0,False,0,0,7,0.30633055883880933,0.0,False,0.3000174873869188,0.0,False,False,False,pooled_only
A1_pooled,fineweb_edu,ad_en,51230,0.17024037803017614,0.0,0.0,False,2,2,7,-0.14812651573798508,2.4680816392327105e-79,True,-0.0590635734955067,3.1903977824289905e-149,True,True,False,domain_specific
A1_pooled,fineweb_edu,rps_doc_word_count,51230,0.3660436884948591,0.0,0.0,False,2,1,7,-0.041725504971914094,1.4626044557458868e-07,True,0.5011648832737969,0.0,False,True,False,domain_specific
A1_pooled,fineweb_edu,rps_doc_num_sentences,51230,0.3358020515563944,0.0,0.0,False,2,0,7,-0.010685258537476303,0.1822278539052832,False,0.409888042123561,0.0,False,False,False,pooled_only
A1_pooled,fineweb_edu,rps_doc_unigram_entropy,51230,0.3209666477909272,0.0,0.0,False,1,1,7,-0.11971247497136052,3.519409164700202e-52,True,0.5006986351555355,0.0,False,True,False,domain_specific
A1_pooled,fineweb_edu,rps_doc_frac_unique_words,51230,0.3749508401733007,0.0,0.0,False,2,0,7,-0.003349073364041574,0.6856999829484093,False,0.40867367547934036,0.0,False,False,False,pooled_only
A1_pooled,fineweb_edu,rps_doc_frac_no_alph_words,51230,-0.01982767600326276,7.184878813511426e-06,7.903366694862568e-06,True,2,2,7,0.2940002541339504,0.0,False,-0.22411177032356927,0.0,True,True,True,domain_specific
A1_pooled,fineweb_edu,rps_doc_frac_chars_top_2gram,51230,0.06177790963617033,1.6520138411046414e-44,2.0407229801880863e-44,False,3,3,7,-0.17339651343983195,1.671902974110221e-108,True,-0.14399868538680455,0.0,True,True,False,domain_specific
A1_pooled,fineweb_edu,rps_doc_frac_chars_top_3gram,51230,0.10018646902651497,2.1182216445925233e-114,2.8283768780397277e-114,False,2,1,7,0.051923936415108556,5.683293001702212e-11,False,0.24669152743311223,0.0,False,False,False,domain_specific
A1_pooled,fineweb_edu,rps_lines_uppercase_letter_fraction,51230,0.05405392238545759,1.8259187536730796e-34,2.196808500512924e-34,False,3,3,7,0.07295684856189608,2.7571121150276024e-20,False,-0.18851625715719736,0.0,True,True,False,domain_specific
A1_pooled,fineweb_edu,rps_lines_ending_with_terminal_punctution_mark,51230,-0.08237287412990665,7.820408663062007e-78,9.980742547885767e-78,True,3,2,6,0.07614846927223422,5.79633697214701e-22,False,-0.07593159106216478,1.534269241759055e-245,True,True,True,domain_specific
A1_pooled,fineweb_edu,rps_lines_numerical_chars_fraction,51230,0.12022907211246334,3.1266722087472834e-164,4.32491784563247e-164,False,1,1,7,0.04983540748586375,3.267525928826684e-10,False,0.21323710984439875,0.0,False,False,False,domain_specific
A1_pooled,fineweb_edu,rps_doc_mean_word_length,51230,0.05166660803345711,1.2481732711762254e-31,1.4939275939984877e-31,False,3,3,7,0.14028704979761653,2.9212852618215295e-71,False,0.20647366164834605,0.0,False,False,False,domain_specific
A1_pooled,fluency_en,modernbert_cleanliness,51230,0.5649173229647187,0.0,0.0,False,0,0,7,0.24501279038619492,3.1305764831144375e-218,False,0.24741825220042898,0.0,False,False,False,pooled_only
A1_pooled,fluency_en,modernbert_readability,51230,0.5763596353911093,0.0,0.0,False,0,0,7,0.2070258178065223,6.137625422341591e-155,False,0.21105440033511708,0.0,False,False,False,pooled_only
A1_pooled,fluency_en,modernbert_reasoning,51217,0.18110821491992166,0.0,0.0,False,1,1,7,0.1193192710648038,7.479195025472059e-52,False,0.2664573862097935,0.0,False,False,False,domain_specific
A1_pooled,fluency_en,modernbert_professionalism,51225,-0.20622307130994166,0.0,0.0,True,3,2,7,0.06599753406606884,7.314783951326436e-17,False,0.22613008058722553,0.0,False,False,False,domain_specific
A1_pooled,fluency_en,dsir_books,51230,-0.013669455930484756,0.0019746425728786455,0.0021117705293285513,True,5,3,7,-0.04686021625645906,3.4338775702311973e-09,True,0.10119888903251294,0.0,False,True,True,domain_specific
A1_pooled,fluency_en,dsir_wiki,51230,-0.014591785820249992,0.0009572237277847799,0.0010332648650387111,True,6,3,7,-0.04836320269721721,1.061719110840149e-09,True,0.1015499183789389,0.0,False,True,True,domain_specific
A1_pooled,fluency_en,dsir_math,51230,0.010347914989002274,0.01917263226790373,0.020040172189528332,False,5,3,7,-0.04822533269416648,1.1788049956664533e-09,True,0.09388770185053794,0.0,False,True,False,domain_specific
A1_pooled,fluency_en,qurater,51230,0.5638881743034299,0.0,0.0,False,0,0,7,0.4308536608128013,0.0,False,0.3098679666506016,0.0,False,False,False,pooled_only
A1_pooled,fluency_en,ad_en,51230,0.1702965215759609,0.0,0.0,False,0,0,7,0.20175817813002872,4.367150860229376e-147,False,0.373323693735088,0.0,False,False,False,pooled_only
A1_pooled,fluency_en,rps_doc_word_count,51230,0.19845051854345128,0.0,0.0,False,2,1,7,0.042529181663064484,8.365646877876538e-08,False,0.14614931163700376,0.0,False,False,False,domain_specific
A1_pooled,fluency_en,rps_doc_num_sentences,51230,-0.012546743742168088,0.004513077319319454,0.004760369227227369,True,4,3,7,0.006041173707414298,0.45718432239622503,False,0.04146525879992527,1.8557801128404272e-74,False,False,False,domain_specific
A1_pooled,fluency_en,rps_doc_unigram_entropy,51230,0.19805935568101507,0.0,0.0,False,5,3,7,-0.05325462169785904,1.8022640942630025e-11,True,0.09535964931606722,0.0,False,True,False,domain_specific
A1_pooled,fluency_en,rps_doc_frac_unique_words,51230,0.14843871868806952,3.3678413402908184e-250,4.955231526160377e-250,False,3,2,7,0.07073089205276807,3.7108026524772364e-19,False,0.22657857652463445,0.0,False,False,False,domain_specific
A1_pooled,fluency_en,rps_doc_frac_no_alph_words,51230,0.4716483184688636,0.0,0.0,False,1,1,7,0.11458957324694888,6.239582366495533e-48,False,-0.06381799063171778,6.390411444528487e-174,True,True,False,domain_specific
