metric_a,metric_b,n_full,n_central,rho_full,rho_central
modernbert_professionalism,rps_lines_ending_with_terminal_punctution_mark,51225,49689,-0.5191423838185976,-0.5224856575297826
modernbert_professionalism,rps_doc_mean_word_length,51225,49722,-0.4994398262423047,-0.4989561272625885
rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,51230,51230,-0.48440069266941427,-0.48440069266941427
modernbert_professionalism,rps_doc_frac_no_alph_words,51225,49691,-0.48434832579038756,-0.4793718666465829
fluency_en,rps_lines_uppercase_letter_fraction,51230,49699,-0.3232902807436453,-0.3123891619605668
rps_doc_frac_no_alph_words,rps_lines_numerical_chars_fraction,51230,50717,-0.2796522655136251,-0.2657636199660372
dsir_books,rps_lines_ending_with_terminal_punctution_mark,51230,49778,-0.2628555460997197,-0.28006862326454124
dsir_wiki,rps_lines_ending_with_terminal_punctution_mark,51230,49780,-0.25145154621995736,-0.2705046142833487
rps_doc_word_count,rps_lines_uppercase_letter_fraction,51230,49417,-0.24663500594637372,-0.2532219241056001
rps_doc_unigram_entropy,rps_lines_uppercase_letter_fraction,51230,49340,-0.24551065386705953,-0.2520783414212348
