_source_domain,_id,Q_z,D_conflict,D_all22,quadrant
arxiv,BkiUdvE4eIfiUWiFdbiw,-0.3585039195047282,1.7609884038299037,1.4060002708383128,low_Q_high_D
arxiv,BkiUdb44dbjiU9oEeWKt,3.384686377518676,3.2094401628708535,2.05107331433313,high_Q_high_D
arxiv,BkiUd0E5qhDBdMC-Fcd6,1.9774490770691593,1.5717388336041653,1.3538287927714163,high_Q_low_D
arxiv,BkiUdPA4dbgg3Wyis_JT,3.155316822811708,2.8864195172976803,1.8359216005090722,high_Q_high_D
arxiv,BkiUdILxK7FjYAb_67PT,2.199503584819476,1.487357460561999,1.2703825881694555,high_Q_low_D
arxiv,BkiUfYzxK6-gD5TlfjZo,2.365194706733306,1.8899281740685894,1.6050908449985217,high_Q_high_D
arxiv,BkiUdZY5qrqCyq8KqH5a,2.139551450069127,1.6132737130055785,1.2567486159844847,high_Q_low_D
arxiv,BkiUcQrxK02iP15vfcUN,2.9981395035580705,2.8235292435441597,1.7458284458561737,high_Q_high_D
arxiv,BkiUd-7xK7IAD7XMJnpB,2.899789771915589,2.247354255527219,1.5373908756769832,high_Q_high_D
arxiv,BkiUdC84eIZjfagW4Wnr,3.2606740634088136,3.003369006484411,1.8735326884707424,high_Q_high_D
arxiv,BkiUbCM5jDKDx8o5qk9R,1.7318016482838465,1.010564114697983,1.2078486787171352,high_Q_low_D
arxiv,BkiUdafxaL3SuhsxKGrm,2.7881389325775126,1.5769935085058047,1.4579856440221404,high_Q_low_D
arxiv,BkiUbg05ixsDMJPI2xCB,1.8785700487046386,2.01924107366835,1.4417774049861338,high_Q_high_D
arxiv,BkiUdEU5qsBC4wbX-bkK,2.482457259925143,2.5389246446994247,1.6787222322407709,high_Q_high_D
arxiv,BkiUbhg25V5hd-428xX-,3.446804046952278,3.024776086187456,1.9075093283649316,high_Q_high_D
arxiv,BkiUdGM4dbgg4JMhnNMO,3.6799781523913575,3.2940228941684624,2.2057905108864855,high_Q_high_D
arxiv,BkiUbfvxK6Ot9TMSpOC0,2.7364362280086825,2.0378677728193,1.4160401727192005,high_Q_high_D
arxiv,BkiUbQY5qX_AY1OJK5_l,2.600949960348095,2.286295221539387,1.526739485338849,high_Q_high_D
arxiv,BkiUd044eIXh4qTE56WZ,2.2335076747163933,1.2739068398688815,1.2555057408897798,high_Q_low_D
arxiv,BkiUe5rxK03BfHDu5U-k,2.5316831919211777,1.6395885636364094,1.3424380798621538,high_Q_low_D
arxiv,BkiUdMg4eIXhx5LdSlN-,2.5150457619088336,3.5842397651398397,2.2700435352665513,high_Q_high_D
arxiv,BkiUdmU5qhLAB-QFvl37,2.88395196001687,2.2840053521962496,1.5782936098502018,high_Q_high_D
arxiv,BkiUc5XxK3YB9raXz91v,1.4378682591782754,0.7352052699765921,1.251232732597692,high_Q_low_D
arxiv,BkiUbtg4uzlgqIdPjLwn,2.711986506743837,3.5441579719285343,2.1794331618283005,high_Q_high_D
arxiv,BkiUb4bxaL3SuhzLnCaY,2.9086015250252877,2.279624977454882,1.5825869985568475,high_Q_high_D
arxiv,BkiUc_w25V5ih3AxzUJY,3.6231369481171196,3.245951632136685,2.2432261023520397,high_Q_high_D
arxiv,BkiUdKg4uBhhxJVAbSlB,2.4216736271878343,1.5382094073849981,1.3801241270174587,high_Q_low_D
arxiv,BkiUfS45qhLBlnv5FwQt,2.4374264589062,2.484809719111818,1.6877094789663791,high_Q_high_D
arxiv,BkiUdjg5qoTA-AMJsvsi,3.4472175093773307,3.4892881811973413,2.348940942224499,high_Q_high_D
arxiv,BkiUeAY5qsMAI5yh7a-M,2.6272582296434464,2.469368658734093,1.6250952805324241,high_Q_high_D
arxiv,BkiUdHjxaJJQnMJkXr4l,3.180974211102955,2.650301395325224,1.7998847089789916,high_Q_high_D
arxiv,BkiUcNbxK6Ot9Pm3uYdF,2.951160272753749,2.8660733610075106,1.8229411103228164,high_Q_high_D
arxiv,BkiUdozxK6Ot9UjEBvcU,2.382639911193484,1.8527665789303147,1.3811239184210327,high_Q_high_D
arxiv,BkiUfd425V5jLX3kjIIW,2.8984520300889733,2.4679132275266276,1.6485098771879545,high_Q_high_D
arxiv,BkiUc__xK7ICUyBu0Ytk,2.649243627432467,2.2938349355957666,1.4821303719763015,high_Q_high_D
arxiv,BkiUdODxK3YB9ohkMhwr,2.98691804536783,2.2203430785136655,1.5758657750672989,high_Q_high_D
arxiv,BkiUbdvxK7Ehm308o-UQ,3.760978314545924,2.6948903559363595,1.939327212313848,high_Q_high_D
arxiv,BkiUc3U5qoYAq3Pz8uon,3.390445986097635,2.55804848605768,1.8023305264707197,high_Q_high_D
arxiv,BkiUbGE5qdmB6uAdshyW,2.5683233837469444,2.68845627040136,1.7531030000889793,high_Q_high_D
arxiv,BkiUfo8241xiP6pGxj80,2.9127153026329213,2.5828091232059527,1.7184216539390003,high_Q_high_D
arxiv,BkiUfK3xK4tBVhat52yo,2.7399959697710403,1.9076853333334096,1.4731435996789852,high_Q_high_D
arxiv,BkiUdf_xK7FjYEXSFEcl,2.0547513958767056,2.042933850565657,1.3888170818347854,high_Q_high_D
arxiv,BkiUelHxK7IDF1DduRfs,2.4559416521400803,1.3735777632802983,1.2974921004104065,high_Q_low_D
arxiv,BkiUaYzxK7ICUn2IXhit,3.133954710604788,3.2855562160692715,2.0026270086477576,high_Q_high_D
arxiv,BkiUdJQ4ubng-JcX4VCP,2.423444475215348,1.614429277483422,1.3168839541784054,high_Q_low_D
arxiv,BkiUbbnxK0-nUh8iIHaL,2.677885820770741,2.0206186705539246,1.4718636652557262,high_Q_high_D
arxiv,BkiUctrxK7FjYHGHzffr,2.8617367892054113,2.935766121366901,1.8555732600990662,high_Q_high_D
arxiv,BkiUawDxK6EuNAra_58K,2.162816813967288,2.6212670136440877,1.8253513013824059,high_Q_high_D
arxiv,BkiUairxK0wg09lJ_0zB,2.4785494767305303,2.106543537791837,1.4640032771869103,high_Q_high_D
arxiv,BkiUdpY4eIOjSBZeeNPE,3.2626378380029504,2.709493420981094,1.7725781499558424,high_Q_high_D
arxiv,BkiUd-k241xg-MOC_zQI,2.4694316548947186,1.5098784542953758,1.2563646702949238,high_Q_low_D
arxiv,BkiUeGvxK6nrxjHzCYv8,2.757848219727814,2.532488672075971,1.694283008496807,high_Q_high_D
arxiv,BkiUd0Q4eIZjxkFh19au,2.2417602889224417,2.134661116033392,1.4120917645876936,high_Q_high_D
arxiv,BkiUfEs5qhDCNj5tich1,2.4151186716492603,2.6818107187019717,1.7131214582662406,high_Q_high_D
arxiv,BkiUeZbxaKgTq1C9OpJ4,2.326445457149494,1.8693588925765314,1.348822076280353,high_Q_high_D
arxiv,BkiUdgg5qoYDgbkp4TEY,2.666550474862796,2.325334656057075,1.615066897529824,high_Q_high_D
arxiv,BkiUbVHxK7FjYCv2QCBP,2.5422857222603383,2.080014555476023,1.5174464160528829,high_Q_high_D
arxiv,BkiUfXDxK1ThhAqzYsFE,2.57261975071774,1.850438927517565,1.4950812731618301,high_Q_high_D
arxiv,BkiUbq825V5hd-4287Pf,2.2337967548542035,1.774259373453017,1.2878943606741227,high_Q_high_D
arxiv,BkiUdBw25YjgKNDlVLJa,2.0243753473499924,0.9272729364286078,1.182620736099047,high_Q_low_D
arxiv,BkiUbSLxK7Ehm4qsy0t6,2.0759306664266473,1.443997809528055,1.2002703427668286,high_Q_low_D
arxiv,BkiUdgc5qhLBWY0XuZmA,2.8075528232574776,2.1284094958578574,1.592769940827748,high_Q_high_D
arxiv,BkiUd3c4eIZijir1ousz,2.5677948925818077,1.8438980089780908,1.5356187394416305,high_Q_high_D
arxiv,BkiUd3A4dbjiVENjpLkA,3.0410265936982834,1.9495751511931798,1.5058998178809782,high_Q_high_D
arxiv,BkiUdNs5qWTA6f4qDodK,2.4345541861942825,1.9354838110979489,1.3755005939148963,high_Q_high_D
arxiv,BkiUdbfxK02iP5rWKrVw,2.6426126796617457,2.097278406442994,1.4575294988210445,high_Q_high_D
arxiv,BkiUexfxK6nrxjHzDAkJ,2.149773223471668,2.223175781259595,1.510282480847616,high_Q_high_D
arxiv,BkiUbUY5qhLACFWlxBr3,3.4541949838493866,3.1516606130851,2.127168096198948,high_Q_high_D
arxiv,BkiUajHxK6nrxjHy_BsR,2.9421612335448293,2.7265422715016365,1.751196108258793,high_Q_high_D
arxiv,BkiUbVI5i7PA9OgJDNwj,2.569913369908155,1.8800602267264237,1.4082241466625054,high_Q_high_D
arxiv,BkiUbEQ241xg-EsBtZ7v,3.7255001380796466,3.365934117614259,2.208980718251763,high_Q_high_D
arxiv,BkiUdNc5qsBDGOt8lJgH,2.310913882800865,2.113122496299149,1.5278160273286139,high_Q_high_D
arxiv,BkiUd9c4uzqh_N6SCiss,1.6296856991430826,2.4217001359049544,1.770019611570538,high_Q_high_D
arxiv,BkiUd6I4eILhQCVbe7nL,3.034681555336697,2.0726237112884873,1.4956844946687493,high_Q_high_D
arxiv,BkiUbv_xK7Ehm2ZQzdWT,2.723520865710601,2.3682222978394933,1.5448259046750534,high_Q_high_D
arxiv,BkiUdmA5qhLAB_d2fBwl,2.8831768371189908,2.5179122021828295,1.7383770995079573,high_Q_high_D
arxiv,BkiUakrxK5YsWOzBAUlJ,2.164179230883949,1.9394794930561572,1.384945104920175,high_Q_high_D
arxiv,BkiUd6TxK6wB9lIs9ivi,3.4494845626391903,2.8248320504278324,1.8834331441092445,high_Q_high_D
arxiv,BkiUdjg5qX_Bw5o9IG_E,2.891511899629032,1.8775835636646268,1.4965877553674298,high_Q_high_D
arxiv,BkiUe0nxK7kjXLlzdoBA,2.5447748997453705,1.8836603324935144,1.4402701401303903,high_Q_high_D
arxiv,BkiUd2Y4ubnhDSvJRyHO,2.0935668614695553,1.9166578841660151,1.3818966090290032,high_Q_high_D
arxiv,BkiUe404uzliCt-nLV60,2.874822897671024,2.6976929086100934,1.6887834942011866,high_Q_high_D
