target,alpha_unshuffled,cv_rmse_unshuffled,alpha_shuffled_seed20260923,cv_rmse_shuffled_seed20260923,test_1m_spearman_unshuffled,test_1m_spearman_shuffled,test_60m_spearman_unshuffled,test_60m_spearman_shuffled,test_1B_spearman_unshuffled,test_1B_spearman_shuffled
arxiv,1.0,0.7256156240601761,1.0,0.7254071956880666,0.7446111810482947,0.7446111810482947,0.7622689688715952,0.7622689688715952,0.8646978021978022,0.8646978021978022
freelaw,0.01,0.48969996733237425,0.1,0.494113010466737,0.7696812771801326,0.7758783474479285,0.7625479228656442,0.7683058194094756,0.7066849816849816,0.7392399267399268
pubmed_central,0.1,0.585706885538018,0.1,0.5880973257384203,0.8331418802929731,0.8331418802929731,0.8522781242847333,0.8522781242847333,0.7995879120879119,0.7995879120879119
wikipedia_en,0.1,0.2984862563729333,0.01,0.29829200273332945,0.8818250743877316,0.8788288223849848,0.8834737640192262,0.8807350080109865,0.8384615384615383,0.7913461538461537
dm_mathematics,0.01,1.2133050247996853,0.01,1.2099255254388166,0.7674668116273746,0.7674668116273746,0.7521164740215153,0.7521164740215153,0.6868131868131867,0.6868131868131867
github,0.01,0.7105666094152114,0.1,0.7139543119192561,0.838052901121538,0.8448858434424351,0.8406700617990385,0.8483019569695581,0.6721153846153846,0.733653846153846
stackexchange,0.01,0.5247414387642194,0.1,0.5262065173979504,0.819406614785992,0.8264255264362553,0.818485351338979,0.8252539196612497,0.7323260073260072,0.7717948717948717
gutenberg_pg_19,0.1,0.24931303733131327,0.01,0.2470223412448811,0.8892974650949874,0.8895563916227969,0.8938508525978485,0.8934224078736551,0.6536630036630036,0.6228937728937728
pile_cc,0.01,0.1596797920817806,0.01,0.1605372149136791,0.9007345788509955,0.9007345788509955,0.8918996051728083,0.8918996051728083,0.8875915750915748,0.8875915750915748
ubuntu_irc,0.01,0.700345062831204,0.01,0.6948377355867086,0.7632639047837033,0.7632639047837033,0.7603742275120163,0.7603742275120163,0.660989010989011,0.660989010989011
hackernews,0.001,0.20210449568205582,0.001,0.2061160918936217,0.8437550068665597,0.8437550068665597,0.8381151293202105,0.8381151293202105,0.5690934065934066,0.5690934065934066
pubmed_abstracts,0.01,0.3103023892975513,0.01,0.3078182855860276,0.9226625085831998,0.9226625085831998,0.9201640821698327,0.9201640821698327,0.6399725274725273,0.6399725274725273
uspto_backgrounds,0.1,0.27913982759092204,0.01,0.2770130715517719,0.8521000228885328,0.8499999999999999,0.831399490730144,0.8299546520943005,0.7586538461538461,0.7478021978021978
