target,alpha,cv_rmse
arxiv,1.0,0.7256156240601761
arxiv,0.1,0.7290695471023413
arxiv,0.01,0.7318655562457419
arxiv,0.001,0.7333308986425563
arxiv,10.0,0.7605592305632449
arxiv,100.0,0.9375206630182648
arxiv,1000.0,1.0053217576765203
freelaw,0.01,0.48969996733237425
freelaw,0.1,0.48998511032251796
freelaw,0.001,0.4900205744122078
freelaw,1.0,0.4931039907243563
freelaw,10.0,0.5448777381772095
freelaw,100.0,0.7204851063648293
freelaw,1000.0,0.7782144724003148
pubmed_central,0.1,0.585706885538018
pubmed_central,0.01,0.5858660940960927
pubmed_central,0.001,0.5865995552928538
pubmed_central,1.0,0.5893853881890687
pubmed_central,10.0,0.6277028349301137
pubmed_central,100.0,0.784079990991488
pubmed_central,1000.0,0.8446799624635728
wikipedia_en,0.1,0.2984862563729333
wikipedia_en,0.01,0.29870446825303565
wikipedia_en,0.001,0.29899948029996654
wikipedia_en,1.0,0.3006845684095656
wikipedia_en,10.0,0.36213457583716185
wikipedia_en,100.0,0.4897956719289482
wikipedia_en,1000.0,0.5235048635023635
dm_mathematics,0.01,1.2133050247996853
dm_mathematics,0.001,1.2142981459444766
dm_mathematics,0.1,1.2146322281864395
dm_mathematics,1.0,1.2892661720467133
dm_mathematics,10.0,1.4795695217447742
dm_mathematics,100.0,1.5309364981751283
dm_mathematics,1000.0,1.537540584466625
github,0.01,0.7105666094152114
github,0.001,0.7106539872637648
github,0.1,0.7123529475277325
github,1.0,0.7167650370981521
github,10.0,0.7617588456989532
github,100.0,0.9669246790063181
github,1000.0,1.0477729049713382
stackexchange,0.01,0.5247414387642194
stackexchange,0.001,0.5250997168932249
stackexchange,0.1,0.5252678420980272
stackexchange,1.0,0.5285235250816573
stackexchange,10.0,0.567327442417832
stackexchange,100.0,0.7184160324487986
stackexchange,1000.0,0.771397080312184
gutenberg_pg_19,0.1,0.24931303733131327
gutenberg_pg_19,0.01,0.2494676585104852
gutenberg_pg_19,0.001,0.2495283668620017
gutenberg_pg_19,1.0,0.2587613970807985
gutenberg_pg_19,10.0,0.33764808996875456
gutenberg_pg_19,100.0,0.4142261814882112
gutenberg_pg_19,1000.0,0.4340601480845322
pile_cc,0.01,0.1596797920817806
pile_cc,0.001,0.1597156489022166
pile_cc,0.1,0.15983379693021119
pile_cc,1.0,0.16273692188481428
pile_cc,10.0,0.1899275889398403
pile_cc,100.0,0.28252021352498774
pile_cc,1000.0,0.3162189422079463
ubuntu_irc,0.01,0.700345062831204
ubuntu_irc,0.001,0.7007012917300234
ubuntu_irc,0.1,0.705608208965932
ubuntu_irc,1.0,0.828275497685674
ubuntu_irc,10.0,0.9851993054871535
ubuntu_irc,100.0,1.0230372297385908
ubuntu_irc,1000.0,1.0299763392422099
hackernews,0.001,0.20210449568205582
hackernews,0.01,0.20221931493139017
hackernews,0.1,0.20938729633055836
hackernews,1.0,0.2624355261380124
hackernews,10.0,0.29839626374226647
hackernews,100.0,0.32964370930151204
hackernews,1000.0,0.3417004986338311
pubmed_abstracts,0.01,0.3103023892975513
pubmed_abstracts,0.1,0.3106336257521617
pubmed_abstracts,0.001,0.3107542691167492
pubmed_abstracts,1.0,0.31482338079938854
pubmed_abstracts,10.0,0.39827212275672486
pubmed_abstracts,100.0,0.5420753734261519
pubmed_abstracts,1000.0,0.5788592832721384
uspto_backgrounds,0.1,0.27913982759092204
uspto_backgrounds,0.01,0.2796303377023655
uspto_backgrounds,0.001,0.280095765174719
uspto_backgrounds,1.0,0.2822681996609425
uspto_backgrounds,10.0,0.3627271965978297
uspto_backgrounds,100.0,0.49654145609810507
uspto_backgrounds,1000.0,0.5274628217220164
