target,alpha,test_1m_spearman,test_1m_pearson,test_1m_rmse,test_60m_spearman,test_60m_pearson,test_60m_rmse,test_1B_spearman,test_1B_pearson,test_1B_rmse,est_10B_spearman,est_10B_pearson,est_10B_rmse,est_70B_spearman,est_70B_pearson,est_70B_rmse
arxiv,1.0,0.7446111810482947,0.7144509634191043,0.5791517247412119,0.7622689688715952,0.7091785393209357,1.8261852747263803,0.8646978021978022,0.7478227223752989,3.2078542621884507,0.6707949308755761,0.7700917450137766,3.3844161431503093,0.6310483870967742,0.7420697059697594,3.750228598269194
freelaw,0.01,0.7696812771801326,0.7593926523513406,0.48107885457138616,0.7625479228656442,0.7520694884233399,1.4449690884932511,0.7066849816849816,0.6232460476313223,3.3680220437700354,0.7125576036866359,0.7941127660125162,3.454000025997524,0.6559139784946237,0.760767556624591,3.8256395515024715
pubmed_central,0.1,0.8331418802929731,0.7766248327948808,0.5294039174312016,0.8522781242847333,0.7837805659890931,1.7552288333094106,0.7995879120879119,0.7345959438559266,3.388361886131875,0.6939324116743472,0.748731066747515,3.4775550950551213,0.6091589861751152,0.6867242915583672,3.84725032870917
wikipedia_en,0.1,0.8818250743877316,0.8430345221456312,0.2942936835422136,0.8834737640192262,0.837472381068139,1.3704447211707218,0.8384615384615383,0.7950160511150903,3.3032654473314786,0.4084439431846424,0.48595976754309284,3.883380475545104,0.334773425499232,0.41068343858862993,4.2967529089075445
dm_mathematics,0.01,0.7674668116273746,0.6555638517947749,1.158720460894497,0.7521164740215153,0.6369030142194778,1.5581854773788024,0.6868131868131867,0.526223006722172,2.665456736794217,0.6416090629800307,0.6008275426093308,2.824760891514594,0.612615207373272,0.5917802306676962,3.1138402257116486
github,0.01,0.838052901121538,0.7653960455328181,0.6119728112520411,0.8406700617990385,0.7443449182274638,2.634377819388772,0.6721153846153846,0.6510084417542321,4.439418262274766,0.6070948540706606,0.6995403070587738,3.6968168916345565,0.5079685099846392,0.6424659193229623,4.080668165527334
stackexchange,0.01,0.819406614785992,0.7554525929916247,0.44775249504606207,0.818485351338979,0.7429617711761509,1.7650636811735239,0.7323260073260072,0.6875357485944666,3.544596343714017,0.5261439869808958,0.6125264918294961,3.5966441832396927,0.4148475284420329,0.4936966970663759,3.9731388015722238
gutenberg_pg_19,0.1,0.8892974650949874,0.822059348974122,0.2582268568762293,0.8938508525978485,0.8360924148471335,1.011357088697703,0.6536630036630036,0.7035518380089267,2.6693016728841483,0.5136328725038403,0.5885085285746603,3.5846319317281536,0.43221966205837176,0.5197241694207061,3.9683438621930107
pile_cc,0.01,0.9007345788509955,0.8779472787537843,0.1538964608442595,0.8918996051728083,0.867221699368672,1.0788553401298977,0.8875915750915748,0.727519321303551,2.681493636789782,0.15346582181259602,0.32639427718294606,3.8059243319106315,0.09485407066052229,0.26609739240863617,4.214675968950349
ubuntu_irc,0.01,0.7632639047837033,0.759422041805141,0.6505137539938817,0.7603742275120163,0.7443547113590638,2.0373596215892156,0.660989010989011,0.6461991298012884,4.108484094455945,0.49980798771121354,0.5070773109354528,4.46647810903223,0.39190178456384595,0.41549236328964256,4.94763563845431
hackernews,0.001,0.8437550068665597,0.8292869612173849,0.19011172175825375,0.8381151293202105,0.8157717459689525,1.0090733189537513,0.5690934065934066,0.5298752537909961,2.3221611816054737,0.1923963133640553,0.20130454035287085,3.5842082582791273,0.10527073732718895,0.10891733533463546,3.970988605925942
pubmed_abstracts,0.01,0.9226625085831998,0.8878228662487733,0.262821817152922,0.9201640821698327,0.8779916988741415,1.3746992925794161,0.6399725274725273,0.5649303996815065,3.0290228765992704,0.32555683563748083,0.41296414666609016,3.6533039490217996,0.21783794162826423,0.3308842822110714,4.039143849604753
uspto_backgrounds,0.1,0.8521000228885328,0.8493236621972948,0.2708118645722819,0.831399490730144,0.8275339663021414,1.42185948538041,0.7586538461538461,0.7709234787278398,2.892322401416661,0.4458578852313818,0.6173163652304023,3.4502324850226667,0.3844658331040491,0.5520145397686806,3.8164881962032204
