target,alpha_web,cv_rmse_web,alpha_local,cv_rmse_local
arxiv,1.0,0.721405062979,1.0,0.7256156240601761
freelaw,0.01,0.496775956277,0.01,0.4896999673323742
pubmed_central,0.1,0.587254793353,0.1,0.585706885538018
wikipedia_en,0.01,0.2978323452,0.1,0.2984862563729333
dm_mathematics,0.01,1.2109136166,0.01,1.2133050247996853
github,0.01,0.720053617138,0.01,0.7105666094152114
stackexchange,0.1,0.527110465605,0.01,0.5247414387642194
gutenberg_pg_19,0.001,0.250130605118,0.1,0.2493130373313132
pile_cc,0.001,0.15827791511,0.01,0.1596797920817806
ubuntu_irc,0.01,0.699211967952,0.01,0.700345062831204
hackernews,0.001,0.200623389564,0.001,0.2021044956820558
pubmed_abstracts,0.01,0.305227349672,0.01,0.3103023892975513
uspto_backgrounds,0.1,0.279766797885,0.1,0.279139827590922
