_source_domain,_id,_line,Q_z,D_conflict,n_available_signals,n_usable_edges,conflict_status,review_reason,decision_rule_version
arxiv,BkiUdvE4eIfiUWiFdbiw,1,-0.3585039195047283,1.7609884038299037,22,55,LOW_PRIORITY,conflict degree below frozen review threshold,chm.q1.conflict_resolution.v1
arxiv,BkiUdb44dbjiU9oEeWKt,2,3.384686377518676,3.2094401628708518,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,chm.q1.conflict_resolution.v1
arxiv,BkiUd0E5qhDBdMC-Fcd6,3,1.9774490770691593,1.571738833604165,22,55,RETAIN,conflict degree below frozen review threshold,chm.q1.conflict_resolution.v1
arxiv,BkiUdPA4dbgg3Wyis_JT,4,3.155316822811708,2.88641951729768,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,chm.q1.conflict_resolution.v1
arxiv,BkiUdILxK7FjYAb_67PT,5,2.199503584819476,1.487357460561999,22,55,RETAIN,conflict degree below frozen review threshold,chm.q1.conflict_resolution.v1
arxiv,BkiUfYzxK6-gD5TlfjZo,6,2.365194706733306,1.8899281740685894,22,55,RETAIN,conflict degree below frozen review threshold,chm.q1.conflict_resolution.v1
arxiv,BkiUdZY5qrqCyq8KqH5a,7,2.139551450069127,1.6132737130055785,22,55,RETAIN,conflict degree below frozen review threshold,chm.q1.conflict_resolution.v1
arxiv,BkiUcQrxK02iP15vfcUN,8,2.9981395035580705,2.8235292435441592,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,chm.q1.conflict_resolution.v1
arxiv,BkiUd-7xK7IAD7XMJnpB,9,2.899789771915589,2.247354255527219,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,chm.q1.conflict_resolution.v1
arxiv,BkiUdC84eIZjfagW4Wnr,10,3.260674063408814,3.0033690064844114,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,chm.q1.conflict_resolution.v1
arxiv,BkiUbCM5jDKDx8o5qk9R,11,1.7318016482838465,1.0105641146979827,22,55,RETAIN,conflict degree below frozen review threshold,chm.q1.conflict_resolution.v1
arxiv,BkiUdafxaL3SuhsxKGrm,12,2.7881389325775126,1.5769935085058044,22,55,RETAIN,conflict degree below frozen review threshold,chm.q1.conflict_resolution.v1
arxiv,BkiUbg05ixsDMJPI2xCB,13,1.878570048704639,2.0192410736683497,22,55,RETAIN,conflict degree below frozen review threshold,chm.q1.conflict_resolution.v1
arxiv,BkiUdEU5qsBC4wbX-bkK,14,2.482457259925143,2.538924644699425,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,chm.q1.conflict_resolution.v1
arxiv,BkiUbhg25V5hd-428xX-,15,3.446804046952278,3.0247760861874555,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,chm.q1.conflict_resolution.v1
arxiv,BkiUdGM4dbgg4JMhnNMO,16,3.6799781523913575,3.2940228941684615,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,chm.q1.conflict_resolution.v1
