_source_domain,_id,_line,case_hash,q_group,d_group,Q_z,D_conflict,n_available_signals,n_usable_edges,conflict_status,review_reason,top_edge_a,top_edge_b,top_edge_weighted_gap,source_line,content_sha256,content_chars
arxiv,BkiUaGo25V5hYDkHE-XL,371,001f17cd47c474c45c39663af96d88b922aa6c46b32fcaecf040fe5b2c0bb35a,high_Q,high_D,2.234756320421302,2.0942520404071914,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,modernbert_professionalism,rps_doc_frac_no_alph_words,1.2800681009233315,371,d6f2e92e1aad65bfe54ca3cb33e5066ee7a98eb16eb0a75c7f3ed9c6eb7b94f7,16215
arxiv,BkiUbeHxK03BfL1dT21z,429,014543755f5fad4f3f0f74609b88f8b9c0d98b65eda194c65730505de1d57b8f,high_Q,low_D,1.890613023142204,1.522928437158836,22,55,RETAIN,conflict degree below frozen review threshold,modernbert_professionalism,rps_lines_ending_with_terminal_punctution_mark,1.1347453364001727,429,c4e0fa6381a26172bc8fe9128d398c9bb6cdb9f31ee0268bd2b94f87acfc902d,15119
arxiv,BkiUdX3xK6wB9k0iLt8X,1004,209e9a5d97bd414003845991d91f685de386eddd2f65d4539e1a41b014821fde,low_Q,high_D,-1.2466926013022321,2.7201960384515647,22,55,LOW_PRIORITY_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,modernbert_professionalism,rps_doc_mean_word_length,2.9228652180003802,1004,441f1404394573aa4a094fbcda247ac96e37e54be6d293d03eb5218b0cc7c6f9,758
arxiv,BkiUfNw25V5jPC6s0xZV,1066,2da874f52e9cefc716a6559981eebbe42b89064ccc8e06b016ab429d8117718f,low_Q,low_D,-1.0181729295098536,0.9499819397583363,22,55,LOW_PRIORITY,conflict degree below frozen review threshold,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,0.7248303134260404,1066,8d600a8b03c32540e4ccbf360a9dda37198eb8e461ca04f4ceedeff6ee3eea18,431
book,BkiUcKHxK6EuNCwyuQ3X,1469,004151a5f5cf6cd6f980df17c141be690ac45c59717f7d48f0d19ab0d65a527b,high_Q,high_D,4.066941864813993,2.816408449026235,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,rps_doc_frac_no_alph_words,rps_lines_numerical_chars_fraction,1.348709474325576,1469,47a8a86a3d996cbd3b4ea64b4c3fcc4eb72a375329baf5ac31e9dad12b9facb5,1537655
book,BkiUfBvxK4tBVicoEgK5,1492,001e8d8d5c6b69485d52c57a87475cc181950e7a36dc25fc178ae31ce51effb1,high_Q,low_D,1.2300719455398446,1.619282090790583,22,55,RETAIN,conflict degree below frozen review threshold,rps_doc_frac_no_alph_words,rps_lines_numerical_chars_fraction,1.2154731567726036,1492,fc5237c94800e94d4fa6e07fad60e6ad5ab6c495e2a5d4db1cb692826eb67085,11620
book,BkiUasXxK1ThhCdy6D8f,1420,dd45b083a78153a3f0db3e9823a20c7352f6e4691b50de6a3c0f314406a549e1,low_Q,low_D,-0.6795894883288903,1.454180353690104,22,55,LOW_PRIORITY,conflict degree below frozen review threshold,rps_doc_frac_no_alph_words,rps_lines_numerical_chars_fraction,1.9109589237467952,1420,343aad26bb01d720859096e86405bd9c8e061934ec3a91e83b7d63ed2ba555a4,813
c4,BkiUdzc5ixsDMFcyQVBV,5069,002dbee5df7e40399f50e5f0cee8075f966fe514140101052326d71a40f86e36,high_Q,high_D,0.06870916332194597,2.1402220520321307,22,55,RETAIN_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,ad_en,rps_doc_unigram_entropy,1.3654341768394345,5069,4b07e76c1ed289abd815bc5345fa400c135f7d975958c0d646259083ff9ff49c,5362
c4,BkiUd4U4eIXh1x7bjxGE,5463,00087ae29f876fa469e322834c5946580be93c25c07967cbeb54985a0f40b731,high_Q,low_D,1.02012329017943,0.9622370301093662,22,55,RETAIN,conflict degree below frozen review threshold,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,0.6086428247451862,5463,7288b44f19320a012c150c7374ac04f1c200b788212ab265f8305825a8e88341,3571
c4,BkiUc0HxaKgTvXx06dgF,6377,00022228dfd847f27f4345e7268a4dcb4591339e5ec85b197db61dc6d14598bc,low_Q,high_D,-1.0844882143048,2.179303241637515,22,55,LOW_PRIORITY_FLAG_REVIEW,conflict degree above frozen A1 75th percentile,modernbert_professionalism,rps_lines_ending_with_terminal_punctution_mark,1.2117319333938976,6377,e32402dba96bb4f2f83b46c0d59a7692b6d8fb71c292e4d9c551d934bad1f297,467
