target,alpha,cv_rmse,published_cv_rmse,max_abs_cv_diff,fold_rmse_json,all_alpha_cv_json,fitted_reference_loss
arxiv,0.01,0.683447163676869,0.6834471636768689,1.1102230246251565e-16,"[0.7289769340403023,0.6787964821082088,0.6615123491989027,0.711752616789076,0.6361974362478551]","{""0.001"":0.6870665413057166,""0.01"":0.683447163676869,""0.1"":0.6882611843611225,""1.0"":0.7149563261739332,""10.0"":0.7585385177564528,""100.0"":0.9369338286659306,""1000.0"":1.0052444344506026}",4.761270940699587
freelaw,0.01,0.4227207714690314,0.4227207714690313,1.1102230246251565e-16,"[0.42153871976540924,0.40363251199117817,0.42643149785831347,0.4383888861898809,0.423612241540375]","{""0.001"":0.4230432970621014,""0.01"":0.4227207714690314,""0.1"":0.4352001963545115,""1.0"":0.47791975656913593,""10.0"":0.5422560841583668,""100.0"":0.7199642983395005,""1000.0"":0.778152723321511}",5.065625959122608
pubmed_central,0.01,0.5476240682050718,0.5476240682050719,1.1102230246251565e-16,"[0.5096708924990938,0.5535232888588845,0.5579231137374749,0.5671680763089677,0.5498349696209383]","{""0.001"":0.5507861998723784,""0.01"":0.5476240682050718,""0.1"":0.5486731335975003,""1.0"":0.5786752632271484,""10.0"":0.6257414168221035,""100.0"":0.7835457101704069,""1000.0"":0.8446101346078458}",4.949846079103738
wikipedia_en,0.1,0.2933173779045809,0.2933173779045809,0.0,"[0.2636333065487521,0.2867388253025267,0.29965997429294594,0.3189787559521647,0.2975760274265152]","{""0.001"":0.2943784941689818,""0.01"":0.2935634122731493,""0.1"":0.2933173779045809,""1.0"":0.2994434300072623,""10.0"":0.362060701002641,""100.0"":0.48975511465690413,""1000.0"":0.5234988942840513}",5.76418940700044
dm_mathematics,0.1,1.2184707390759038,1.2184707390759038,0.0,"[1.269193029443307,1.2640253612458223,1.1809775775862201,1.2166323782555895,1.16152534884858]","{""0.001"":1.2293832282114334,""0.01"":1.2258567204510007,""0.1"":1.2184707390759038,""1.0"":1.290067214232137,""10.0"":1.4797834127559586,""100.0"":1.5309549959470623,""1000.0"":1.5375420309592982}",3.830527802897536
github,0.01,0.6353849024109964,0.6353849024109964,0.0,"[0.6438403779195282,0.571970030542058,0.6434305079946053,0.680182687380151,0.6375009082186397]","{""0.001"":0.6370717017426102,""0.01"":0.6353849024109964,""0.1"":0.6510846258492196,""1.0"":0.7011252771707133,""10.0"":0.7594420277510154,""100.0"":0.9664147823054634,""1000.0"":1.047707223540937}",4.959775361304618
stackexchange,0.01,0.5037020653542099,0.5037020653542099,0.0,"[0.523229886666829,0.46349176240506545,0.5411274453832636,0.523217445211271,0.4674437871046203]","{""0.001"":0.5047395597282858,""0.01"":0.5037020653542099,""0.1"":0.5072448157503746,""1.0"":0.5239649988757336,""10.0"":0.5668510713157193,""100.0"":0.718298158445873,""1000.0"":0.7713805314650366}",5.074001956423764
gutenberg_pg_19,0.01,0.24331171527557202,0.24331171527557202,0.0,"[0.2564283610707599,0.21397823425768572,0.24844250149083247,0.2479024711776646,0.24980700838091743]","{""0.001"":0.24383596983351916,""0.01"":0.24331171527557202,""0.1"":0.24337530059804519,""1.0"":0.2571985923072798,""10.0"":0.3374727768873378,""100.0"":0.41416264476783393,""1000.0"":0.43405119732425906}",5.379482270875026
pile_cc,0.01,0.1343752922936093,0.13437529229360928,2.7755575615628914e-17,"[0.12178260542050122,0.11718681400942497,0.14336250564537326,0.15389377090521209,0.1356507654875351]","{""0.001"":0.13458963071377011,""0.01"":0.1343752922936093,""0.1"":0.1394260097254437,""1.0"":0.15744965746556872,""10.0"":0.1891808471672529,""100.0"":0.2823532766851756,""1000.0"":0.3161974091948462}",5.641813044957787
ubuntu_irc,0.01,0.6950774640474311,0.6950774640474308,3.3306690738754696e-16,"[0.7037328072819604,0.6166503961635675,0.6868687146097916,0.7197615500459509,0.7483738521358845]","{""0.001"":0.6960767061053666,""0.01"":0.6950774640474311,""0.1"":0.7001146560870758,""1.0"":0.8273528837058496,""10.0"":0.9851867264216517,""100.0"":1.023025423442585,""1000.0"":1.0299740463583644}",6.403453947077772
hackernews,0.001,0.19441943140917387,0.19441943140917384,2.7755575615628914e-17,"[0.20739785683855955,0.17235790724123026,0.18677334787048214,0.21944544431904256,0.1861226007765547]","{""0.001"":0.19441943140917387,""0.01"":0.19443100422087767,""0.1"":0.20336014476320186,""1.0"":0.2611903671283874,""10.0"":0.2981896464673139,""100.0"":0.329564446157054,""1000.0"":0.3416891656120458}",5.3428334156452735
pubmed_abstracts,0.1,0.30145577111046523,0.30145577111046523,0.0,"[0.3003532297498657,0.29225187718486956,0.27186881942147656,0.32639507870731593,0.3164098504887984]","{""0.001"":0.30367296446642766,""0.01"":0.30229594887362365,""0.1"":0.30145577111046523,""1.0"":0.3121258829085735,""10.0"":0.39793338269893874,""100.0"":0.5419677576536583,""1000.0"":0.5788446570242056}",5.3858311812611275
uspto_backgrounds,0.1,0.2755848400211763,0.2755848400211763,0.0,"[0.27874981326042003,0.2610380277999267,0.2706741214731828,0.3012492014069666,0.2662130361653851]","{""0.001"":0.2784103331834952,""0.01"":0.277258578921339,""0.1"":0.2755848400211763,""1.0"":0.28137543760136247,""10.0"":0.36268477370207897,""100.0"":0.4965102838252774,""1000.0"":0.5274584897925045}",5.139483014631319
