target,domain_i,domain_j,gamma_full,fold_gamma_json,fold_min,fold_max,same_sign_fold_count,fold_count,alpha
arxiv,freelaw,arxiv,-7.064122212700032,"[-7.266924672900609,-6.837724557215608,-7.077232990913229,-6.798386834384288,-6.909936123565797]",-7.266924672900609,-6.798386834384288,5,5,0.01
arxiv,freelaw,pubmed_central,-2.851234637435685,"[-1.1936908333936267,-3.298863495287668,-3.4154480528791797,-2.301124588279293,-3.289079283252912]",-3.4154480528791797,-1.1936908333936267,5,5,0.01
arxiv,freelaw,github,-1.962966387806241,"[-0.816095976775432,-1.6409819507577477,-2.390806287690417,-1.1039777504782082,-4.4186730871750255]",-4.4186730871750255,-0.816095976775432,5,5,0.01
arxiv,freelaw,pile_cc,-3.608074538599851,"[-6.8362919037729215,-2.400493918508882,-2.7482600030919535,-2.332101238647617,-3.9577187471702198]",-6.8362919037729215,-2.332101238647617,5,5,0.01
arxiv,arxiv,pubmed_central,-3.7172644548086438,"[-3.644908300395231,-3.7751449833454673,-4.2803893494788925,-3.318017612387309,-3.3255117883259158]",-4.2803893494788925,-3.318017612387309,5,5,0.01
arxiv,arxiv,github,-9.494624705683023,"[-9.940266252078967,-8.329841300313513,-9.002330170591792,-8.991902642955697,-10.070678499113965]",-10.070678499113965,-8.329841300313513,5,5,0.01
arxiv,arxiv,pile_cc,-8.907035715521745,"[-9.93137781103862,-8.705602295427113,-8.944483126842846,-8.342822565055497,-7.858366603843863]",-9.93137781103862,-7.858366603843863,5,5,0.01
arxiv,pubmed_central,github,-2.9992146138963034,"[-2.547791348992869,-2.425259479274696,-3.1322617421931485,-3.982898560564079,-2.9825661920695543]",-3.982898560564079,-2.425259479274696,5,5,0.01
arxiv,pubmed_central,pile_cc,-2.6850199275060342,"[-2.8458859944063564,-2.5803012726400842,-1.6453536427944069,-3.7417953400071235,-2.4431872789274265]",-3.7417953400071235,-1.6453536427944069,5,5,0.01
arxiv,github,pile_cc,-0.17908096426242978,"[-0.1323098868248155,-1.0042710198436031,0.64469951817056,-0.9941479343697045,0.18621526414070375]",-1.0042710198436031,0.64469951817056,3,5,0.01
freelaw,freelaw,arxiv,-6.849859795421642,"[-7.0570526499063515,-7.236984353500697,-6.515656253645715,-6.361608484415207,-6.568656184393229]",-7.236984353500697,-6.361608484415207,5,5,0.01
freelaw,freelaw,pubmed_central,-6.7529956404774465,"[-6.859582260273223,-6.916200367513259,-6.4914255415214726,-6.040721013831677,-6.876545241308778]",-6.916200367513259,-6.040721013831677,5,5,0.01
