mixture_domain,p_ref
arxiv,0.11302252583269279
freelaw,0.0968248321520278
nih_exporter,0.00588968021709595
pubmed_central,0.11375419105058357
wikipedia_en,0.07507775607983627
dm_mathematics,0.0254628540970504
github,0.11070066007050916
philpapers,0.005487697351193036
stackexchange,0.09943242344413017
enron_emails,0.002211033043406226
gutenberg_pg_19,0.04691494424753537
pile_cc,0.11948759779188561
ubuntu_irc,0.019599998284005892
europarl,0.012737064754031531
hackernews,0.011650822378108678
pubmed_abstracts,0.06618116611257162
uspto_backgrounds,0.07556475309333588
