scope,kind,file,sha256,n,n_unique_index,raw_sum_min,raw_sum_max,max_normalization_l1
train_1m,mixture,train_mixture_1m.csv,04a32ef4ab594376bf90e11404c033668f887c351d6a03ad3744824c7296a2d8,512,512,0.9960000000000001,1.0030000000000001,0.003999999999999909
train_1m,loss,train_pile_loss_1m.csv,49a959aa07ce5c20831d5abe3a7896ff0cd90a398bd407c8913fd5588be0465a,512,512,,,
test_1m,mixture,test_mixture_1m.csv,197267b7d6f15367e2f46c881e564c35b0d34e51b1754bb09d07e650cf8e1ce8,256,256,0.9970000000000001,1.0030000000000001,0.003000000000000113
test_1m,loss,test_pile_loss_1m.csv,e027b1674f60140a65a87b5e4a59ab5f09dc33e8fd02c080682678074b160f53,256,256,,,
test_60m,mixture,test_mixture_60m.csv,197267b7d6f15367e2f46c881e564c35b0d34e51b1754bb09d07e650cf8e1ce8,256,256,0.9970000000000001,1.0030000000000001,0.003000000000000113
test_60m,loss,test_pile_loss_60m.csv,8fe69d59ab7dd4fae4736459f4265ec93c7ed1ad1eca407346052560edc72b5b,256,256,,,
test_1B,mixture,test_mixture_1B.csv,dd38052949c0a5f84165bdcb3ae3a331c7f07efd9bb83848bd579dfc4ce75a2c,64,64,0.998,1.002,0.0019999999999999784
test_1B,loss,test_pile_loss_1B.csv,b2451e2b7fa15400688edc39e4d32f21ccbe0fb356e07d62a0e9ccddf247114f,64,64,,,
est_10B,mixture,est_mixture_10b.csv,880c7ca1ebef470422e2b93d9bfcd0976db7db4e34ea57047518d95fe43327d1,63,63,0.998,1.0020000000000002,0.002000000000000253
est_10B,loss,est_pile_loss_10b.csv,226457581f3f59e15e44d8f72dee31fa7492c821699725fef47627d82cf34c0d,63,63,,,
est_70B,mixture,est_mixture_70b.csv,880c7ca1ebef470422e2b93d9bfcd0976db7db4e34ea57047518d95fe43327d1,63,63,0.998,1.0020000000000002,0.002000000000000253
est_70B,loss,est_pile_loss_70b.csv,d0883b2d1a44da9386a6d629a3623c724ee291cba1ac87b6d1079e5377307682,63,63,,,
