target,n,spearman_1m_60m,mean_delta_60m_minus_1m
arxiv,256,0.9948343442435337,-1.5935994358733296
freelaw,256,0.9980466067750055,-1.3430465962737799
pubmed_central,256,0.9943400949874113,-1.6638307059183717
wikipedia_en,256,0.9974221789883265,-1.3523109182715416
dm_mathematics,256,0.9882925154497594,-1.301036092452705
github,256,0.9928745136186768,-2.439604685641825
stackexchange,256,0.9978041313801784,-1.6231571352109313
gutenberg_pg_19,256,0.9944058995193406,-0.9688598234206438
pile_cc,256,0.9940983348592354,-1.0649028662592173
ubuntu_irc,256,0.9800898374914165,-1.9264513989910483
hackernews,256,0.9939860379949643,-0.9763440135866404
pubmed_abstracts,256,0.9978062771801327,-1.3422633856534958
uspto_backgrounds,256,0.9946111810482946,-1.3764131953939795
