target,outer_fold,model,alpha,inner_cv_rmse,selected_domains,outer_rmse
arxiv,1,ridge,1.0,0.7236308571494313,,0.7372908736632204
arxiv,1,interaction,0.01,0.6828482561164274,arxiv|stackexchange|pubmed_central|pile_cc|github,0.7350599752116099
arxiv,2,ridge,1.0,0.7250369412047882,,0.7203480480534592
arxiv,2,interaction,0.01,0.6869664994811137,freelaw|github|pubmed_central|arxiv|pile_cc,0.6787964821082088
arxiv,3,ridge,1.0,0.7280228499849175,,0.7143774263282994
arxiv,3,interaction,0.1,0.7107538179428955,freelaw|arxiv|pubmed_central|pile_cc|github,0.6736599018128314
arxiv,4,ridge,1.0,0.7199984029136619,,0.7638552887897695
arxiv,4,interaction,0.01,0.6857077639000843,freelaw|pubmed_central|github|arxiv|pile_cc,0.7117526167890759
arxiv,5,ridge,1.0,0.7312780514908688,,0.692206483466132
arxiv,5,interaction,0.01,0.707075268771289,arxiv|stackexchange|github|pubmed_central|pile_cc,0.6336127101485405
freelaw,1,ridge,0.1,0.49051667001503035,,0.4908662484054272
freelaw,1,interaction,0.1,0.486909351620319,arxiv|stackexchange|pubmed_central|pile_cc|github,0.49055797469673573
freelaw,2,ridge,0.1,0.5032574778925579,,0.4435526541959248
freelaw,2,interaction,0.01,0.45397629392491046,freelaw|github|pubmed_central|arxiv|pile_cc,0.4036325119911781
freelaw,3,ridge,0.1,0.49207256199729776,,0.500137943486045
freelaw,3,interaction,0.01,0.43964596899913877,freelaw|arxiv|pubmed_central|pile_cc|github,0.4264314978583134
freelaw,4,ridge,0.1,0.4860828725386609,,0.5322231868699027
freelaw,4,interaction,0.01,0.4564193895209068,freelaw|pubmed_central|github|arxiv|pile_cc,0.4383888861898808
freelaw,5,ridge,1.0,0.5023427069255568,,0.49019921115211157
freelaw,5,interaction,0.1,0.48632084784293345,arxiv|stackexchange|github|pubmed_central|pile_cc,0.48443662810134414
pubmed_central,1,ridge,0.1,0.5966557348446531,,0.5537053007104847
pubmed_central,1,interaction,0.01,0.555048380280051,arxiv|stackexchange|pubmed_central|pile_cc|github,0.5056518927044148
pubmed_central,2,ridge,0.1,0.5869799978725334,,0.5821530732682582
pubmed_central,2,interaction,0.1,0.5539215785843634,freelaw|github|pubmed_central|arxiv|pile_cc,0.5529055829369451
pubmed_central,3,ridge,0.1,0.578926325150525,,0.6144987001786969
pubmed_central,3,interaction,0.1,0.5515142538869926,freelaw|arxiv|pubmed_central|pile_cc|github,0.5660190903565714
pubmed_central,4,ridge,0.1,0.5888267462629195,,0.5813537426368055
pubmed_central,4,interaction,0.01,0.5439682748404941,freelaw|pubmed_central|github|arxiv|pile_cc,0.5671680763089677
pubmed_central,5,ridge,0.1,0.5835798397518049,,0.5968236108958448
pubmed_central,5,interaction,0.01,0.5384666894874207,arxiv|stackexchange|github|pubmed_central|pile_cc,0.5429417674071374
wikipedia_en,1,ridge,0.1,0.3065884604362329,,0.27171127502921877
wikipedia_en,1,interaction,0.1,0.30062872424041626,arxiv|stackexchange|pubmed_central|pile_cc|github,0.26293241608992657
wikipedia_en,2,ridge,0.1,0.3025756439604995,,0.2890582318943464
wikipedia_en,2,interaction,0.01,0.29622137509445495,freelaw|github|pubmed_central|arxiv|pile_cc,0.2915581345356203
wikipedia_en,3,ridge,0.01,0.29883332076253,,0.309279660905405
wikipedia_en,3,interaction,0.1,0.2957150524105477,freelaw|arxiv|pubmed_central|pile_cc|github,0.29965997429294583
wikipedia_en,4,ridge,0.01,0.2945763638858917,,0.3239148181376219
wikipedia_en,4,interaction,0.1,0.2903570404895733,freelaw|pubmed_central|github|arxiv|pile_cc,0.3189787559521646
wikipedia_en,5,ridge,0.1,0.29947787045132435,,0.3013022683760802
wikipedia_en,5,interaction,0.1,0.29280954077399546,arxiv|stackexchange|github|pubmed_central|pile_cc,0.2961380285194168
dm_mathematics,1,ridge,0.1,1.2200532587599695,,1.2583632093791983
dm_mathematics,1,interaction,0.1,1.219511936795818,arxiv|stackexchange|pubmed_central|pile_cc|github,1.2496412391403569
dm_mathematics,2,ridge,0.1,1.222296176836673,,1.255650034631846
dm_mathematics,2,interaction,0.1,1.219450434710708,freelaw|github|pubmed_central|arxiv|pile_cc,1.2640253612458223
dm_mathematics,3,ridge,0.01,1.2367902978017196,,1.2008558296915814
dm_mathematics,3,interaction,0.1,1.2460651058025427,freelaw|arxiv|pubmed_central|pile_cc|github,1.1809775775862201
dm_mathematics,4,ridge,0.1,1.2347570371876988,,1.2095754104857783
dm_mathematics,4,interaction,0.1,1.23134042246865,freelaw|pubmed_central|github|arxiv|pile_cc,1.2166323782555892
dm_mathematics,5,ridge,0.1,1.2639761974353396,,1.1555966751872375
