target,model,n_outer_predictions,oof_rmse,oof_mae,oof_spearman
arxiv,ridge,512,0.726022062272318,0.5667554364580626,0.7828623713965278
arxiv,interaction,512,0.6875315580602045,0.5358919605772992,0.8171936154598827
arxiv,constant,512,1.0159648215072203,0.8150707734480638,-0.09391684933235372
freelaw,ridge,512,0.4921230978817448,0.4273820251804643,0.8180358323033611
freelaw,interaction,512,0.4499468187869238,0.384252925088687,0.8372099448106567
freelaw,constant,512,0.7860903193155118,0.6769959501672874,-0.09895554199335029
pubmed_central,ridge,512,0.585980639691486,0.5012345693602552,0.7845163171913804
pubmed_central,interaction,512,0.5473319400091462,0.45633985847649716,0.8159170579130475
pubmed_central,constant,512,0.8532639512993909,0.7421028739487603,-0.05759871402947034
wikipedia_en,ridge,512,0.2995074274052999,0.2476373053428597,0.8608772215927947
wikipedia_en,interaction,512,0.2943444429924276,0.2426102822849966,0.8600921360192718
wikipedia_en,constant,512,0.5291073294518748,0.43943217173043225,-0.035119919624453426
dm_mathematics,ridge,512,1.2167676763147466,1.1199180092627792,0.6796292064350373
dm_mathematics,interaction,512,1.2126206089714895,1.113028575673896,0.6869061566587702
dm_mathematics,constant,512,1.5393434548179412,1.4469779909673592,-0.12147959684894229
github,ridge,512,0.7129401302585991,0.5829114138336745,0.8152137800265503
github,interaction,512,0.6309372179126789,0.5044894469583856,0.8613168373273367
github,constant,512,1.060030360975033,0.8663427625519202,-0.11604747589630372
stackexchange,ridge,512,0.5278335090437206,0.42849491071066753,0.8042244595507032
stackexchange,interaction,512,0.49223294093091874,0.3876203617073488,0.8254791695277005
stackexchange,constant,512,0.7790240937398764,0.6353302793446243,-0.11945314230026102
gutenberg_pg_19,ridge,512,0.25033461750618313,0.19349494113469698,0.8704102758322748
gutenberg_pg_19,interaction,512,0.24498838154681413,0.187500224775429,0.8707189098602671
gutenberg_pg_19,constant,512,0.4372240947416729,0.35606030646407905,-0.1284675457900989
pile_cc,ridge,512,0.16091898431659168,0.1310363788079621,0.8834011577173526
pile_cc,interaction,512,0.13688267839211826,0.11113871820256019,0.914084315383207
pile_cc,constant,512,0.32120773073503667,0.2631674945235387,-0.0814683547805865
ubuntu_irc,ridge,512,0.7028188438460332,0.6151797873278297,0.7581813051464277
ubuntu_irc,interaction,512,0.6985526591462058,0.6098512904265825,0.7528523613542989
ubuntu_irc,constant,512,1.0312764136078398,0.9254696470015455,-0.1119860804644584
hackernews,ridge,512,0.2031085529664146,0.16396340002033877,0.8285276011089368
hackernews,interaction,512,0.19600680376156052,0.1555522382589694,0.8212521708094437
hackernews,constant,512,0.34388615245910636,0.2806548754724226,-0.11208540707827083
pubmed_abstracts,ridge,512,0.31075759438891065,0.23747879586732726,0.9056229865474189
pubmed_abstracts,interaction,512,0.29948196341980604,0.2228049216947911,0.9060756557489613
pubmed_abstracts,constant,512,0.5851429501292728,0.47200333933495975,-0.03749636703236993
uspto_backgrounds,ridge,512,0.2794748094367286,0.2351314997703952,0.8672052920543368
uspto_backgrounds,interaction,512,0.2758768157805456,0.23268404289855055,0.8747059393632483
uspto_backgrounds,constant,512,0.5318148973575789,0.45856414212398133,-0.0763500000765415
