mixture_domain,mapped_quality_domain,mapping_type,mapping_basis,Q_A_proxy,Q_A_conditional_low,Q_A_conditional_high,Q_A_n,rule_rank_min,rule_rank_max,score_version,risk
arxiv,arxiv,direct,配方域名与质量信号域名一致,2.6886935343361333,2.6621478011974355,2.726220698360115,1419.0,1.0,2.0,q1_global_spearman_all22_v1,same_name_not_same_population
github,github,direct,配方域名与质量信号域名一致,-0.4853505780802409,-0.5116698287970813,-0.4602429191275927,10000.0,5.0,7.0,q1_global_spearman_all22_v1,same_name_not_same_population
stackexchange,stackexchange,direct,配方域名与质量信号域名一致,0.2516700815385636,0.237004618161363,0.2660004837845429,10000.0,4.0,4.0,q1_global_spearman_all22_v1,same_name_not_same_population
wikipedia_en,wikipedia,near_direct,名称略有差异，语义对应,-0.2944371095837085,-0.3194399590017242,-0.2706328349623838,10000.0,5.0,6.0,q1_global_spearman_all22_v1,near_domain_proxy
gutenberg_pg_19,book,near_direct,书籍类文本，可参考 book 域质量信号,2.918312769566993,2.787906367685655,2.9606246090215587,171.0,1.0,2.0,q1_global_spearman_all22_v1,near_domain_proxy
pile_cc,commoncrawl,near_direct,网页抓取类文本，可参考 commoncrawl 域质量信号,0.4367240822461798,0.4223869434200059,0.4543217637952914,9640.0,3.0,3.0,q1_global_spearman_all22_v1,near_domain_proxy
dm_mathematics,,inferred,无同名质量域，需自行建立关联,,,,,,,q1_global_spearman_all22_v1,unknown_no_numeric_value
freelaw,,inferred,无同名质量域，需自行建立关联,,,,,,,q1_global_spearman_all22_v1,unknown_no_numeric_value
nih_exporter,,inferred,无同名质量域，需自行建立关联,,,,,,,q1_global_spearman_all22_v1,unknown_no_numeric_value
pubmed_central,,inferred,无同名质量域，需自行建立关联,,,,,,,q1_global_spearman_all22_v1,unknown_no_numeric_value
philpapers,,inferred,无同名质量域，需自行建立关联,,,,,,,q1_global_spearman_all22_v1,unknown_no_numeric_value
enron_emails,,inferred,无同名质量域，需自行建立关联,,,,,,,q1_global_spearman_all22_v1,unknown_no_numeric_value
ubuntu_irc,,inferred,无同名质量域，需自行建立关联,,,,,,,q1_global_spearman_all22_v1,unknown_no_numeric_value
europarl,,inferred,无同名质量域，需自行建立关联,,,,,,,q1_global_spearman_all22_v1,unknown_no_numeric_value
hackernews,,inferred,无同名质量域，需自行建立关联,,,,,,,q1_global_spearman_all22_v1,unknown_no_numeric_value
pubmed_abstracts,,inferred,无同名质量域，需自行建立关联,,,,,,,q1_global_spearman_all22_v1,unknown_no_numeric_value
uspto_backgrounds,,inferred,无同名质量域，需自行建立关联,,,,,,,q1_global_spearman_all22_v1,unknown_no_numeric_value
