rep,domain,Q_median,rank,rank_primary_holdout
0,arxiv,2.712768617790758,2,2
0,book,2.9879670704504906,1,1
0,c4,-0.29590092032712717,5,5
0,commoncrawl,0.42585338816519613,3,3
0,github,-0.5068606203647346,7,7
0,stackexchange,0.26201177345066695,4,4
0,wikipedia,-0.30821765824042896,6,6
1,arxiv,2.712768617790758,2,2
1,book,2.9879670704504906,1,1
1,c4,-0.29590092032712717,5,5
1,commoncrawl,0.42585338816519613,3,3
1,github,-0.5068606203647346,7,7
1,stackexchange,0.26201177345066695,4,4
1,wikipedia,-0.30821765824042896,6,6
2,arxiv,2.712768617790758,2,2
2,book,2.9879670704504906,1,1
2,c4,-0.29590092032712717,5,5
2,commoncrawl,0.42585338816519613,3,3
2,github,-0.5068606203647346,7,7
2,stackexchange,0.26201177345066695,4,4
2,wikipedia,-0.30821765824042896,6,6
3,arxiv,2.712768617790758,2,2
3,book,2.9879670704504906,1,1
3,c4,-0.29590092032712717,5,5
3,commoncrawl,0.42585338816519613,3,3
3,github,-0.5068606203647346,7,7
3,stackexchange,0.26201177345066695,4,4
3,wikipedia,-0.30821765824042896,6,6
4,arxiv,2.712768617790758,2,2
4,book,2.9879670704504906,1,1
4,c4,-0.29590092032712717,5,5
4,commoncrawl,0.42585338816519613,3,3
4,github,-0.5068606203647346,7,7
4,stackexchange,0.26201177345066695,4,4
4,wikipedia,-0.30821765824042896,6,6
5,arxiv,2.712768617790758,2,2
5,book,2.9879670704504906,1,1
5,c4,-0.29590092032712717,5,5
5,commoncrawl,0.42585338816519613,3,3
5,github,-0.5068606203647346,7,7
5,stackexchange,0.26201177345066695,4,4
5,wikipedia,-0.30821765824042896,6,6
6,arxiv,2.712768617790758,2,2
6,book,2.9879670704504906,1,1
6,c4,-0.29590092032712717,5,5
6,commoncrawl,0.42585338816519613,3,3
6,github,-0.5068606203647346,7,7
6,stackexchange,0.26201177345066695,4,4
6,wikipedia,-0.30821765824042896,6,6
7,arxiv,2.712768617790758,2,2
7,book,2.9879670704504906,1,1
7,c4,-0.29590092032712717,5,5
7,commoncrawl,0.42585338816519613,3,3
7,github,-0.5068606203647346,7,7
7,stackexchange,0.26201177345066695,4,4
7,wikipedia,-0.30821765824042896,6,6
8,arxiv,2.712768617790758,2,2
8,book,2.9879670704504906,1,1
8,c4,-0.29590092032712717,5,5
8,commoncrawl,0.42585338816519613,3,3
8,github,-0.5068606203647346,7,7
8,stackexchange,0.26201177345066695,4,4
8,wikipedia,-0.30821765824042896,6,6
9,arxiv,2.712768617790758,2,2
9,book,2.9879670704504906,1,1
9,c4,-0.29590092032712717,5,5
9,commoncrawl,0.42585338816519613,3,3
9,github,-0.5068606203647346,7,7
9,stackexchange,0.26201177345066695,4,4
9,wikipedia,-0.30821765824042896,6,6
10,arxiv,2.712768617790758,2,2
10,book,2.9879670704504906,1,1
10,c4,-0.29590092032712717,5,5
10,commoncrawl,0.42585338816519613,3,3
10,github,-0.5068606203647346,7,7
10,stackexchange,0.26201177345066695,4,4
10,wikipedia,-0.30821765824042896,6,6
11,arxiv,2.712768617790758,2,2
11,book,2.9879670704504906,1,1
11,c4,-0.29590092032712717,5,5
11,commoncrawl,0.42585338816519613,3,3
11,github,-0.5068606203647346,7,7
11,stackexchange,0.26201177345066695,4,4
11,wikipedia,-0.30821765824042896,6,6
12,arxiv,2.712768617790758,2,2
12,book,2.9879670704504906,1,1
12,c4,-0.29590092032712717,5,5
12,commoncrawl,0.42585338816519613,3,3
12,github,-0.5068606203647346,7,7
12,stackexchange,0.26201177345066695,4,4
12,wikipedia,-0.30821765824042896,6,6
13,arxiv,2.712768617790758,2,2
13,book,2.9879670704504906,1,1
13,c4,-0.29590092032712717,5,5
13,commoncrawl,0.42585338816519613,3,3
13,github,-0.5068606203647346,7,7
13,stackexchange,0.26201177345066695,4,4
13,wikipedia,-0.30821765824042896,6,6
14,arxiv,2.712768617790758,2,2
14,book,2.9879670704504906,1,1
14,c4,-0.29590092032712717,5,5
14,commoncrawl,0.42585338816519613,3,3
14,github,-0.5068606203647346,7,7
14,stackexchange,0.26201177345066695,4,4
14,wikipedia,-0.30821765824042896,6,6
15,arxiv,2.712768617790758,2,2
15,book,2.9879670704504906,1,1
15,c4,-0.29590092032712717,5,5
15,commoncrawl,0.42585338816519613,3,3
15,github,-0.5068606203647346,7,7
15,stackexchange,0.26201177345066695,4,4
15,wikipedia,-0.30821765824042896,6,6
16,arxiv,2.712768617790758,2,2
16,book,2.9879670704504906,1,1
16,c4,-0.29590092032712717,5,5
16,commoncrawl,0.42585338816519613,3,3
16,github,-0.5068606203647346,7,7
16,stackexchange,0.26201177345066695,4,4
16,wikipedia,-0.30821765824042896,6,6
17,arxiv,2.712768617790758,2,2
17,book,2.9879670704504906,1,1
17,c4,-0.29590092032712717,5,5
17,commoncrawl,0.42585338816519613,3,3
17,github,-0.5068606203647346,7,7
17,stackexchange,0.26201177345066695,4,4
17,wikipedia,-0.30821765824042896,6,6
18,arxiv,2.712768617790758,2,2
18,book,2.9879670704504906,1,1
18,c4,-0.29590092032712717,5,5
18,commoncrawl,0.42585338816519613,3,3
18,github,-0.5068606203647346,7,7
18,stackexchange,0.26201177345066695,4,4
18,wikipedia,-0.30821765824042896,6,6
19,arxiv,2.712768617790758,2,2
19,book,2.9879670704504906,1,1
19,c4,-0.29590092032712717,5,5
19,commoncrawl,0.42585338816519613,3,3
19,github,-0.5068606203647346,7,7
19,stackexchange,0.26201177345066695,4,4
19,wikipedia,-0.30821765824042896,6,6
20,arxiv,2.712768617790758,2,2
20,book,2.9879670704504906,1,1
20,c4,-0.29590092032712717,5,5
20,commoncrawl,0.42585338816519613,3,3
20,github,-0.5068606203647346,7,7
20,stackexchange,0.26201177345066695,4,4
20,wikipedia,-0.30821765824042896,6,6
21,arxiv,2.712768617790758,2,2
21,book,2.9879670704504906,1,1
21,c4,-0.29590092032712717,5,5
21,commoncrawl,0.42585338816519613,3,3
21,github,-0.5068606203647346,7,7
21,stackexchange,0.26201177345066695,4,4
21,wikipedia,-0.30821765824042896,6,6
22,arxiv,2.712768617790758,2,2
22,book,2.9879670704504906,1,1
22,c4,-0.29590092032712717,5,5
22,commoncrawl,0.42585338816519613,3,3
22,github,-0.5068606203647346,7,7
22,stackexchange,0.26201177345066695,4,4
22,wikipedia,-0.30821765824042896,6,6
23,arxiv,2.712768617790758,2,2
23,book,2.9879670704504906,1,1
23,c4,-0.29590092032712717,5,5
23,commoncrawl,0.42585338816519613,3,3
23,github,-0.5068606203647346,7,7
23,stackexchange,0.26201177345066695,4,4
23,wikipedia,-0.30821765824042896,6,6
24,arxiv,2.712768617790758,2,2
24,book,2.9879670704504906,1,1
24,c4,-0.29590092032712717,5,5
24,commoncrawl,0.42585338816519613,3,3
24,github,-0.5068606203647346,7,7
24,stackexchange,0.26201177345066695,4,4
24,wikipedia,-0.30821765824042896,6,6
25,arxiv,2.712768617790758,2,2
25,book,2.9879670704504906,1,1
25,c4,-0.29590092032712717,5,5
25,commoncrawl,0.42585338816519613,3,3
25,github,-0.5068606203647346,7,7
25,stackexchange,0.26201177345066695,4,4
25,wikipedia,-0.30821765824042896,6,6
26,arxiv,2.712768617790758,2,2
26,book,2.9879670704504906,1,1
26,c4,-0.29590092032712717,5,5
26,commoncrawl,0.42585338816519613,3,3
26,github,-0.5068606203647346,7,7
26,stackexchange,0.26201177345066695,4,4
26,wikipedia,-0.30821765824042896,6,6
27,arxiv,2.712768617790758,2,2
27,book,2.9879670704504906,1,1
27,c4,-0.29590092032712717,5,5
27,commoncrawl,0.42585338816519613,3,3
27,github,-0.5068606203647346,7,7
27,stackexchange,0.26201177345066695,4,4
27,wikipedia,-0.30821765824042896,6,6
28,arxiv,2.712768617790758,2,2
28,book,2.9879670704504906,1,1
28,c4,-0.29590092032712717,5,5
28,commoncrawl,0.42585338816519613,3,3
28,github,-0.5068606203647346,7,7
28,stackexchange,0.26201177345066695,4,4
28,wikipedia,-0.30821765824042896,6,6
29,arxiv,2.712768617790758,2,2
29,book,2.9879670704504906,1,1
29,c4,-0.29590092032712717,5,5
29,commoncrawl,0.42585338816519613,3,3
29,github,-0.5068606203647346,7,7
29,stackexchange,0.26201177345066695,4,4
29,wikipedia,-0.30821765824042896,6,6
30,arxiv,2.712768617790758,2,2
30,book,2.9879670704504906,1,1
30,c4,-0.29590092032712717,5,5
30,commoncrawl,0.42585338816519613,3,3
30,github,-0.5068606203647346,7,7
30,stackexchange,0.26201177345066695,4,4
30,wikipedia,-0.30821765824042896,6,6
31,arxiv,2.712768617790758,2,2
31,book,2.9879670704504906,1,1
31,c4,-0.29590092032712717,5,5
31,commoncrawl,0.42585338816519613,3,3
31,github,-0.5068606203647346,7,7
31,stackexchange,0.26201177345066695,4,4
31,wikipedia,-0.30821765824042896,6,6
32,arxiv,2.712768617790758,2,2
32,book,2.9879670704504906,1,1
32,c4,-0.29590092032712717,5,5
32,commoncrawl,0.42585338816519613,3,3
32,github,-0.5068606203647346,7,7
32,stackexchange,0.26201177345066695,4,4
32,wikipedia,-0.30821765824042896,6,6
33,arxiv,2.712768617790758,2,2
33,book,2.9879670704504906,1,1
33,c4,-0.29590092032712717,5,5
33,commoncrawl,0.42585338816519613,3,3
33,github,-0.5068606203647346,7,7
33,stackexchange,0.26201177345066695,4,4
33,wikipedia,-0.30821765824042896,6,6
34,arxiv,2.712768617790758,2,2
34,book,2.9879670704504906,1,1
34,c4,-0.29590092032712717,5,5
34,commoncrawl,0.42585338816519613,3,3
34,github,-0.5068606203647346,7,7
34,stackexchange,0.26201177345066695,4,4
34,wikipedia,-0.30821765824042896,6,6
35,arxiv,2.712768617790758,2,2
35,book,2.9879670704504906,1,1
35,c4,-0.29590092032712717,5,5
35,commoncrawl,0.42585338816519613,3,3
35,github,-0.5068606203647346,7,7
35,stackexchange,0.26201177345066695,4,4
35,wikipedia,-0.30821765824042896,6,6
36,arxiv,2.712768617790758,2,2
36,book,2.9879670704504906,1,1
36,c4,-0.29590092032712717,5,5
36,commoncrawl,0.42585338816519613,3,3
36,github,-0.5068606203647346,7,7
36,stackexchange,0.26201177345066695,4,4
36,wikipedia,-0.30821765824042896,6,6
37,arxiv,2.712768617790758,2,2
37,book,2.9879670704504906,1,1
37,c4,-0.29590092032712717,5,5
37,commoncrawl,0.42585338816519613,3,3
37,github,-0.5068606203647346,7,7
37,stackexchange,0.26201177345066695,4,4
37,wikipedia,-0.30821765824042896,6,6
38,arxiv,2.712768617790758,2,2
38,book,2.9879670704504906,1,1
38,c4,-0.29590092032712717,5,5
38,commoncrawl,0.42585338816519613,3,3
38,github,-0.5068606203647346,7,7
38,stackexchange,0.26201177345066695,4,4
38,wikipedia,-0.30821765824042896,6,6
39,arxiv,2.712768617790758,2,2
39,book,2.9879670704504906,1,1
39,c4,-0.29590092032712717,5,5
39,commoncrawl,0.42585338816519613,3,3
39,github,-0.5068606203647346,7,7
39,stackexchange,0.26201177345066695,4,4
39,wikipedia,-0.30821765824042896,6,6
40,arxiv,2.712768617790758,2,2
40,book,2.9879670704504906,1,1
40,c4,-0.29590092032712717,5,5
40,commoncrawl,0.42585338816519613,3,3
40,github,-0.5068606203647346,7,7
40,stackexchange,0.26201177345066695,4,4
40,wikipedia,-0.30821765824042896,6,6
41,arxiv,2.712768617790758,2,2
41,book,2.9879670704504906,1,1
41,c4,-0.29590092032712717,5,5
41,commoncrawl,0.42585338816519613,3,3
41,github,-0.5068606203647346,7,7
41,stackexchange,0.26201177345066695,4,4
41,wikipedia,-0.30821765824042896,6,6
42,arxiv,2.712768617790758,2,2
42,book,2.9879670704504906,1,1
42,c4,-0.29590092032712717,5,5
42,commoncrawl,0.42585338816519613,3,3
42,github,-0.5068606203647346,7,7
42,stackexchange,0.26201177345066695,4,4
42,wikipedia,-0.30821765824042896,6,6
43,arxiv,2.712768617790758,2,2
43,book,2.9879670704504906,1,1
43,c4,-0.29590092032712717,5,5
43,commoncrawl,0.42585338816519613,3,3
43,github,-0.5068606203647346,7,7
43,stackexchange,0.26201177345066695,4,4
43,wikipedia,-0.30821765824042896,6,6
44,arxiv,2.712768617790758,2,2
44,book,2.9879670704504906,1,1
44,c4,-0.29590092032712717,5,5
44,commoncrawl,0.42585338816519613,3,3
44,github,-0.5068606203647346,7,7
44,stackexchange,0.26201177345066695,4,4
44,wikipedia,-0.30821765824042896,6,6
45,arxiv,2.712768617790758,2,2
45,book,2.9879670704504906,1,1
45,c4,-0.29590092032712717,5,5
45,commoncrawl,0.42585338816519613,3,3
45,github,-0.5068606203647346,7,7
45,stackexchange,0.26201177345066695,4,4
45,wikipedia,-0.30821765824042896,6,6
46,arxiv,2.712768617790758,2,2
46,book,2.9879670704504906,1,1
46,c4,-0.29590092032712717,5,5
46,commoncrawl,0.42585338816519613,3,3
46,github,-0.5068606203647346,7,7
46,stackexchange,0.26201177345066695,4,4
46,wikipedia,-0.30821765824042896,6,6
47,arxiv,2.712768617790758,2,2
47,book,2.9879670704504906,1,1
47,c4,-0.29590092032712717,5,5
47,commoncrawl,0.42585338816519613,3,3
47,github,-0.5068606203647346,7,7
47,stackexchange,0.26201177345066695,4,4
47,wikipedia,-0.30821765824042896,6,6
48,arxiv,2.712768617790758,2,2
48,book,2.9879670704504906,1,1
48,c4,-0.29590092032712717,5,5
48,commoncrawl,0.42585338816519613,3,3
48,github,-0.5068606203647346,7,7
48,stackexchange,0.26201177345066695,4,4
