rep,metric,orientation,global_rho
0,fineweb_edu,1,
0,fluency_en,1,
0,modernbert_cleanliness,1,
0,modernbert_readability,1,
0,modernbert_reasoning,1,
0,modernbert_professionalism,1,
0,dsir_books,-1,-0.2968907784878723
0,dsir_wiki,-1,-0.29776505943255815
0,dsir_math,-1,-0.2935529572598483
0,qurater,1,
0,ad_en,1,
0,rps_doc_word_count,1,0.379573217036699
0,rps_doc_num_sentences,1,0.27595093845380564
0,rps_doc_unigram_entropy,1,0.34983837879661045
0,rps_doc_frac_unique_words,-1,-0.3742262535535784
0,rps_doc_frac_no_alph_words,-1,-0.10054998167931363
0,rps_doc_frac_chars_top_2gram,-1,-0.09178176890605419
0,rps_doc_frac_chars_top_3gram,1,0.041356278158906364
0,rps_lines_uppercase_letter_fraction,1,0.03845119940500435
0,rps_lines_ending_with_terminal_punctution_mark,1,0.049605552527529184
0,rps_lines_numerical_chars_fraction,1,0.1004125076733996
0,rps_doc_mean_word_length,-1,-0.20225172985785211
1,fineweb_edu,1,
1,fluency_en,1,
1,modernbert_cleanliness,1,
1,modernbert_readability,1,
1,modernbert_reasoning,1,
1,modernbert_professionalism,1,
1,dsir_books,-1,-0.306260394205299
1,dsir_wiki,-1,-0.3071444087627465
1,dsir_math,-1,-0.302572719398525
1,qurater,1,
1,ad_en,1,
1,rps_doc_word_count,1,0.38426934642402116
1,rps_doc_num_sentences,1,0.2822121373326993
1,rps_doc_unigram_entropy,1,0.35280022740005784
1,rps_doc_frac_unique_words,-1,-0.37980251236322743
1,rps_doc_frac_no_alph_words,-1,-0.101192085865344
1,rps_doc_frac_chars_top_2gram,-1,-0.0965528715082484
1,rps_doc_frac_chars_top_3gram,1,0.04235082907569952
1,rps_lines_uppercase_letter_fraction,1,0.03540436539634234
1,rps_lines_ending_with_terminal_punctution_mark,1,0.053669363902882614
1,rps_lines_numerical_chars_fraction,1,0.10096859601667961
1,rps_doc_mean_word_length,-1,-0.1954780160331377
2,fineweb_edu,1,
2,fluency_en,1,
2,modernbert_cleanliness,1,
2,modernbert_readability,1,
2,modernbert_reasoning,1,
