metric,family,global_rho,abs_global_rho,orientation,orientation_source,n_valid,loo_sign_flip,loo_min_rho,loo_max_rho,domain_sign_agreement,bootstrap_flip_rate,missing_rate_A1,nominal_family_balanced_weight,weak_or_unstable
fineweb_edu,model,,,1,semantic_model_field,51230,False,0.6380797886426356,0.6919070152657004,1.0,0.0,0.0,0.041666666666666664,False
fluency_en,model,,,1,semantic_model_field,51230,False,0.5251890004868488,0.7064030904474268,1.0,0.0,0.0,0.041666666666666664,False
modernbert_cleanliness,model,,,1,semantic_model_field,51230,False,0.5922258014621358,0.6686758836642028,1.0,0.0,0.0,0.041666666666666664,False
modernbert_readability,model,,,1,semantic_model_field,51230,False,0.5054276615160743,0.6565282704533267,1.0,0.0,0.0,0.041666666666666664,False
modernbert_reasoning,model,,,1,semantic_model_field,51217,False,0.5908773245093296,0.7139167198889765,1.0,0.0,0.0002537575639273863,0.041666666666666664,False
modernbert_professionalism,model,,,1,semantic_model_field,51225,False,0.2669577579886333,0.6093885419962942,0.8571428571428571,0.0,9.759906304899473e-05,0.041666666666666664,False
dsir_books,dsir,-0.3042942106448323,0.3042942106448323,-1,global_spearman_sign,51230,False,-0.3583715044502781,-0.2474028797816776,0.7142857142857143,0.0,0.0,0.1111111111111111,False
dsir_wiki,dsir,-0.3051139092244814,0.3051139092244814,-1,global_spearman_sign,51230,False,-0.3576288152459716,-0.2484809846567994,0.7142857142857143,0.0,0.0,0.1111111111111111,False
dsir_math,dsir,-0.3008876827758244,0.3008876827758244,-1,global_spearman_sign,51230,False,-0.3437659205113975,-0.2449453147998727,0.7142857142857143,0.0,0.0,0.1111111111111111,False
qurater,model,,,1,semantic_model_field,51230,False,0.698332008440578,0.7616434576044839,1.0,0.0,0.0,0.041666666666666664,False
ad_en,model,,,1,semantic_model_field,51230,False,0.4263194341479299,0.5023744997880055,1.0,0.0,0.0,0.041666666666666664,False
rps_doc_word_count,rps,0.3869132815977442,0.3869132815977442,1,global_spearman_sign,51230,False,0.3373467580227403,0.4323010172970025,0.8571428571428571,0.0,0.0,0.030303030303030304,False
rps_doc_num_sentences,rps,0.2826107623458517,0.2826107623458517,1,global_spearman_sign,51230,False,0.2264754004113442,0.3262145195618291,0.7142857142857143,0.0,0.0,0.030303030303030304,False
rps_doc_unigram_entropy,rps,0.3557438063265535,0.3557438063265535,1,global_spearman_sign,51230,False,0.2862184350681361,0.4109978088930814,0.8571428571428571,0.0,0.0,0.030303030303030304,False
rps_doc_frac_unique_words,rps,-0.3832903250475193,0.3832903250475193,-1,global_spearman_sign,51230,False,-0.4165009334663512,-0.335201881400403,0.8571428571428571,0.0,0.0,0.030303030303030304,False
rps_doc_frac_no_alph_words,rps,-0.1064264940521011,0.1064264940521011,-1,global_spearman_sign,51230,True,-0.2367682508353136,0.0441898023667397,0.7142857142857143,0.0,0.0,0.030303030303030304,True
rps_doc_frac_chars_top_2gram,rps,-0.0984315683033203,0.0984315683033203,-1,global_spearman_sign,51230,False,-0.1804215245950827,-0.0637412396632806,0.5714285714285714,0.0,0.0,0.030303030303030304,False
rps_doc_frac_chars_top_3gram,rps,0.0405941059694648,0.0405941059694648,1,global_spearman_sign,51230,True,-0.0172058855684521,0.0697555291990887,0.42857142857142855,0.0,0.0,0.030303030303030304,True
rps_lines_uppercase_letter_fraction,rps,0.0283177502008241,0.0283177502008241,1,global_spearman_sign,51230,True,-0.0832029118974321,0.0949307216537153,0.42857142857142855,0.0,0.0,0.030303030303030304,True
rps_lines_ending_with_terminal_punctution_mark,rps,0.0556122109778911,0.0556122109778911,1,global_spearman_sign,51230,True,-0.1472608384462809,0.2057280778064259,0.8333333333333334,0.0,0.0,0.030303030303030304,True
rps_lines_numerical_chars_fraction,rps,0.1052485795324847,0.1052485795324847,1,global_spearman_sign,51230,False,0.0711994473937192,0.1361431407603111,0.5714285714285714,0.0,0.0,0.030303030303030304,False
rps_doc_mean_word_length,rps,-0.1990472308145648,0.1990472308145648,-1,global_spearman_sign,51230,True,-0.3512720000888815,0.0052823832578913,0.5714285714285714,0.0,0.0,0.030303030303030304,True
