variant,domain,rank
primary_all22,arxiv,2.0
primary_all22,book,1.0
primary_all22,c4,6.0
primary_all22,commoncrawl,3.0
primary_all22,github,7.0
primary_all22,stackexchange,4.0
primary_all22,wikipedia,5.0
equal22,arxiv,2.0
equal22,book,1.0
equal22,c4,5.0
equal22,commoncrawl,3.0
equal22,github,7.0
equal22,stackexchange,4.0
equal22,wikipedia,6.0
argmax_compression,arxiv,2.0
argmax_compression,book,1.0
argmax_compression,c4,6.0
argmax_compression,commoncrawl,3.0
argmax_compression,github,7.0
argmax_compression,stackexchange,4.0
argmax_compression,wikipedia,5.0
drop_loo_flip,arxiv,2.0
drop_loo_flip,book,1.0
drop_loo_flip,c4,7.0
drop_loo_flip,commoncrawl,3.0
drop_loo_flip,github,5.0
drop_loo_flip,stackexchange,4.0
drop_loo_flip,wikipedia,6.0
stable_loo,arxiv,2.0
stable_loo,book,1.0
stable_loo,c4,5.0
stable_loo,commoncrawl,3.0
stable_loo,github,7.0
stable_loo,stackexchange,4.0
stable_loo,wikipedia,6.0
stable_consensus,arxiv,1.0
stable_consensus,book,2.0
stable_consensus,c4,5.0
stable_consensus,commoncrawl,3.0
stable_consensus,github,7.0
stable_consensus,stackexchange,4.0
stable_consensus,wikipedia,6.0
qurater_component_standardized,arxiv,2.0
qurater_component_standardized,book,1.0
qurater_component_standardized,c4,6.0
qurater_component_standardized,commoncrawl,3.0
qurater_component_standardized,github,7.0
qurater_component_standardized,stackexchange,4.0
qurater_component_standardized,wikipedia,5.0
domain_balanced_standardization,arxiv,2.0
domain_balanced_standardization,book,1.0
domain_balanced_standardization,c4,6.0
domain_balanced_standardization,commoncrawl,3.0
domain_balanced_standardization,github,7.0
domain_balanced_standardization,stackexchange,4.0
domain_balanced_standardization,wikipedia,5.0
