scope,candidate_set,weight_scenario,model,n_candidates,selected_index,selected_hull_status,actual_best_index,realized_rank,realized_top_decile,realized_relative_regret
test_1m,all_heldout,equal_13,ridge_v1.3,256,146,OUT_OF_TRAINING_SUPPORT,239,182,False,0.4447333528543602
test_1m,all_heldout,equal_13,interaction_candidate,256,146,OUT_OF_TRAINING_SUPPORT,239,182,False,0.4447333528543602
test_1m,all_heldout,only_arxiv,ridge_v1.3,256,26,OUT_OF_TRAINING_SUPPORT,26,1,True,0.0
test_1m,all_heldout,only_arxiv,interaction_candidate,256,20,OUT_OF_TRAINING_SUPPORT,26,19,True,0.05347214596064505
test_1m,all_heldout,only_freelaw,ridge_v1.3,256,87,OUT_OF_TRAINING_SUPPORT,87,1,True,0.0
test_1m,all_heldout,only_freelaw,interaction_candidate,256,87,OUT_OF_TRAINING_SUPPORT,87,1,True,0.0
test_1m,all_heldout,only_pubmed_central,ridge_v1.3,256,57,OUT_OF_TRAINING_SUPPORT,57,1,True,0.0
test_1m,all_heldout,only_pubmed_central,interaction_candidate,256,201,OUT_OF_TRAINING_SUPPORT,57,28,False,0.06783778738706042
test_1m,all_heldout,only_wikipedia_en,ridge_v1.3,256,43,OUT_OF_TRAINING_SUPPORT,43,1,True,0.0
test_1m,all_heldout,only_wikipedia_en,interaction_candidate,256,43,OUT_OF_TRAINING_SUPPORT,43,1,True,0.0
test_1m,all_heldout,only_dm_mathematics,ridge_v1.3,256,59,OUT_OF_TRAINING_SUPPORT,169,3,True,0.0018734396580868378
test_1m,all_heldout,only_dm_mathematics,interaction_candidate,256,59,OUT_OF_TRAINING_SUPPORT,169,3,True,0.0018734396580868378
test_1m,all_heldout,only_github,ridge_v1.3,256,7,OUT_OF_TRAINING_SUPPORT,7,1,True,0.0
test_1m,all_heldout,only_github,interaction_candidate,256,237,OUT_OF_TRAINING_SUPPORT,7,16,True,0.045417811328279524
test_1m,all_heldout,only_stackexchange,ridge_v1.3,256,49,OUT_OF_TRAINING_SUPPORT,49,1,True,0.0
test_1m,all_heldout,only_stackexchange,interaction_candidate,256,49,OUT_OF_TRAINING_SUPPORT,49,1,True,0.0
test_1m,all_heldout,only_gutenberg_pg_19,ridge_v1.3,256,157,OUT_OF_TRAINING_SUPPORT,157,1,True,0.0
