weight_scenario,quality_score_scope,quality_policy,model,n_feasible_observed_recipes,selected_index,objective_relative,max_domain_share,unknown_QA_share
equal_13,A1_sample_primary,unconstrained,ridge_v1.3,512,136,-0.14589638880063033,0.22522522522522523,0.5685685685685684
equal_13,A1_sample_primary,unconstrained,interaction_candidate,512,136,-0.11301299167599128,0.22522522522522523,0.5685685685685684
equal_13,A1_sample_primary,quality_direct,ridge_v1.3,91,301,-0.0692118317638784,0.36063936063936064,0.2727272727272727
equal_13,A1_sample_primary,quality_direct,interaction_candidate,91,301,-0.05065214379218345,0.36063936063936064,0.2727272727272727
equal_13,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,172,-0.09165122909201891,0.32967032967032966,0.4185814185814186
equal_13,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,172,-0.06648815497145344,0.32967032967032966,0.4185814185814186
equal_13,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,136,-0.14589638880063033,0.22522522522522523,0.5685685685685684
equal_13,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,136,-0.11301299167599128,0.22522522522522523,0.5685685685685684
equal_13,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,301,-0.0692118317638784,0.36063936063936064,0.2727272727272727
equal_13,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,301,-0.05065214379218345,0.36063936063936064,0.2727272727272727
equal_13,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,172,-0.09165122909201891,0.32967032967032966,0.4185814185814186
equal_13,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,172,-0.06648815497145344,0.32967032967032966,0.4185814185814186
only_arxiv,A1_sample_primary,unconstrained,ridge_v1.3,512,300,-0.4713749653189275,0.9021956087824351,0.08682634730538923
only_arxiv,A1_sample_primary,unconstrained,interaction_candidate,512,3,-0.4571584843329752,0.679,0.052000000000000005
only_arxiv,A1_sample_primary,quality_direct,ridge_v1.3,91,300,-0.4713749653189275,0.9021956087824351,0.08682634730538923
only_arxiv,A1_sample_primary,quality_direct,interaction_candidate,91,3,-0.4571584843329752,0.679,0.052000000000000005
only_arxiv,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,300,-0.4713749653189275,0.9021956087824351,0.08682634730538923
only_arxiv,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,3,-0.4571584843329752,0.679,0.052000000000000005
only_arxiv,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,300,-0.4713749653189275,0.9021956087824351,0.08682634730538923
only_arxiv,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,3,-0.4571584843329752,0.679,0.052000000000000005
only_arxiv,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,300,-0.4713749653189275,0.9021956087824351,0.08682634730538923
only_arxiv,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,3,-0.4571584843329752,0.679,0.052000000000000005
only_arxiv,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,300,-0.4713749653189275,0.9021956087824351,0.08682634730538923
only_arxiv,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,3,-0.4571584843329752,0.679,0.052000000000000005
only_freelaw,A1_sample_primary,unconstrained,ridge_v1.3,512,328,-0.4958066851787269,0.993,1.0
only_freelaw,A1_sample_primary,unconstrained,interaction_candidate,512,429,-0.3687762561469324,0.592,0.592
only_freelaw,A1_sample_primary,quality_direct,ridge_v1.3,91,266,-0.2215622839454861,0.552,0.6050000000000001
only_freelaw,A1_sample_primary,quality_direct,interaction_candidate,91,78,-0.27592799223643527,0.471,0.49100000000000005
only_freelaw,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,370,-0.1424295062338752,0.5375375375375375,0.4314314314314315
only_freelaw,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,76,-0.24680195323967508,0.5615615615615616,0.4154154154154153
only_freelaw,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,328,-0.4958066851787269,0.993,1.0
only_freelaw,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,429,-0.3687762561469324,0.592,0.592
only_freelaw,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,266,-0.2215622839454861,0.552,0.6050000000000001
only_freelaw,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,78,-0.27592799223643527,0.471,0.49100000000000005
only_freelaw,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,370,-0.1424295062338752,0.5375375375375375,0.4314314314314315
only_freelaw,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,76,-0.24680195323967508,0.5615615615615616,0.4154154154154153
only_pubmed_central,A1_sample_primary,unconstrained,ridge_v1.3,512,435,-0.4463062931600957,0.999,0.999
only_pubmed_central,A1_sample_primary,unconstrained,interaction_candidate,512,382,-0.3445266566830405,0.7127127127127126,0.995995995995996
only_pubmed_central,A1_sample_primary,quality_direct,ridge_v1.3,91,26,-0.222368908971299,0.5145145145145146,0.5635635635635636
only_pubmed_central,A1_sample_primary,quality_direct,interaction_candidate,91,26,-0.22198670520753028,0.5145145145145146,0.5635635635635636
only_pubmed_central,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,307,-0.15718015162773755,0.55,0.398
only_pubmed_central,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,307,-0.18386778401532433,0.55,0.398
only_pubmed_central,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,435,-0.4463062931600957,0.999,0.999
only_pubmed_central,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,382,-0.3445266566830405,0.7127127127127126,0.995995995995996
only_pubmed_central,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,26,-0.222368908971299,0.5145145145145146,0.5635635635635636
only_pubmed_central,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,26,-0.22198670520753028,0.5145145145145146,0.5635635635635636
only_pubmed_central,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,307,-0.15718015162773755,0.55,0.398
only_pubmed_central,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,307,-0.18386778401532433,0.55,0.398
only_wikipedia_en,A1_sample_primary,unconstrained,ridge_v1.3,512,171,-0.29872227072823027,0.7087087087087087,0.13813813813813813
only_wikipedia_en,A1_sample_primary,unconstrained,interaction_candidate,512,171,-0.2898088401855983,0.7087087087087087,0.13813813813813813
only_wikipedia_en,A1_sample_primary,quality_direct,ridge_v1.3,91,399,-0.13947320934284746,0.4255744255744256,0.18381618381618386
only_wikipedia_en,A1_sample_primary,quality_direct,interaction_candidate,91,399,-0.12958847732837017,0.4255744255744256,0.18381618381618386
only_wikipedia_en,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,302,-0.16485499813905843,0.3843843843843844,0.16016016016016016
only_wikipedia_en,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,302,-0.1581330469600785,0.3843843843843844,0.16016016016016016
only_wikipedia_en,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,171,-0.29872227072823027,0.7087087087087087,0.13813813813813813
