budget_FLOPs,context_tokens,quality_family,Q0_scenario,status,ready_for_Q3,feasible,minimum_supported_cost_FLOPs,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,loss_coordinate,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_total_FLOPs,budget_utilization,active_support
1e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,0.15158577354472957,10.000000000000002,0.522038871883415,3.2640415606982094,attachment_B7_native_val_loss,9.095146412683776e+18,6.208953284392124e+17,2.839582588770119e+17,1e+19,1.0,D_min
1e+19,2048,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,0.15601597603594608,10.0,0.5,3.2646836218436914,attachment_B7_native_val_loss,9.360958562156765e+18,6.390414378432351e+17,0.0,1e+19,1.0,D_min;Q0
1e+19,2048,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,0.15601597603594608,10.0,0.5,3.2646836218436914,attachment_B7_native_val_loss,9.360958562156765e+18,6.390414378432351e+17,0.0,1e+19,1.0,D_min;Q0
1e+19,8192,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,0.12832877464589812,10.000000000000002,0.5156494694313063,3.3099632208118797,attachment_B7_native_val_loss,7.699726478753888e+18,2.1025386437983951e+18,1.9773487744771722e+17,1e+19,1.0,D_min
1e+19,8192,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,0.13091746962714704,10.000000000000002,0.5,3.310289980029015,attachment_B7_native_val_loss,7.855048177628824e+18,2.1449518223711772e+18,0.0,1e+19,1.0,D_min;Q0
1e+19,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,0.13091746962714704,10.000000000000002,0.5,3.310289980029015,attachment_B7_native_val_loss,7.855048177628824e+18,2.1449518223711772e+18,0.0,1e+19,1.0,D_min;Q0
1e+19,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,
1e+19,131072,power,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,
1e+19,131072,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,
1e+22,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,8.863128283672598,164.9007456459147,1.0,2.0947409378708937,attachment_B7_native_val_loss,8.769218776398045e+21,5.986453351354398e+20,6.321358884665156e+20,1e+22,1.0,Q_max
1e+22,2048,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,9.000738561335126,160.3113017639842,1.0,2.095943375771592,attachment_B7_native_val_loss,8.657520693629547e+21,5.910200793517771e+20,7.514592270186759e+20,1e+22,1.0,Q_max
1e+22,2048,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,8.415959501629047,181.30654914613544,1.0,2.0908901997864766,attachment_B7_native_val_loss,9.155211449963953e+21,6.249957683175393e+20,2.1979278171850752e+20,1e+22,1.0,Q_max
1e+22,8192,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,8.052062796417427,153.04956844584723,1.0,2.1091035009189802,attachment_B7_native_val_loss,7.394188416543294e+21,2.0191063836107557e+21,5.8670519984594924e+20,9.999999999999998e+21,0.9999999999999998,Q_max
1e+22,8192,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,8.168780755124967,149.06703062773437,1.0,2.110245488261551,attachment_B7_native_val_loss,7.306175346092763e+21,1.9950729478397307e+21,6.987517060675049e+20,9.999999999999998e+21,0.9999999999999998,Q_max
1e+22,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,7.674198908969762,167.1377931363493,1.0,2.1054571393517207,attachment_B7_native_val_loss,7.695892018407515e+21,2.101491580493145e+21,2.026164010993406e+20,1e+22,1.0,Q_max
1e+22,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,3.7113006306237484,81.04334843647078,1.0,2.242749348056958,attachment_B7_native_val_loss,1.8046573809608048e+21,7.884668407909821e+21,3.1067421112937244e+20,1e+22,1.0,Q_max
1e+22,131072,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,3.740854687523231,79.87418904930657,1.0,2.2434839926879087,attachment_B7_native_val_loss,1.7927864071032912e+21,7.832803331728085e+21,3.744102611686245e+20,1.0000000000000002e+22,1.0000000000000002,Q_max
1e+22,131072,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,3.6178800787299465,84.91840065789879,1.0,2.240446134185589,attachment_B7_native_val_loss,1.84334754034692e+21,8.053708293611717e+21,1.0294416604136304e+20,1e+22,1.0,Q_max
1e+24,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,2.9417472e+21,2.3000595394172845e+21,4.833380673941729e+22,0.04833380673941729,N_max;D_max;Q_max
1e+24,2048,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,2.9417472e+21,2.8125e+21,4.88462472e+22,0.048846247200000005,N_max;D_max;Q_max
