budget_FLOPs,context_tokens,quality_family,Q0_scenario,status,ready_for_Q3,feasible,minimum_supported_cost_FLOPs,global_lower_bound,global_gap,certificate_tolerance,certificate_iterations,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,loss_coordinate,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_total_FLOPs,budget_utilization,active_support,kkt_check_pass,kkt_relative_violation,multistart_loss_gap,converged_starts
1e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.2640414607551675,9.994304184246516e-08,1e-07,4363,0.15158577354472957,10.000000000000002,0.522038871883415,3.2640415606982094,attachment_B7_native_val_loss,9.095146412683776e+18,6.208953284392124e+17,2.839582588770119e+17,1e+19,1.0,D_min,True,3.213075665395116e-08,-2.5224267119483557e-13,24
1e+22,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.094740872200339,6.567055432782354e-08,1e-07,18,8.863129498202454,164.90072447769637,1.0,2.094740937870893,attachment_B7_native_val_loss,8.769218852359358e+21,5.986453403210655e+20,6.321358073195781e+20,1.0000000000000002e+22,1.0000000000000002,Q_max,True,1.134139273218372e-16,-8.482103908136196e-14,24
1e+24,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,1.979112958094279,1.9791057681572966e-11,1e-07,0,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,2.9417472e+21,2.3000595394172845e+21,4.833380673941729e+22,0.04833380673941729,N_max;D_max;Q_max,True,0.0,0.0,24
1e+19,2048,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.26468352189594,9.994775140853562e-08,1e-07,33,0.15601597603594608,10.0,0.5,3.2646836218436914,attachment_B7_native_val_loss,9.360958562156765e+18,6.390414378432351e+17,0.0,1e+19,1.0,D_min;Q0,True,0.0,-4.82280881897168e-13,23
1e+22,2048,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.0959433225693207,5.320227147720402e-08,1e-07,18,9.000739418372074,160.3112876464543,1.0,2.095943375771592,attachment_B7_native_val_loss,8.657520755576553e+21,5.910200835806926e+20,7.514591608427546e+20,1e+22,1.0,Q_max,True,1.6918626170295693e-16,-2.05613304160579e-13,24
1e+24,2048,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,1.979112958094279,1.9791057681572966e-11,1e-07,0,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,2.9417472e+21,2.8125e+21,4.88462472e+22,0.048846247200000005,N_max;D_max;Q_max,True,0.0,0.0,24
1e+19,2048,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.264683556065215,6.577847644351209e-08,1e-07,20,0.15601597603594608,10.0,0.5,3.2646836218436914,attachment_B7_native_val_loss,9.360958562156765e+18,6.390414378432351e+17,0.0,1e+19,1.0,D_min;Q0,True,0.0,-2.3003821070233244e-13,19
1e+22,2048,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.090890115445489,8.434098708320903e-08,1e-07,14,8.415960288651004,181.30653256383727,1.0,2.090890199786476,attachment_B7_native_val_loss,9.155211468781586e+21,6.249957696021564e+20,2.197927616162583e+20,1e+22,1.0,Q_max,True,2.1409098950229573e-17,-5.728750807065808e-14,22
1e+24,2048,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,1.979112958094279,1.9791057681572966e-11,1e-07,0,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,2.9417472e+21,7.27362964284379e+20,4.676111016428438e+22,0.04676111016428438,N_max;D_max;Q_max,True,0.0,0.0,24
1e+19,8192,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,3.30996312089015,9.992172955719525e-08,1e-07,4463,0.12832877464589812,10.000000000000002,0.5156494694313063,3.3099632208118797,attachment_B7_native_val_loss,7.699726478753888e+18,2.1025386437983951e+18,1.9773487744771722e+17,1e+19,1.0,D_min,True,2.6015877224415136e-08,-4.4275694222051243e-13,24
1e+22,8192,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.109103438589718,6.232926175187004e-08,1e-07,18,8.052063913313567,153.0495484619886,1.0,2.10910350091898,attachment_B7_native_val_loss,7.394188476718287e+21,2.01910640004254e+21,5.8670512323917473e+20,1.0000000000000002e+22,1.0000000000000002,Q_max,True,7.518788055613132e-17,-1.3722356584366935e-13,24
1e+24,8192,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,1.979112958094279,1.9791057681572966e-11,1e-07,0,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,1.17669888e+22,2.3000595394172845e+21,5.715904833941729e+22,0.05715904833941729,N_max;D_max;Q_max,True,0.0,0.0,24
1e+19,8192,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,3.3102898916016676,8.8427347222364e-08,1e-07,33,0.13091746962714704,10.000000000000002,0.5,3.310289980029015,attachment_B7_native_val_loss,7.855048177628824e+18,2.1449518223711772e+18,0.0,1e+19,1.0,D_min;Q0,True,0.0,-2.9043434324194095e-13,24
1e+22,8192,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.110245437700146,5.0561405284810235e-08,1e-07,18,8.168781816189945,149.06701261799094,1.0,2.110245488261551,attachment_B7_native_val_loss,7.306175412405609e+21,1.9950729659475582e+21,6.987516216468325e+20,1e+22,1.0,Q_max,True,1.2101499515926895e-16,-3.028688411177427e-13,24
1e+24,8192,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,1.979112958094279,1.9791057681572966e-11,1e-07,0,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,1.17669888e+22,2.8125e+21,5.76714888e+22,0.057671488800000004,N_max;D_max;Q_max,True,0.0,0.0,24
1e+19,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,3.3102899257373637,5.4291651174764866e-08,1e-07,20,0.13091746962714704,10.000000000000002,0.5,3.310289980029015,attachment_B7_native_val_loss,7.855048177628824e+18,2.1449518223711772e+18,0.0,1e+19,1.0,D_min;Q0,True,0.0,-5.995204332975845e-14,21
1e+22,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.105457059681948,7.966977255691177e-08,1e-07,14,7.674199554340873,167.13777936548465,1.0,2.1054571393517207,attachment_B7_native_val_loss,7.695892031520753e+21,2.1014915840739338e+21,2.0261638440531237e+20,1e+22,1.0,Q_max,True,8.634508518219634e-18,-6.750155989720952e-14,22
1e+24,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,1.979112958094279,1.9791057681572966e-11,1e-07,0,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,1.17669888e+22,7.27362964284379e+20,5.558635176428438e+22,0.055586351764284385,N_max;D_max;Q_max,True,0.0,0.0,24
1e+19,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,,,,,,,,,
