budget_FLOPs,context_tokens,quality_family,Q0_scenario,status,ready_for_Q3,feasible,minimum_supported_cost_FLOPs,global_lower_bound,global_gap,certificate_tolerance,certificate_iterations,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,loss_coordinate,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_total_FLOPs,budget_utilization,active_support,restricted_axis,restricted_upper,loss_penalty
1e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.2640414607551675,9.994304184246516e-08,1e-07,4363,0.15158577354472957,10.000000000000002,0.522038871883415,3.2640415606982094,attachment_B7_native_val_loss,9.095146412683776e+18,6.208953284392124e+17,2.839582588770119e+17,1e+19,1.0,D_min,N_params_B,6.9,0.0
1e+22,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.0963300939114755,7.72841421969872e-08,1e-07,18,6.9,208.07465940036187,1.0,2.0963301711956177,attachment_B7_native_val_loss,8.614290899174981e+21,5.8806892538367875e+20,7.976401754413412e+20,1.0000000000000002e+22,1.0000000000000002,N_max;Q_max,N_params_B,6.9,0.0015892333247244927
1e+24,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.0233433258788596,2.0233592579188553e-11,1e-07,0,6.9,600.0,1.0,2.023343325899093,attachment_B7_native_val_loss,2.484e+22,1.695744e+21,2.3000595394172845e+21,2.883580353941728e+22,0.028835803539417282,N_max;D_max;Q_max,N_params_B,6.9,0.044230367785023095
1e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.2640414607551675,9.994304184246516e-08,1e-07,4363,0.15158577354472957,10.000000000000002,0.522038871883415,3.2640415606982094,attachment_B7_native_val_loss,9.095146412683776e+18,6.208953284392124e+17,2.839582588770119e+17,1e+19,1.0,D_min,D_tokens_B,300.0,0.0
1e+22,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.094740872200339,6.567055477191275e-08,1e-07,18,8.863129498202508,164.90072447769543,1.0,2.0947409378708937,attachment_B7_native_val_loss,8.76921885235936e+21,5.986453403210656e+20,6.321358073195744e+20,1e+22,1.0,Q_max,D_tokens_B,300.0,4.440892098500626e-16
1e+24,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.0242277774179236,2.0242474363385554e-11,1e-07,0,11.97,300.0,1.0,2.024227777438166,attachment_B7_native_val_loss,2.1546e+22,1.4708736e+21,1.1500297697086422e+21,2.4166903369708645e+22,0.024166903369708646,N_max;D_max;Q_max,D_tokens_B,300.0,0.045114819324096
1e+19,2048,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.26468352189594,9.994775140853562e-08,1e-07,33,0.15601597603594608,10.0,0.5,3.2646836218436914,attachment_B7_native_val_loss,9.360958562156765e+18,6.390414378432351e+17,0.0,1e+19,1.0,D_min;Q0,N_params_B,6.9,0.0
1e+22,2048,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.097750586384221,6.307711286623885e-08,1e-07,18,6.9,204.44153319701172,1.0,2.097750649461334,attachment_B7_native_val_loss,8.463879474356285e+21,5.7780083878272244e+20,9.583196868609924e+20,1e+22,1.0,N_max;Q_max,N_params_B,6.9,0.0018072736897418729
1e+24,2048,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.0233433258788596,2.0233592579188553e-11,1e-07,0,6.9,600.0,1.0,2.023343325899093,attachment_B7_native_val_loss,2.484e+22,1.695744e+21,2.8125e+21,2.9348243999999996e+22,0.029348243999999996,N_max;D_max;Q_max,N_params_B,6.9,0.044230367785023095
1e+19,2048,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.26468352189594,9.994775140853562e-08,1e-07,33,0.15601597603594608,10.0,0.5,3.2646836218436914,attachment_B7_native_val_loss,9.360958562156765e+18,6.390414378432351e+17,0.0,1e+19,1.0,D_min;Q0,D_tokens_B,300.0,0.0
