context_tokens,quality_family,budget_left,budget_right,active_left,active_right,relative_bracket,status
2048,exponential,1.0507690278830868e+20,1.0507782575268161e+20,D_min;budget,interior;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
2048,exponential,1.4435614380863716e+20,1.4435741179022221e+20,interior;budget,Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
2048,exponential,1.8650191202604508e+22,1.865035502035676e+22,Q_max;budget,N_max;Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
2048,exponential,4.833368172345357e+22,4.83341062721894e+22,N_max;Q_max;budget,N_max;D_max;Q_max,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
2048,power,1.5477373589469e+19,1.5477509538131653e+19,D_min;Q0;budget,D_min;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
2048,power,1.251215168575787e+20,1.251226158879011e+20,D_min;budget,D_min;Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
2048,power,1.4228407030856714e+20,1.4228532008967265e+20,D_min;Q_max;budget,Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
2048,power,1.8195979268613294e+22,1.8196139096702531e+22,Q_max;budget,N_max;Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
2048,power,4.884583236314952e+22,4.884626141046478e+22,N_max;Q_max;budget,N_max;D_max;Q_max,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
2048,logarithmic,1.9366885454924767e+19,1.9367055567906927e+19,D_min;Q0;budget,D_min;budget,8.783703634440698e-06,conditional_active_set_change_not_physical_threshold
2048,logarithmic,2.419853434713799e+19,2.419874689989209e+19,D_min;budget,D_min;Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
2048,logarithmic,6.216865507552588e+19,6.216920114656742e+19,D_min;Q_max;budget,Q_max;budget,8.783703634440698e-06,conditional_active_set_change_not_physical_threshold
2048,logarithmic,2.0149844455327953e+22,2.0150021445589932e+22,Q_max;budget,N_max;Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
2048,logarithmic,4.6760993313835e+22,4.676140404854193e+22,N_max;Q_max;budget,N_max;D_max;Q_max,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
8192,exponential,1.279623970655348e+20,1.2796352104930699e+20,D_min;budget,interior;budget,8.783703634440698e-06,conditional_active_set_change_not_physical_threshold
8192,exponential,1.3540589535433718e+20,1.3540708471959236e+20,interior;budget,Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
8192,exponential,2.262872237187306e+22,2.2628921135864e+22,Q_max;budget,N_max;Q_max;budget,8.783703634440698e-06,conditional_active_set_change_not_physical_threshold
8192,exponential,5.715890400699531e+22,5.715940607386819e+22,N_max;Q_max;budget,N_max;D_max;Q_max,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
8192,power,1.6088243710023547e+19,1.6088385024388297e+19,D_min;Q0;budget,D_min;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
8192,power,1.2820991148161116e+20,1.2821103763947664e+20,D_min;budget,D_min;Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
8192,power,1.5046810725887807e+20,1.5046942892613868e+20,D_min;Q_max;budget,Q_max;budget,8.783703634440698e-06,conditional_active_set_change_not_physical_threshold
8192,power,2.2161355141384117e+22,2.216154980015982e+22,Q_max;budget,N_max;Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
8192,power,5.767128460341976e+22,5.767179117089195e+22,N_max;Q_max;budget,N_max;D_max;Q_max,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
8192,logarithmic,2.013126912662638e+19,2.013144595372818e+19,D_min;Q0;budget,D_min;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
8192,logarithmic,2.4675030060834804e+19,2.467524679898603e+19,D_min;budget,D_min;Q_max;budget,8.783703634440698e-06,conditional_active_set_change_not_physical_threshold
8192,logarithmic,6.774649652616681e+19,6.774709159131458e+19,D_min;Q_max;budget,Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
8192,logarithmic,2.415393960650852e+22,2.415415176755563e+22,Q_max;budget,N_max;Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
8192,logarithmic,5.558589460204371e+22,5.558638285206816e+22,N_max;Q_max;budget,N_max;D_max;Q_max,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
131072,exponential,2.2549950836547977e+19,2.2550148908633104e+19,infeasible,N_min;D_min;budget,8.783703634884787e-06,conditional_active_set_change_not_physical_threshold
131072,exponential,2.481674813360614e+19,2.481696611656692e+19,N_min;D_min;budget,D_min;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
131072,exponential,1.6799929707471625e+20,1.6800077273075257e+20,D_min;budget,D_min;Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
131072,exponential,2.4923351662264762e+20,2.4923570581599345e+20,D_min;Q_max;budget,Q_max;budget,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
131072,exponential,1.0265118876894808e+23,1.0265209042656796e+23,Q_max;budget,N_max;Q_max;budget,8.783703634440698e-06,conditional_active_set_change_not_physical_threshold
131072,exponential,2.3366167946279378e+23,2.3366373187773696e+23,N_max;Q_max;budget,N_max;D_max;Q_max,8.783703634662743e-06,conditional_active_set_change_not_physical_threshold
131072,power,2.2549950836547977e+19,2.2550148908633104e+19,infeasible,D_min;budget,8.783703634884787e-06,conditional_active_set_change_not_physical_threshold
