budget_FLOPs,context_tokens,quality_family,Q0_scenario,minimum_cost_FLOPs,model_scope,cross_source_empirical_calibration_complete,status,N_params_B,D_tokens_B,Q_score,B_native_loss,C_train_FLOPs,C_quality_FLOPs,C_attention_FLOPs,C_total_FLOPs,budget_residual_FLOPs,budget_utilization,active_set,kkt_check_pass,kkt_relative_violation,global_lower_bound,global_upper_bound,global_gap,certificate_kind
1e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.14054111755551282,9.999999999999998,0.5668901297567563,3.2629420811108067,8.432467053330769e+18,9.918765291618524e+17,5.756564175073805e+17,1.0000000000000002e+19,2048.0,1.0000000000000002,D_min;budget,True,3.203800781663059e-06,3.2629410856744228,3.2629420811108067,9.954363839881353e-07,floating_point_B7_reduction
1.036632928437698e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.14458226650792835,10.0,0.572746705105857,3.2524967334984254,8.674935990475702e+18,1.0991843302848041e+18,5.922089636164746e+17,1.0366329284376982e+19,2048.0,1.0000000000000002,D_min;budget,True,1.1686852736451282e-06,3.252495738189151,3.2524967334984254,9.95309274554046e-07,floating_point_B7_reduction
1.0746078283213175e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.14876332892893954,10.0,0.578635071559225,3.242077448823143,8.925799735736372e+18,1.2109439521838666e+18,6.093345952929363e+17,1.0746078283213177e+19,2048.0,1.0000000000000002,D_min;budget,True,1.0033470514533965e-06,3.242076454400668,3.242077448823143,9.944224750313424e-07,floating_point_B7_reduction
1.1139738599948024e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.15308803517968553,10.0,0.5845576772420562,3.231686511635181,9.185282110781132e+18,1.3274078970709002e+18,6.270485920959919e+17,1.1139738599948026e+19,2048.0,1.0000000000000002,D_min;budget,True,3.654618218068394e-06,3.231685514340955,3.231686511635181,9.972942263125617e-07,floating_point_B7_reduction
1.1547819846894582e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.15756214909749142,10.0,0.5905107270255083,3.221326134025945,9.453728945849485e+18,1.4487163383417725e+18,6.453745627033249e+17,1.1547819846894584e+19,2048.0,1.0000000000000002,D_min;budget,True,2.936350773412832e-06,3.2213251358883745,3.221326134025945,9.981375703738138e-07,floating_point_B7_reduction
1.19708503049573e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.16219037785627277,10.0,0.5964944663708538,3.210998455514739,9.731422671376366e+18,1.575095845881642e+18,6.643317876992933e+17,1.19708503049573e+19,0.0,1.0,D_min;budget,True,1.1227855130368378e-06,3.2109974555353546,3.210998455514739,9.99979384186389e-07,floating_point_B7_reduction
1.2409377607517196e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.16697783708624153,10.0,0.6025083109044875,3.2007055430805798,1.0018670225174491e+19,1.7067661616374595e+18,6.839412207052453e+17,1.2409377607517196e+19,0.0,1.0,D_min;budget,True,9.414437347179444e-07,3.200704543658763,3.2007055430805798,9.99421816860746e-07,floating_point_B7_reduction
1.2863969449369745e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.17192953220674753,10.0,0.6085524348414881,3.1904493913506022,1.0315771932404853e+19,1.843974153046056e+18,7.042233639188379e+17,1.2863969449369747e+19,2048.0,1.0000000000000002,D_min;budget,True,6.750057962745214e-07,3.1904483919131232,3.1904493913506022,9.99437478998999e-07,floating_point_B7_reduction
1.3335214321633241e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.17705159144816618,10.000000000000002,0.6146243523749086,3.180231922935366,1.0623095486889974e+19,1.9869155161715814e+18,7.252033185716888e+17,1.3335214321633243e+19,2048.0,1.0000000000000002,D_min;budget,True,1.1162849688174466e-06,3.180230922969841,3.180231922935366,9.99965525050328e-07,floating_point_B7_reduction
1.3823722273578998e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.18234912683856672,10.0,0.6207249120026544,3.1700549888923075,1.0940947610314002e+19,2.1358726397342264e+18,7.469020235307693e+17,1.3823722273578998e+19,0.0,1.0,D_min;budget,True,3.0064644215448446e-07,3.1700539896946793,3.1700549888923075,9.991976281931159e-07,floating_point_B7_reduction
