budget_FLOPs,context_tokens,quality_family,Q0_scenario,minimum_cost_FLOPs,model_scope,cross_source_empirical_calibration_complete,status,N_params_B,D_tokens_B,Q_score,B_native_loss,C_train_FLOPs,C_quality_FLOPs,C_attention_FLOPs,C_total_FLOPs,budget_residual_FLOPs,budget_utilization,active_set,kkt_check_pass,kkt_relative_violation,global_lower_bound,global_upper_bound,global_gap,certificate_kind
1e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.14054091124299603,10.0,0.5668908643057464,3.262942081109495,8.432454674579762e+18,9.91889752968927e+17,5.7565557245131174e+17,1e+19,0.0,1.0,D_min;budget,True,2.085528537646692e-07,3.262941981138159,3.262942081109495,9.997133609829234e-08,floating_point_B7_reduction
1e+19,2048,power,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.15601597603594608,10.0,0.5,3.2706094391073783,9.360958562156765e+18,0.0,6.390414378432351e+17,1e+19,0.0,1.0,D_min;Q0;budget,True,0.0,3.270609359886281,3.2706094391073783,7.922109723779158e-08,floating_point_B7_reduction
1e+19,2048,logarithmic,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.15601597603594608,10.0,0.5,3.2706094391073783,9.360958562156765e+18,0.0,6.390414378432351e+17,1e+19,0.0,1.0,D_min;Q0;budget,True,0.0,3.2706093451651137,3.2706094391073783,9.394226463399491e-08,floating_point_B7_reduction
1e+19,8192,exponential,0.5,5.346880000000001e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.11890634455844538,10.0,0.5627042192439122,3.3100841637166076,7.134380673506723e+18,9.174577772477079e+17,1.9481615492455693e+18,1e+19,0.0,1.0,D_min;budget,True,2.8417950089365907e-08,3.3100840637169844,3.3100841637166076,9.999962324869216e-08,floating_point_B7_reduction
1e+19,8192,power,0.5,5.346880000000001e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.13091746962714707,9.999999999999998,0.5,3.317002472359339,7.855048177628823e+18,0.0,2.1449518223711772e+18,1e+19,0.0,1.0,D_min;Q0;budget,True,0.0,3.3170023804920525,3.317002472359339,9.186728666676913e-08,floating_point_B7_reduction
1e+19,8192,logarithmic,0.5,5.346880000000001e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.13091746962714707,9.999999999999998,0.5,3.317002472359339,7.855048177628823e+18,0.0,2.1449518223711772e+18,1e+19,0.0,1.0,D_min;Q0;budget,True,0.0,3.3170023825268937,3.317002472359339,8.98324454823296e-08,floating_point_B7_reduction
1e+19,131072,exponential,0.5,2.2550080000000004e+19,B7_semi_synthetic_conditional,False,infeasible_within_B7_support,,,,,,,,,,,,,,,,,
1e+19,131072,power,0.5,2.2550080000000004e+19,B7_semi_synthetic_conditional,False,infeasible_within_B7_support,,,,,,,,,,,,,,,,,
1e+19,131072,logarithmic,0.5,2.2550080000000004e+19,B7_semi_synthetic_conditional,False,infeasible_within_B7_support,,,,,,,,,,,,,,,,,
1e+20,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.9508119965198518,10.868942993838676,0.9668715000152588,2.7018200306355746,6.2005928328193245e+19,3.376113363126878e+19,4.232938040537992e+18,1.0000000000000002e+20,16384.0,1.0000000000000002,budget,True,6.486833473987567e-08,2.7018199306446626,2.7018200306355746,9.999091199475174e-08,floating_point_B7_reduction
1e+20,2048,power,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.8972227652341327,10.0,0.9773232936859131,2.720831999559659,5.3833365914047955e+19,4.249160963955303e+19,3.675024446399007e+18,1e+20,0.0,1.0,D_min;budget,True,3.679867987819503e-07,2.7208318997434744,2.720831999559659,9.981618465104702e-08,floating_point_B7_reduction
1e+20,2048,logarithmic,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.765554556420975,16.34208536401374,1.0,2.643882678860286,7.506454747104749e+19,1.9811046088262332e+19,5.124406440690175e+18,1e+20,0.0,1.0,Q1;budget,True,1.347664714531599e-17,2.6438825849605534,2.643882678860286,9.389973243401073e-08,floating_point_B7_reduction
1e+20,8192,exponential,0.5,5.346880000000001e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.8651638362320072,10.039811872592644,0.9788146018981934,2.7240987588808183,5.211649292843942e+19,3.3652230069234717e+19,1.4231277002325858e+19,1e+20,0.0,1.0,budget,True,1.726920047327517e-07,2.724098659005325,2.7240987588808183,9.987549320911171e-08,floating_point_B7_reduction
1e+20,8192,power,0.5,5.346880000000001e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.765639656458331,10.0,0.9720628261566162,2.743775788498359,4.5938379387499856e+19,4.151738048108685e+19,1.2544240131413295e+19,1e+20,0.0,1.0,D_min;budget,True,1.168084774999714e-07,2.743775688507648,2.743775788498359,9.999071082233968e-08,floating_point_B7_reduction
1e+20,8192,logarithmic,0.5,5.346880000000001e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.6926349738002411,15.377767331204756,1.0,2.667579694841053,6.390707683533126e+19,1.864203071683429e+19,1.7450892447834456e+19,1e+20,0.0,1.0,Q1;budget,True,3.742011172062658e-17,2.6675796047421665,2.667579694841053,9.009888657374177e-08,floating_point_B7_reduction
