context_tokens,quality_family,budget_left,budget_right,active_left,active_right,relative_width
2048,exponential,8.33815758817183e+19,8.338230828076943e+19,D_min;budget,budget,8.783703634662743e-06
2048,exponential,1.3904460551304715e+20,1.3904582683965397e+20,budget,Q1;budget,8.783703634662743e-06
2048,exponential,4.140402303233101e+22,4.14043867129986e+22,Q1;budget,N_max;Q1;budget,8.783703634440698e-06
2048,exponential,4.833368172345357e+22,4.83341062721894e+22,N_max;Q1;budget,D_max;N_max;Q1,8.783703634662743e-06
2048,power,1.2039497695132891e+19,1.2039603446512556e+19,D_min;Q0;budget,D_min;budget,8.783703634662743e-06
2048,power,1.072514413095226e+20,1.0725238337439746e+20,D_min;budget,D_min;Q1;budget,8.783703634662743e-06
2048,power,1.1820806132372876e+20,1.1820909962830666e+20,D_min;Q1;budget,Q1;budget,8.783703634662743e-06
2048,power,4.048801708550673e+22,4.048837272024956e+22,Q1;budget,N_max;Q1;budget,8.783703634440698e-06
2048,power,4.884583236314952e+22,4.884626141046478e+22,N_max;Q1;budget,D_max;N_max;Q1,8.783703634662743e-06
2048,logarithmic,1.5372911748681818e+19,1.5373046779782621e+19,D_min;Q0;budget,D_min;budget,8.783703634662743e-06
2048,logarithmic,2.0468080573364994e+19,2.046826035891872e+19,D_min;budget,D_min;Q1;budget,8.783703634662743e-06
2048,logarithmic,4.918768512961437e+19,4.9188117179663024e+19,D_min;Q1;budget,Q1;budget,8.783703634662743e-06
2048,logarithmic,4.4413432936160486e+22,4.441382305059279e+22,Q1;budget,N_max;Q1;budget,8.783703634662743e-06
2048,logarithmic,4.6760993313835e+22,4.676140404854193e+22,N_max;Q1;budget,D_max;N_max;Q1,8.783703634662743e-06
8192,exponential,9.914376593454044e+19,9.914463678399763e+19,D_min;budget,budget,8.783703634662743e-06
8192,exponential,1.2338296087505766e+20,1.2338404463441956e+20,budget,Q1;budget,8.783703634662743e-06
8192,exponential,5.01527203413932e+22,5.015316086802515e+22,Q1;budget,N_max;Q1;budget,8.783703634662743e-06
8192,exponential,5.715890400699531e+22,5.715940607386819e+22,N_max;Q1;budget,D_max;N_max;Q1,8.783703634662743e-06
8192,power,1.2369439082469106e+19,1.2369547731956132e+19,D_min;Q0;budget,D_min;budget,8.783703634662743e-06
8192,power,1.0900944834359714e+20,1.0901040585028475e+20,D_min;budget,D_min;Q1;budget,8.783703634440698e-06
8192,power,1.2430104863659522e+20,1.2430214046016792e+20,D_min;Q1;budget,Q1;budget,8.783703634662743e-06
8192,power,4.9212318040182305e+22,4.921275030659914e+22,Q1;budget,N_max;Q1;budget,8.783703634662743e-06
8192,power,5.767128460341976e+22,5.767179117089195e+22,N_max;Q1;budget,D_max;N_max;Q1,8.783703634662743e-06
8192,logarithmic,1.578130834286724e+19,1.5781446961202692e+19,D_min;Q0;budget,D_min;budget,8.783703634662743e-06
8192,logarithmic,2.0743732427673285e+19,2.0743914634471207e+19,D_min;budget,D_min;Q1;budget,8.783703634662743e-06
8192,logarithmic,5.3219452703261925e+19,5.321992016716207e+19,D_min;Q1;budget,Q1;budget,8.783703634662743e-06
8192,logarithmic,5.321010428747706e+22,5.321057166926349e+22,Q1;budget,N_max;Q1;budget,8.783703634662743e-06
8192,logarithmic,5.558589460204371e+22,5.558638285206816e+22,N_max;Q1;budget,D_max;N_max;Q1,8.783703634662743e-06
131072,exponential,2.7240255808302735e+19,2.7240495078636687e+19,D_min;N_min;budget,D_min;budget,8.783703634662743e-06
131072,exponential,1.3146688588656624e+20,1.3146804065272963e+20,D_min;budget,D_min;Q1;budget,8.783703634662743e-06
131072,exponential,1.9345123324810904e+20,1.9345293246640964e+20,D_min;Q1;budget,Q1;budget,8.783703634662743e-06
131072,exponential,2.2597736559493897e+23,2.259793505131465e+23,Q1;budget,N_max;Q1;budget,8.783703634662743e-06
131072,exponential,2.3366167946279378e+23,2.3366373187773696e+23,N_max;Q1;budget,D_max;N_max;Q1,8.783703634662743e-06
131072,power,2.513925932820964e+19,2.5139480144013173e+19,D_min;N_min;budget,D_min;budget,8.783703634662743e-06
131072,power,1.2648620189539362e+20,1.2648731291270495e+20,D_min;budget,D_min;Q1;budget,8.783703634662743e-06
131072,power,2.14327340831195e+20,2.1432922341903765e+20,D_min;Q1;budget,Q1;budget,8.783703634440698e-06
131072,power,2.2492978418381356e+23,2.2493175990037642e+23,Q1;budget,N_max;Q1;budget,8.783703634662743e-06
131072,power,2.3417534472166147e+23,2.3417740164848806e+23,N_max;Q1;budget,D_max;N_max;Q1,8.783703634662743e-06
131072,logarithmic,3.4672539910908715e+19,3.467284446422355e+19,D_min;N_min;budget,D_min;Q1;budget,8.783703634662743e-06
131072,logarithmic,1.2219979155166608e+20,1.2220086491841928e+20,D_min;Q1;budget,Q1;budget,8.783703634662743e-06
131072,logarithmic,2.2923805377170625e+23,2.2924006733083232e+23,Q1;budget,N_max;Q1;budget,8.783703634440698e-06
131072,logarithmic,2.3209073634348765e+23,2.3209277495973203e+23,N_max;Q1;budget,D_max;N_max;Q1,8.783703634662743e-06
