scenario,Q0,quality_bridge_scale,mixture_bridge_lambda,budget_FLOPs,context_tokens,quality_family,status,eligible_observed_recipes,feasible_observed_recipes,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,conditional_bridge_loss,C_total_FLOPs
baseline,0.5,1.0,1.0,1e+19,8192,power,conditional_v8_fixed_policy_feasible,87,22,477,0.08726838337279479,10.0,0.5995154272811548,3.2037856092798376,1e+19
baseline,0.5,1.0,1.0,1.0292005271944266e+19,8192,power,conditional_v8_fixed_policy_feasible,87,23,477,0.0910912425048678,10.0,0.5995154272811548,3.191645775307202,1.0292005271944266e+19
baseline,0.5,1.0,1.0,1.0592537251772854e+19,8192,power,conditional_v8_fixed_policy_feasible,87,26,477,0.09502573113898737,10.0,0.5995154272811548,3.179830229873614,1.0592537251772854e+19
baseline,0.5,1.0,1.0,1.0901844923851313e+19,8192,power,conditional_v8_fixed_policy_feasible,87,26,477,0.09907510891546487,10.000000000000002,0.5995154272811548,3.16832150700041,1.0901844923851313e+19
baseline,0.5,1.0,1.0,1.1220184543019653e+19,8192,power,conditional_v8_fixed_policy_feasible,87,27,477,0.10324273065782374,10.000000000000002,0.5995154272811548,3.157103514721533,1.1220184543019653e+19
baseline,0.5,1.0,1.0,1.1547819846894582e+19,8192,power,conditional_v8_fixed_policy_feasible,87,28,477,0.10753204915220647,10.0,0.5995154272811548,3.146161397172133,1.1547819846894582e+19
baseline,0.5,1.0,1.0,1.1885022274370165e+19,8192,power,conditional_v8_fixed_policy_feasible,87,30,477,0.11194661800792996,10.0,0.5995154272811548,3.135481413361215,1.1885022274370165e+19
baseline,0.5,1.0,1.0,1.2232071190499275e+19,8192,power,conditional_v8_fixed_policy_feasible,87,30,477,0.11649009460157664,10.000000000000002,0.5995154272811548,3.125050830280661,1.2232071190499275e+19
baseline,0.5,1.0,1.0,1.2589254117941713e+19,8192,power,conditional_v8_fixed_policy_feasible,87,34,477,0.12116624310705476,10.0,0.5995154272811548,3.1148578283775783,1.2589254117941715e+19
baseline,0.5,1.0,1.0,1.2956866975170216e+19,8192,power,conditional_v8_fixed_policy_feasible,87,35,477,0.1259789376141309,10.0,0.5995154272811548,3.104891417725007,1.2956866975170216e+19
baseline,0.5,1.0,1.0,1.3335214321633241e+19,8192,power,conditional_v8_fixed_policy_feasible,87,36,477,0.13093216533803936,10.0,0.5995154272811548,3.0951413634804825,1.3335214321633243e+19
baseline,0.5,1.0,1.0,1.3724609610075597e+19,8192,power,conditional_v8_fixed_policy_feasible,87,39,477,0.13603002992279997,10.0,0.5995154272811548,3.085598119433195,1.3724609610075595e+19
baseline,0.5,1.0,1.0,1.4125375446227497e+19,8192,power,conditional_v8_fixed_policy_feasible,87,40,477,0.14127675484100144,10.0,0.5995154272811548,3.076252768616354,1.4125375446227497e+19
baseline,0.5,1.0,1.0,1.4537843856076667e+19,8192,power,conditional_v8_fixed_policy_feasible,87,42,477,0.14667668689286004,10.000000000000002,0.5995154272811548,3.0670969701085737,1.4537843856076667e+19
baseline,0.5,1.0,1.0,1.496235656094436e+19,8192,power,conditional_v8_fixed_policy_feasible,87,45,477,0.15223429980744546,10.0,0.5995154272811548,3.0581229112716404,1.4962356560944357e+19
