scenario,budget_left,budget_right,state_left,state_right,relative_width
baseline,1.6105804454083641e+19,1.6106709874680343e+19,recipe=477,recipe=172,5.621703649039134e-05
Q0_0p45,1.5517448492713351e+19,1.5518320837681502e+19,recipe=97,recipe=477,5.621703649039134e-05
Q0_0p45,1.7180435946836337e+19,1.718140178003088e+19,recipe=477,recipe=172,5.621703649039134e-05
Q0_0p55,1.465518182137371e+19,1.4656005692264933e+19,recipe=477,recipe=172,5.621703649016929e-05
Q0_0p60,1.0082412301374372e+19,1.008297910471463e+19,recipe=475,recipe=172,5.621703649039134e-05
quality_scale_1p5,2.173981576781922e+19,2.174103791583553e+19,recipe=97,recipe=477,5.621703649039134e-05
quality_scale_1p5,3.055333302103501e+19,3.055505063887235e+19,recipe=477,recipe=172,5.621703649016929e-05
mixture_lambda_0,1.2903079091950486e+19,1.2903804464818635e+19,recipe=159,recipe=33,5.621703649039134e-05
mixture_lambda_0,1.3814400135945396e+19,1.381517674058193e+19,recipe=33,recipe=459,5.621703649039134e-05
mixture_lambda_0,1.439067133942152e+19,1.439148034031733e+19,recipe=459,recipe=399,5.621703649039134e-05
mixture_lambda_0,1.5169002791296774e+19,1.5169855547680215e+19,recipe=399,recipe=368,5.621703649039134e-05
mixture_lambda_0,1.6491522141379928e+19,1.649244924588193e+19,recipe=368,recipe=30,5.621703649016929e-05
mixture_lambda_0,1.7308396519831835e+19,1.7309369546590579e+19,recipe=30,recipe=5,5.621703649039134e-05
mixture_lambda_0,1.7883042400175626e+19,1.7884047731822795e+19,recipe=5,recipe=139,5.621703649039134e-05
mixture_lambda_0,1.9179483788898726e+19,1.9180562002638754e+19,recipe=139,recipe=285,5.621703649039134e-05
mixture_lambda_0,2.0121581375766794e+19,2.012271255144124e+19,recipe=285,recipe=168,5.621703649039134e-05
mixture_lambda_0,2.074293073677542e+19,2.0744096842869567e+19,recipe=168,recipe=437,5.621703649039134e-05
mixture_lambda_0,2.1328242899854176e+19,2.1329441910463554e+19,recipe=437,recipe=188,5.621703649039134e-05
mixture_lambda_0,2.156939136838611e+19,2.157060393564774e+19,recipe=188,recipe=56,5.621703649039134e-05
mixture_lambda_0,2.208471488562704e+19,2.2085956422849642e+19,recipe=56,recipe=477,5.621703649039134e-05
mixture_lambda_0,2.2551416611177222e+19,2.255268438498776e+19,recipe=477,recipe=475,5.621703649016929e-05
mixture_lambda_0,2.2909191662151807e+19,2.291047954901544e+19,recipe=475,recipe=6,5.621703649039134e-05
mixture_lambda_0,2.3586106217132737e+19,2.358743215812661e+19,recipe=6,recipe=472,5.621703649016929e-05
mixture_lambda_0,2.4418541850952995e+19,2.4419914589011268e+19,recipe=472,recipe=252,5.621703649016929e-05
mixture_lambda_0,2.506244503473955e+19,2.50638539711266e+19,recipe=252,recipe=204,5.621703649016929e-05
mixture_lambda_0,2.5470077910917607e+19,2.5471509763216937e+19,recipe=204,recipe=31,5.621703649039134e-05
mixture_lambda_0,2.5613662321307955e+19,2.5615102245497324e+19,recipe=31,recipe=164,5.621703649039134e-05
mixture_lambda_0,2.563238765103652e+19,2.563382862790843e+19,recipe=164,recipe=202,5.621703649039134e-05
mixture_lambda_0,2.6050754880577122e+19,2.605221937681484e+19,recipe=202,recipe=60,5.621703649016929e-05
mixture_lambda_0,2.658183518570609e+19,2.6583329537704706e+19,recipe=60,recipe=160,5.621703649039134e-05
mixture_lambda_0,2.68793613244038e+19,2.688087240244021e+19,recipe=160,recipe=310,5.621703649039134e-05
mixture_lambda_0,2.7210793776630268e+19,2.721232348681694e+19,recipe=310,recipe=196,5.621703649039134e-05
mixture_lambda_0,2.7876564976215335e+19,2.7878132114085827e+19,recipe=196,recipe=313,5.621703649039134e-05
mixture_lambda_0,2.8857181184408228e+19,2.885880344961588e+19,recipe=313,recipe=275,5.621703649039134e-05
mixture_lambda_0,2.965144744459824e+19,2.965311436110122e+19,recipe=275,recipe=422,5.621703649039134e-05
mixture_lambda_0,3.0339389390118154e+19,3.0341094980678595e+19,recipe=422,recipe=216,5.621703649039134e-05
mixture_lambda_0,3.1248143385086067e+19,3.1249900063103e+19,recipe=216,recipe=484,5.621703649039134e-05
mixture_lambda_0,3.181713955276941e+19,3.1818928218064667e+19,recipe=484,recipe=295,5.621703649039134e-05
mixture_lambda_0,3.193899813718917e+19,3.1940793653012914e+19,recipe=295,recipe=172,5.621703649039134e-05
mixture_lambda_0,3.2180498950214566e+19,3.2182308042498327e+19,recipe=172,recipe=135,5.621703649039134e-05
mixture_lambda_0,3.2619444623637533e+19,3.262127839214623e+19,recipe=135,recipe=363,5.621703649016929e-05
mixture_lambda_0,3.338750640740461e+19,3.3389383354070634e+19,recipe=363,recipe=217,5.621703649039134e-05
mixture_lambda_0,3.412182305774199e+19,3.4123741285513945e+19,recipe=217,recipe=43,5.621703649039134e-05
mixture_lambda_0,3.4600861657256944e+19,3.4602806815159325e+19,recipe=43,recipe=281,5.621703649016929e-05
mixture_lambda_0,3.4852691980973097e+19,3.485465129602998e+19,recipe=281,recipe=392,5.621703649039134e-05
mixture_lambda_0,3.5322129220716646e+19,3.532411492614396e+19,recipe=392,recipe=100,5.621703649016929e-05
mixture_lambda_0,3.6290256604627915e+19,3.62922967353077e+19,recipe=100,recipe=260,5.621703649016929e-05
mixture_lambda_0,3.6853563882632258e+19,3.6855635680777847e+19,recipe=260,recipe=351,5.621703649039134e-05
