source_model,training_corpus,N_params_B,D_tokens_B,C_train_proxy_FLOPs,B1_predicted_loss_in_Pythia_coordinates,observed_Paloma_C4_loss_in_OpenLM_coordinates,source_model_sha256
c4_original-d=1024_l=24_h=8-16.0,c4_original,0.411616256,131.71720192,3.253016490306385e+20,2.4849097856614746,2.6971738688086297,6881e8bcfd2439f52f0ffa1a20bfc3244b6b2da16dc9576e689d720db1c3864d
c4_original-d=1024_l=24_h=8-2.0,c4_original,0.411616256,16.46465024,4.066270612882981e+19,2.734760437155049,2.9611260453940895,1c74db470334756fb544fa7ef1155bf2b6bc70bdf0eb2fd458c4f8a0e3d5787e
c4_original-d=1024_l=24_h=8-4.0,c4_original,0.411616256,32.92930048,8.132541225765962e+19,2.6349022877723054,2.7928951374139417,f6a0b2ad7dace1f4813cb4f6b809ade12448ea4d0e0a045ca9b1377ef6766c42
c4_original-d=1024_l=24_h=8-8.0,c4_original,0.411616256,65.85860096,1.6265082451531923e+20,2.5526538826056795,2.810066745140402,5f93439f4b107bc1cc326a289250b8c7edec5509398d2bf0439a6d3c51b241ab
c4_original-d=512_l=8_h=4-16.0,c4_original,0.078914048,25.25249536,1.1956659785752904e+19,3.031505785544911,3.3902748699343617,6d4fe9c69f0033a625af5c27d79f0c58d1e7b5e668d8e929304f445d4bb2281c
c4_original-d=512_l=8_h=4-32.0,c4_original,0.078914048,50.50499072,2.3913319571505807e+19,2.942914095524313,3.3565808012626324,b693b1842d4ae5dea422e6782d54b0e1157b4f3cd1ea4b989318bd3f4272a1b3
c4_original-d=512_l=8_h=4-8.0,c4_original,0.078914048,12.62624768,5.978329892876452e+18,3.1390653448849912,3.4546526420383494,66561fa1828bf8c89077822dfba23561b578375c24b1e85a68d49cd28d05faba
c4_original-d=576_l=24_h=8-16.0,c4_original,0.153677376,49.17676032,4.534413291695112e+19,2.775836407563147,2.9983120756091024,f3a79b2c2287ae5aa7dc6d9993880d19a90e9b64bcecd5638bb825b90b7144d9
c4_original-d=576_l=24_h=8-32.0,c4_original,0.153677376,98.35352064,9.068826583390224e+19,2.702321309500499,3.0048636457827813,0f474e4baff0b0d6724f5480c95b85a8d27a4bb62295411c8a6d0786eef41874
c4_original-d=576_l=24_h=8-4.0,c4_original,0.153677376,12.29419008,1.133603322923778e+19,2.973456300947721,3.226200322269665,538f84ae4f1ec029f6a7a0dd3f5575ca521b6b187d05937158c804866dd72116
c4_original-d=576_l=24_h=8-8.0,c4_original,0.153677376,24.58838016,2.267206645847556e+19,2.8650914104942657,3.054557358902972,ccb59c6d893cc70667988eacda1f780c9c593124ce5ea88a5e493236a4488634
c4_original-open_lm_1b-1.0,c4_original,1.4397952,28.795904,2.487612261531648e+20,2.486791760985641,2.668572883741919,dc5aff812d1bcdf05d89b4300a1b572a562a28734e2a2c46ccfeaee36f8cc61e
c4_original-open_lm_1b-4.0,c4_original,1.4397952,115.183616,9.950449046126592e+20,2.3310612220812748,2.475885019282945,964579a5f56d9fcf46c64cabf82b00737c097779225829f4549bffb49ab813c0
c4_original-open_lm_7b-1.0,c4_original,6.88941056,137.7882112,5.695677343708742e+21,2.1859309363782864,2.388145117677156,839abd366bde620f9970f6d2331982ad5c5c05703470fd28a8e153c2f695ea6f
rpj-d=1024_l=24_h=8-16.0,rpj,0.411616256,131.71720192,3.253016490306385e+20,2.4849097856614746,2.8075133753891146,0dbe4abe8580fa3940188439143f5068b39507598e1ece408c4b7a07bfcaeb42
rpj-d=1024_l=24_h=8-2.0,rpj,0.411616256,16.46465024,4.066270612882981e+19,2.734760437155049,3.048655947939684,946628893896424dcbe8659af3e5b6c77f6053bdf3e2370aa2ecda711ac9d0ea
rpj-d=1024_l=24_h=8-32.0,rpj,0.411616256,263.43440384,6.50603298061277e+20,2.429112197106554,2.7718551761021195,b22b0db3894a4d40ba9903565b7690e89c1d47548519b3513dc98c9e23cc9967
rpj-d=1024_l=24_h=8-4.0,rpj,0.411616256,32.92930048,8.132541225765962e+19,2.6349022877723054,2.9753107233105753,9e41986705a90da4d79f0a5b9deaea8395ab747f85c246315b6144755635b2da
rpj-d=1024_l=24_h=8-8.0,rpj,0.411616256,65.85860096,1.6265082451531923e+20,2.5526538826056795,2.912290720735694,ae1ddf71ac73c3e37c83a041c3014e6c08c6fbb3213450645ebac8e378552e65
rpj-d=512_l=8_h=4-16.0,rpj,0.078914048,25.25249536,1.1956659785752904e+19,3.031505785544911,3.4794149991208325,0d344ab3458b4cdf64c5159100a1fe3b57ef607a25b756af8c59802337141526
rpj-d=512_l=8_h=4-32.0,rpj,0.078914048,50.50499072,2.3913319571505807e+19,2.942914095524313,3.419863925203529,69cc81245773e3f0510b853b145efc9e1e97906dedee47f51e97c0cb6fbe16e3
rpj-d=512_l=8_h=4-8.0,rpj,0.078914048,12.62624768,5.978329892876452e+18,3.1390653448849912,3.5461635647868914,a3f7aafff1f166618a34c9d787ec60082d71d64ea54b9891eec6d79501328b39
rpj-d=576_l=24_h=8-16.0,rpj,0.153677376,49.17676032,4.534413291695112e+19,2.775836407563147,3.170689233208868,4bb55ee15bd48c7af5ec8e3722a4448a867794f2dc8ff0bd82d195fe85b6dd42
rpj-d=576_l=24_h=8-32.0,rpj,0.153677376,98.35352064,9.068826583390224e+19,2.702321309500499,3.1055666594301368,c6d0c38335579210036084d996b8c374e73a9eb79c7369f431d6f0f5bf48e1ef
rpj-d=576_l=24_h=8-4.0,rpj,0.153677376,12.29419008,1.133603322923778e+19,2.973456300947721,3.3072772239716137,be8139673c65951cc0543472d4be364f3fc77bd33c556649729fb6d9b8c02e84
rpj-d=576_l=24_h=8-8.0,rpj,0.153677376,24.58838016,2.267206645847556e+19,2.8650914104942657,3.236005185820663,848910ea02ec47caa92b60b6e074cb224f7ff718780c4e3c4ab4a3349f9c6a29
rpj-open_lm_1b-1.0,rpj,1.4397952,28.795904,2.487612261531648e+20,2.486791760985641,2.774335279484145,c3703ae56c0f00efa08ff2989bd1559ac7eae9cd3c6f5f2e724c756a07c5b7f6
rpj-open_lm_7b-1.0,rpj,6.88941056,137.7882112,5.695677343708742e+21,2.1859309363782864,2.4300342340576186,62f938a0be52065726bcd6af80446626204a2f3d1101f3ccc12271a8ae1a8a7c
