budget_FLOPs,context_tokens,quality_family,Q0_scenario,context_role,ready_for_Q3,feasible,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,cost_FLOPs,budget_utilization,active_support,kkt_relative_violation,kkt_check_pass,solver
1e+19,2048,exponential,0.5,C7_candidate,False,True,0.1405408966770969,10.000000000000002,0.5668909161659564,3.2629420811093137,1.0000000000006044e+19,1.0000000000006044,D_min;budget,2.916413251592013e-09,True,SLSQP
1.0746078283213175e+19,2048,exponential,0.5,C7_candidate,False,True,0.1487632549987962,10.000000000000007,0.5786353168680117,3.2420774488229247,1.074607828321657e+19,1.000000000000316,D_min;budget,2.597966004483626e-10,True,SLSQP
1.1547819846894582e+19,2048,exponential,0.5,C7_candidate,False,True,0.1575623804641564,10.000000000000002,0.5905100121213629,3.2213261340246233,1.1547819846904089e+19,1.0000000000008233,D_min;budget,1.6242170638612439e-09,True,SLSQP
1.2409377607517196e+19,2048,exponential,0.5,C7_candidate,False,True,0.16697775759627947,10.000000000000002,0.6025085394619991,3.200705543080459,1.2409377607517647e+19,1.0000000000000364,D_min;budget,5.0059766365846656e-11,True,SLSQP
1.3335214321633241e+19,2048,exponential,0.5,C7_candidate,False,True,0.17705149044906626,10.000000000000002,0.6146246224155064,3.180231922935206,1.3335214321633542e+19,1.0000000000000226,D_min;budget,2.651484624920276e-11,True,SLSQP
1.4330125702369628e+19,2048,exponential,0.5,C7_candidate,False,True,0.18782846932681163,10.000000000000002,0.6268521824001575,3.1599203693154965,1.4330125702375143e+19,1.0000000000003848,D_min;budget,1.4791303922426896e-09,True,SLSQP
1.539926526059492e+19,2048,exponential,0.5,C7_candidate,False,True,0.19935654576252626,10.000000000000002,0.6391853518226467,3.139784843435973,1.539926526071513e+19,1.0000000000078062,D_min;budget,3.279088165630926e-10,True,SLSQP
1.6548170999431815e+19,2048,exponential,0.5,C7_candidate,False,True,0.21168671604241235,10.000000000000002,0.6516184871139865,3.1198381960395727,1.6548170999437253e+19,1.0000000000003286,D_min;budget,3.3100797520016316e-11,True,SLSQP
1.7782794100389229e+19,2048,exponential,0.5,C7_candidate,False,True,0.2248733171309253,10.000000000000002,0.664146173747698,3.1000921975848903,1.7782794100402725e+19,1.000000000000759,D_min;budget,4.8150259948591246e-11,True,SLSQP
1.9109529749704405e+19,2048,exponential,0.5,C7_candidate,False,True,0.23897423159467684,10.000000000000002,0.6767632327864259,3.08055757356807,1.910952974971793e+19,1.0000000000007077,D_min;budget,4.317109384672771e-11,True,SLSQP
2.053525026457146e+19,2048,exponential,0.5,C7_candidate,False,True,0.25405110376713747,10.000000000000007,0.6894647244172443,3.0612440438932342,2.0535250264573137e+19,1.0000000000000815,D_min;budget,2.2942754867717588e-12,True,SLSQP
2.2067340690845897e+19,2048,exponential,0.5,C7_candidate,False,True,0.27016958373760347,10.000000000000002,0.7022459233249406,3.042160365405198,2.2067340690862125e+19,1.0000000000007354,D_min;budget,1.1157068570277037e-07,True,SLSQP
2.3713737056616554e+19,2048,exponential,0.5,C7_candidate,False,True,0.28739948306516466,10.000000000000002,0.7151024501122601,3.023314376725157,2.371373705674947e+19,1.000000000005605,D_min;budget,5.866318198073221e-11,True,SLSQP
2.5482967479793463e+19,2048,exponential,0.5,C7_candidate,False,True,0.3058151915471195,10.000000000000002,0.7280300072343978,3.004713044638642,2.548296747981641e+19,1.0000000000009004,D_min;budget,7.906751315355407e-11,True,SLSQP
2.7384196342643614e+19,2048,exponential,0.5,C7_candidate,False,True,0.32549577329850865,10.000000000000002,0.7410246393803918,2.9863625113465324,2.738419634266794e+19,1.0000000000008884,D_min;budget,3.947368380167395e-10,True,SLSQP
2.942727176209282e+19,2048,exponential,0.5,C7_candidate,False,True,0.3465253245869768,10.000000000000002,0.7540825981831678,2.96826814203641,2.9427271762110243e+19,1.0000000000005922,D_min;budget,2.4310919178737012e-09,True,SLSQP
3.162277660168379e+19,2048,exponential,0.5,C7_candidate,False,True,0.3689932422299638,10.000000000000002,0.7672003657947846,2.9504345722303538,3.162277660170926e+19,1.0000000000008054,D_min;budget,2.2742807014790063e-09,True,SLSQP
3.3982083289425592e+19,2048,exponential,0.5,C7_candidate,False,True,0.39299452374325206,10.000000000000002,0.7803746476442793,2.932865754512189,3.3982083289429328e+19,1.00000000000011,D_min;budget,1.6800487212389871e-10,True,SLSQP
3.651741272548377e+19,2048,exponential,0.5,C7_candidate,False,True,0.4186300776382058,10.000000000000002,0.7936023670395191,2.9155650042691006,3.651741272548642e+19,1.0000000000000726,D_min;budget,2.026615685688755e-11,True,SLSQP
3.924189758484536e+19,2048,exponential,0.5,C7_candidate,False,True,0.4460070428529572,10.000000000000002,0.8068806612838952,2.89853504416504,3.924189758486607e+19,1.0000000000005278,D_min;budget,1.920495574613234e-10,True,SLSQP
4.216965034285823e+19,2048,exponential,0.5,C7_candidate,False,True,0.4752391223910281,10.000000000000002,0.8202068740282235,2.8817780471123777,4.216965034285957e+19,1.0000000000000318,D_min;budget,4.1528597623936645e-12,True,SLSQP
4.531583637600818e+19,2048,exponential,0.5,C7_candidate,False,True,0.5064469260845441,10.000000000000002,0.8335785487005032,2.865295677564591,4.531583637601991e+19,1.000000000000259,D_min;budget,1.1436585220674463e-11,True,SLSQP
4.869675251658631e+19,2048,exponential,0.5,C7_candidate,False,True,0.5397583216176969,10.000000000000002,0.8469934224867758,2.8490891310016084,4.8696752516589765e+19,1.000000000000071,D_min;budget,1.3708907178317685e-10,True,SLSQP
5.2329911468149465e+19,2048,exponential,0.5,C7_candidate,False,True,0.575308794774993,10.000000000000002,0.8604494192358791,2.8331591715112934,5.232991146816489e+19,1.0000000000002949,D_min;budget,9.520999025238457e-10,True,SLSQP
5.6234132519034905e+19,2048,exponential,0.5,C7_candidate,False,True,0.6132418127736752,10.000000000000002,0.8739446443983607,2.8175061674141215,5.623413251908527e+19,1.0000000000008957,D_min;budget,2.426105543629511e-10,True,SLSQP
6.042963902381328e+19,2048,exponential,0.5,C7_candidate,False,True,0.6537091984021104,10.000000000000002,0.8874773759584651,2.802130124901001,6.042963902381328e+19,1.0,D_min;budget,1.3851371341035197e-12,True,SLSQP
6.493816315762113e+19,2048,exponential,0.5,C7_candidate,False,True,0.6968714953796813,10.000000000000002,0.9010460616507359,2.7870307196798865,6.493816315762257e+19,1.0000000000000222,D_min;budget,2.9285583581328447e-09,True,SLSQP
