budget_FLOPs,context_tokens,quality_family,DE_minus_owner_loss
1e+19,2048,exponential,7.544389113434136e-09
1e+20,2048,exponential,1.1532668153790837e-09
1e+22,2048,exponential,2.3351929279158412e-09
1e+23,2048,exponential,1.2676890648322114e-09
1e+19,2048,power,5.730548036098071e-09
1e+20,2048,power,7.945160085398584e-10
1e+22,2048,power,2.2077357719751944e-09
1e+23,2048,power,1.2676890648322114e-09
1e+19,2048,logarithmic,3.775192158883556e-09
1e+20,2048,logarithmic,2.3938828697112058e-09
1e+22,2048,logarithmic,1.1053771231672727e-09
1e+23,2048,logarithmic,1.2676890648322114e-09
1e+19,30000,exponential,2.2298212165594578e-09
1e+20,30000,exponential,3.0654634386451107e-10
1e+22,30000,exponential,8.026395104110406e-09
1e+23,30000,exponential,1.2676890648322114e-09
1e+19,30000,power,2.312295688255972e-09
1e+20,30000,power,2.0456907279253755e-09
1e+22,30000,power,3.8639003108187353e-10
1e+23,30000,power,1.2676890648322114e-09
1e+19,30000,logarithmic,6.625252346736943e-09
1e+20,30000,logarithmic,1.488755341227943e-09
1e+22,30000,logarithmic,3.240616663902074e-10
1e+23,30000,logarithmic,1.2676890648322114e-09
1e+20,131072,exponential,6.416023268229765e-10
1e+22,131072,exponential,1.2496457202360034e-09
1e+23,131072,exponential,1.3142908983354573e-10
1e+20,131072,power,7.046683236922036e-10
1e+22,131072,power,1.0826033403077417e-09
1e+23,131072,power,5.697224914058552e-10
1e+20,131072,logarithmic,1.8179666660955718e-09
1e+22,131072,logarithmic,5.5646127705699655e-09
1e+23,131072,logarithmic,2.1836381591811005e-09
