budget_FLOPs,context_tokens,quality_family,Q0_scenario,context_role,ready_for_Q3,feasible,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,cost_FLOPs,budget_utilization,active_support,kkt_relative_violation,kkt_check_pass,solver,producer_loss_difference
1e+19,2048,exponential,0.5,C7_candidate,False,True,0.1405408966770969,10.000000000000002,0.5668909161659564,3.2629420811093137,1.0000000000006044e+19,1.0000000000006044,D_min;budget,2.916413251592013e-09,True,SLSQP,0.0
3e+19,2048,exponential,0.5,C7_candidate,False,True,0.35239915298713126,10.000000000000002,0.7575908637541688,2.963465132929142,3.000000000002252e+19,1.0000000000007507,D_min;budget,1.0904143793902285e-09,True,SLSQP,0.0
1e+20,2048,exponential,0.5,C7_candidate,False,True,0.9508120123308846,10.868943213318488,0.9668714855448834,2.7018200306354676,1.0000000000005662e+20,1.0000000000005662,budget,1.3353628057866516e-07,True,SLSQP,0.0
3e+20,2048,exponential,0.5,C7_candidate,False,True,1.4761209527109145,22.565251784854457,1.0,2.514926569592452,3.0000000000047664e+20,1.0000000000015887,Q1;budget,1.270082825534782e-10,True,SLSQP,0.0
1e+21,2048,exponential,0.5,C7_candidate,False,True,2.355680359029357,52.81950129521225,0.9999999999999998,2.3577802164233317,1.0000000000009851e+21,1.0000000000009852,Q1;budget,5.113722026792866e-10,True,SLSQP,0.0
3e+21,2048,exponential,0.5,C7_candidate,False,True,3.710904029312552,108.62149426488641,1.0,2.246351109977007,3.0000000000007104e+21,1.0000000000002367,Q1;budget,3.4654836131906697e-11,True,SLSQP,2.3003821070233244e-13
1e+22,2048,exponential,0.5,C7_candidate,False,True,6.271047641436158,227.1264396334464,1.0,2.149669772043173,1.0000000000022746e+22,1.0000000000022746,Q1;budget,9.892963290045811e-11,True,SLSQP,0.0
3e+22,2048,exponential,0.5,C7_candidate,False,True,10.31651071052256,428.82786999097715,1.0,2.0788761784316296,3.0000000000001015e+22,1.0000000000000338,Q1;budget,3.329654426988481e-12,True,SLSQP,7.194245199571014e-14
1e+23,2048,exponential,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.833380673941727e+22,0.4833380673941728,D_max;N_max;Q1,0.0,True,SLSQP,0.0
3e+23,2048,exponential,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.833380673941727e+22,0.1611126891313909,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+24,2048,exponential,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.833380673941727e+22,0.04833380673941728,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+19,2048,power,0.5,C7_candidate,False,True,0.15601597603631454,10.000000000000002,0.5,3.27060943910677,1.0000000000023618e+19,1.0000000000023617,D_min;Q0;budget,0.0,True,SLSQP,0.0
3e+19,2048,power,0.5,C7_candidate,False,True,0.3680420047874016,10.000000000000002,0.6608264866591949,3.0004805472543037,3.000000000003274e+19,1.0000000000010913,D_min;budget,1.0236399631340242e-09,True,SLSQP,3.26405569239796e-13
1e+20,2048,power,0.5,C7_candidate,False,True,0.8972224339559655,10.000000000000002,0.9773234074201579,2.7208319995583086,1.0000000000060272e+20,1.0000000000060272,D_min;budget,3.341425946658765e-11,True,SLSQP,0.0
3e+20,2048,power,0.5,C7_candidate,False,True,1.5487289273523253,20.52793337707929,1.0,2.5242143370124044,3.000000000007632e+20,1.0000000000025442,Q1;budget,9.527887970550912e-11,True,SLSQP,0.0
1e+21,2048,power,0.5,C7_candidate,False,True,2.443591483816995,49.14018442731962,1.0,2.3627855684531434,1.000000000001073e+21,1.000000000001073,Q1;budget,1.9731449326872853e-10,True,SLSQP,0.0
3e+21,2048,power,0.5,C7_candidate,False,True,3.811964847892799,103.01960811452355,0.9999999999999999,2.2490927395024785,3.0000000000027163e+21,1.0000000000009055,Q1;budget,5.779239998523231e-11,True,SLSQP,3.077538224260934e-13
1e+22,2048,power,0.5,C7_candidate,False,True,6.38420974057638,219.26107339387926,0.9999999999999999,2.1510359090443756,1.000000000000531e+22,1.000000000000531,Q1;budget,1.115892315615364e-10,True,SLSQP,0.0
3e+22,2048,power,0.5,C7_candidate,False,True,10.43799753782536,419.0477365411484,1.0,2.079580497343788,3.0000000000148113e+22,1.0000000000049372,Q1;budget,9.626603232781809e-11,True,SLSQP,0.0
1e+23,2048,power,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.884624719999998e+22,0.48846247199999987,D_max;N_max;Q1,0.0,True,SLSQP,0.0
3e+23,2048,power,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.884624719999998e+22,0.16282082399999995,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+24,2048,power,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.884624719999998e+22,0.048846247199999984,D_max;N_max;Q1,0.0,True,SLSQP,0.0
