Q0,Q,context_tokens,family,critical_N_B_equal_quality_and_base,B1_support_status
0.25,1,2048,exponential,0.6224212188317477,crosses_within_B1_support
0.25,1,2048,power,0.7770326931477783,crosses_within_B1_support
0.25,1,2048,logarithmic,0.35731786829225,crosses_within_B1_support
0.25,1,8192,exponential,0.5222914542605742,crosses_within_B1_support
0.25,1,8192,power,0.65203036630708,crosses_within_B1_support
0.25,1,8192,logarithmic,0.29983564733530654,crosses_within_B1_support
0.25,1,131072,exponential,0.12384123386510289,crosses_within_B1_support
0.25,1,131072,power,0.15460380295768353,crosses_within_B1_support
0.25,1,131072,logarithmic,0.07109443629575611,crosses_within_B1_support
0.5,1,2048,exponential,0.5980767233049604,crosses_within_B1_support
0.5,1,2048,power,0.7313248876684972,crosses_within_B1_support
0.5,1,2048,logarithmic,0.18913373800871064,crosses_within_B1_support
0.5,1,8192,exponential,0.5018632914871536,crosses_within_B1_support
0.5,1,8192,power,0.6136756388772517,crosses_within_B1_support
0.5,1,8192,logarithmic,0.1587075313076864,crosses_within_B1_support
0.5,1,131072,exponential,0.1189974845316217,crosses_within_B1_support
0.5,1,131072,power,0.14550946160723155,crosses_within_B1_support
0.5,1,131072,logarithmic,0.037631357627043546,below_support
0.75,1,2048,exponential,0.4889722637796638,crosses_within_B1_support
0.75,1,2048,power,0.5332577305916126,crosses_within_B1_support
0.75,1,2048,logarithmic,0.08045092027649157,crosses_within_B1_support
0.75,1,8192,exponential,0.4103106176584275,crosses_within_B1_support
0.75,1,8192,power,0.44747182001466274,crosses_within_B1_support
0.75,1,8192,logarithmic,0.06750866917210416,below_support
0.75,1,131072,exponential,0.09728930608430184,crosses_within_B1_support
0.75,1,131072,power,0.10610064908860634,crosses_within_B1_support
0.75,1,131072,logarithmic,0.01600707194932081,below_support
