Q0,context_tokens,N_params_B,family,critical_Q_equal_quality_and_base
0.5,2048,0.1,exponential,0.738829270126164
0.5,2048,0.1,power,0.6608199084094624
0.5,2048,0.1,logarithmic,0.7266733666000059
0.5,2048,1,exponential,
0.5,2048,1,power,
0.5,2048,1,logarithmic,
0.5,2048,10,exponential,
0.5,2048,10,power,
0.5,2048,10,logarithmic,
0.5,8192,0.1,exponential,0.761537879825867
0.5,8192,0.1,power,0.6811533062425346
0.5,8192,0.1,logarithmic,0.7790569237128218
0.5,8192,1,exponential,
0.5,8192,1,power,
0.5,8192,1,logarithmic,
0.5,8192,10,exponential,
0.5,8192,10,power,
0.5,8192,10,logarithmic,
0.5,131072,0.1,exponential,0.9725802787548625
0.5,131072,0.1,power,0.9169006737144623
0.5,131072,0.1,logarithmic,
0.5,131072,1,exponential,
0.5,131072,1,power,
0.5,131072,1,logarithmic,
0.5,131072,10,exponential,
0.5,131072,10,power,
0.5,131072,10,logarithmic,
