family,Q,g,g_prime,g_second,curvature
exponential,0.25,44816890.703380644,268901344.22028387,1613408065.3217032,convex
exponential,0.5,200855369.23187667,1205132215.3912601,7230793292.347561,convex
exponential,0.75,900171313.0052181,5401027878.031309,32406167268.18785,convex
exponential,1,4034287934.927351,24205727609.564106,145234365657.38464,convex
power,0.25,19531250,312500000,3750000000,convex
power,0.5,312500000,2500000000,15000000000,convex
power,0.75,1582031250,8437500000,33750000000,convex
power,1,5000000000,20000000000,60000000000,convex
logarithmic,0.25,2505525936.990736,5714285714.285714,-16326530612.244898,concave
logarithmic,0.5,3583518938.45611,3333333333.3333335,-5555555555.555555,concave
logarithmic,0.75,4280132326.9925413,2352941176.470588,-2768166089.965398,concave
logarithmic,1,4795790545.596742,1818181818.1818182,-1652892561.9834712,concave
