Q0,Q,context_tokens,N_params_B,family,C_Q_over_C_train_plus_attn
0.5,1,2048,0.1,exponential,5.980767233049604
0.5,1,2048,0.1,power,7.313248876684972
0.5,1,2048,0.1,logarithmic,1.8913373800871063
0.5,1,2048,1,exponential,0.5980767233049604
0.5,1,2048,1,power,0.7313248876684972
0.5,1,2048,1,logarithmic,0.18913373800871064
0.5,1,2048,10,exponential,0.05980767233049604
0.5,1,2048,10,power,0.07313248876684973
0.5,1,2048,10,logarithmic,0.018913373800871065
0.5,1,8192,0.1,exponential,5.018632914871536
0.5,1,8192,0.1,power,6.136756388772517
0.5,1,8192,0.1,logarithmic,1.5870753130768638
0.5,1,8192,1,exponential,0.5018632914871536
0.5,1,8192,1,power,0.6136756388772517
0.5,1,8192,1,logarithmic,0.1587075313076864
0.5,1,8192,10,exponential,0.05018632914871536
0.5,1,8192,10,power,0.06136756388772518
0.5,1,8192,10,logarithmic,0.015870753130768637
0.5,1,131072,0.1,exponential,1.1899748453162171
0.5,1,131072,0.1,power,1.4550946160723155
0.5,1,131072,0.1,logarithmic,0.3763135762704355
0.5,1,131072,1,exponential,0.1189974845316217
0.5,1,131072,1,power,0.14550946160723155
0.5,1,131072,1,logarithmic,0.037631357627043546
0.5,1,131072,10,exponential,0.011899748453162171
0.5,1,131072,10,power,0.014550946160723156
0.5,1,131072,10,logarithmic,0.003763135762704355
