quality_domain,metric_a,metric_b,mean_domain_spearman_sample,conflict_strength_sample,min_domain_spearman_sample,max_domain_spearman_sample,n_domains_sample,mean_domain_spearman_extended,conflict_strength_extended,min_domain_spearman_extended,max_domain_spearman_extended,n_domains_extended,negative_in_both
arxiv,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,-0.8190851869715882,0.8190851869715882,-0.8190851869715882,-0.8190851869715882,1,-0.8195909070717878,0.8195909070717878,-0.8195909070717878,-0.8195909070717878,1,True
arxiv,dsir_wiki,rps_doc_frac_no_alph_words,-0.6244504170460821,0.6244504170460821,-0.6244504170460821,-0.6244504170460821,1,-0.6297833218001235,0.6297833218001235,-0.6297833218001235,-0.6297833218001235,1,True
arxiv,dsir_books,rps_doc_frac_no_alph_words,-0.621767186689507,0.621767186689507,-0.621767186689507,-0.621767186689507,1,-0.6274027934865813,0.6274027934865813,-0.6274027934865813,-0.6274027934865813,1,True
arxiv,dsir_math,rps_doc_frac_no_alph_words,-0.5884389876912718,0.5884389876912718,-0.5884389876912718,-0.5884389876912718,1,-0.5951833340364345,0.5951833340364345,-0.5951833340364345,-0.5951833340364345,1,True
arxiv,modernbert_professionalism,rps_doc_frac_no_alph_words,-0.5246009783540847,0.5246009783540847,-0.5246009783540847,-0.5246009783540847,1,-0.5205605583050082,0.5205605583050082,-0.5205605583050082,-0.5205605583050082,1,True
arxiv,modernbert_readability,modernbert_professionalism,-0.4381960288104999,0.4381960288104999,-0.4381960288104999,-0.4381960288104999,1,-0.43246655614981394,0.43246655614981394,-0.43246655614981394,-0.43246655614981394,1,True
arxiv,fineweb_edu,modernbert_professionalism,-0.40748767584895723,0.40748767584895723,-0.40748767584895723,-0.40748767584895723,1,-0.3568188932641279,0.3568188932641279,-0.3568188932641279,-0.3568188932641279,1,True
arxiv,modernbert_readability,dsir_wiki,-0.40693525856575125,0.40693525856575125,-0.40693525856575125,-0.40693525856575125,1,-0.38762482828960054,0.38762482828960054,-0.38762482828960054,-0.38762482828960054,1,True
arxiv,ad_en,rps_doc_frac_no_alph_words,-0.40162285323384866,0.40162285323384866,-0.40162285323384866,-0.40162285323384866,1,-0.38112058349870725,0.38112058349870725,-0.38112058349870725,-0.38112058349870725,1,True
arxiv,modernbert_readability,dsir_books,-0.40157004922398554,0.40157004922398554,-0.40157004922398554,-0.40157004922398554,1,-0.38293027554943143,0.38293027554943143,-0.38293027554943143,-0.38293027554943143,1,True
arxiv,modernbert_readability,dsir_math,-0.3710882581945211,0.3710882581945211,-0.3710882581945211,-0.3710882581945211,1,-0.35234290553139286,0.35234290553139286,-0.35234290553139286,-0.35234290553139286,1,True
arxiv,rps_doc_frac_no_alph_words,rps_lines_uppercase_letter_fraction,-0.3701321926359598,0.3701321926359598,-0.3701321926359598,-0.3701321926359598,1,-0.3613841887125745,0.3613841887125745,-0.3613841887125745,-0.3613841887125745,1,True
arxiv,modernbert_readability,rps_lines_uppercase_letter_fraction,-0.3627170196217636,0.3627170196217636,-0.3627170196217636,-0.3627170196217636,1,-0.35565879679874146,0.35565879679874146,-0.35565879679874146,-0.35565879679874146,1,True
arxiv,rps_doc_frac_no_alph_words,rps_lines_numerical_chars_fraction,-0.3606590285017229,0.3606590285017229,-0.3606590285017229,-0.3606590285017229,1,-0.3799305344173275,0.3799305344173275,-0.3799305344173275,-0.3799305344173275,1,True
arxiv,modernbert_readability,ad_en,-0.3055471652679027,0.3055471652679027,-0.3055471652679027,-0.3055471652679027,1,-0.3296334522682581,0.3296334522682581,-0.3296334522682581,-0.3296334522682581,1,True
arxiv,fineweb_edu,dsir_wiki,-0.2612877519573805,0.2612877519573805,-0.2612877519573805,-0.2612877519573805,1,-0.24108712403927074,0.24108712403927074,-0.24108712403927074,-0.24108712403927074,1,True
arxiv,fineweb_edu,dsir_books,-0.2572698621969081,0.2572698621969081,-0.2572698621969081,-0.2572698621969081,1,-0.2374434758017497,0.2374434758017497,-0.2374434758017497,-0.2374434758017497,1,True
arxiv,rps_doc_unigram_entropy,rps_doc_mean_word_length,-0.2520332200961461,0.2520332200961461,-0.2520332200961461,-0.2520332200961461,1,-0.266303557554724,0.266303557554724,-0.266303557554724,-0.266303557554724,1,True
arxiv,fineweb_edu,dsir_math,-0.24036356005647105,0.24036356005647105,-0.24036356005647105,-0.24036356005647105,1,-0.22021462445432416,0.22021462445432416,-0.22021462445432416,-0.22021462445432416,1,True
arxiv,modernbert_professionalism,rps_lines_ending_with_terminal_punctution_mark,-0.23872791226899207,0.23872791226899207,-0.23872791226899207,-0.23872791226899207,1,-0.25542919695782945,0.25542919695782945,-0.25542919695782945,-0.25542919695782945,1,True
arxiv,dsir_wiki,rps_lines_ending_with_terminal_punctution_mark,-0.2203527113238123,0.2203527113238123,-0.2203527113238123,-0.2203527113238123,1,-0.2219994302965342,0.2219994302965342,-0.2219994302965342,-0.2219994302965342,1,True
arxiv,dsir_books,rps_lines_ending_with_terminal_punctution_mark,-0.2185798420560003,0.2185798420560003,-0.2185798420560003,-0.2185798420560003,1,-0.2215905099199005,0.2215905099199005,-0.2215905099199005,-0.2215905099199005,1,True
arxiv,ad_en,rps_lines_ending_with_terminal_punctution_mark,-0.21258621177264034,0.21258621177264034,-0.21258621177264034,-0.21258621177264034,1,-0.21122895782295129,0.21122895782295129,-0.21122895782295129,-0.21122895782295129,1,True
arxiv,rps_doc_unigram_entropy,rps_doc_frac_no_alph_words,-0.20465929165857275,0.20465929165857275,-0.20465929165857275,-0.20465929165857275,1,-0.21759475981288293,0.21759475981288293,-0.21759475981288293,-0.21759475981288293,1,True
arxiv,rps_doc_frac_chars_top_2gram,rps_doc_mean_word_length,-0.2027441937927533,0.2027441937927533,-0.2027441937927533,-0.2027441937927533,1,-0.20610477666901703,0.20610477666901703,-0.20610477666901703,-0.20610477666901703,1,True
arxiv,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,-0.1947965375544106,0.1947965375544106,-0.1947965375544106,-0.1947965375544106,1,-0.19079167651010964,0.19079167651010964,-0.19079167651010964,-0.19079167651010964,1,True
arxiv,dsir_math,rps_lines_ending_with_terminal_punctution_mark,-0.19423968995444324,0.19423968995444324,-0.19423968995444324,-0.19423968995444324,1,-0.1993949337510488,0.1993949337510488,-0.1993949337510488,-0.1993949337510488,1,True
arxiv,modernbert_cleanliness,rps_doc_num_sentences,-0.192347867172502,0.192347867172502,-0.192347867172502,-0.192347867172502,1,-0.21528534833334922,0.21528534833334922,-0.21528534833334922,-0.21528534833334922,1,True
arxiv,modernbert_professionalism,rps_doc_mean_word_length,-0.1837465868041862,0.1837465868041862,-0.1837465868041862,-0.1837465868041862,1,-0.17088240351682318,0.17088240351682318,-0.17088240351682318,-0.17088240351682318,1,True
arxiv,rps_doc_num_sentences,rps_doc_frac_no_alph_words,-0.18317705206418297,0.18317705206418297,-0.18317705206418297,-0.18317705206418297,1,-0.1861652641125051,0.1861652641125051,-0.1861652641125051,-0.1861652641125051,1,True
arxiv,dsir_books,rps_doc_mean_word_length,-0.175551874523652,0.175551874523652,-0.175551874523652,-0.175551874523652,1,-0.16360949241812855,0.16360949241812855,-0.16360949241812855,-0.16360949241812855,1,True
arxiv,dsir_wiki,rps_doc_mean_word_length,-0.17551428443603043,0.17551428443603043,-0.17551428443603043,-0.17551428443603043,1,-0.1630601664668565,0.1630601664668565,-0.1630601664668565,-0.1630601664668565,1,True
arxiv,dsir_math,rps_doc_mean_word_length,-0.17442169276723318,0.17442169276723318,-0.17442169276723318,-0.17442169276723318,1,-0.16505611042469245,0.16505611042469245,-0.16505611042469245,-0.16505611042469245,1,True
arxiv,fineweb_edu,rps_doc_frac_chars_top_2gram,-0.16506671273011417,0.16506671273011417,-0.16506671273011417,-0.16506671273011417,1,-0.17277839356274188,0.17277839356274188,-0.17277839356274188,-0.17277839356274188,1,True
arxiv,modernbert_cleanliness,rps_doc_unigram_entropy,-0.15357125622738718,0.15357125622738718,-0.15357125622738718,-0.15357125622738718,1,-0.14989660562257776,0.14989660562257776,-0.14989660562257776,-0.14989660562257776,1,True
arxiv,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,-0.15345398199214602,0.15345398199214602,-0.15345398199214602,-0.15345398199214602,1,-0.1582494235604626,0.1582494235604626,-0.1582494235604626,-0.1582494235604626,1,True
arxiv,rps_doc_frac_unique_words,rps_lines_numerical_chars_fraction,-0.1473182529452521,0.1473182529452521,-0.1473182529452521,-0.1473182529452521,1,-0.10559806976686309,0.10559806976686309,-0.10559806976686309,-0.10559806976686309,1,True
arxiv,fineweb_edu,ad_en,-0.13850701367334536,0.13850701367334536,-0.13850701367334536,-0.13850701367334536,1,-0.1471981368090348,0.1471981368090348,-0.1471981368090348,-0.1471981368090348,1,True
arxiv,modernbert_cleanliness,rps_doc_frac_no_alph_words,-0.13260186141556296,0.13260186141556296,-0.13260186141556296,-0.13260186141556296,1,-0.10187218667200554,0.10187218667200554,-0.10187218667200554,-0.10187218667200554,1,True
arxiv,rps_doc_word_count,rps_doc_frac_no_alph_words,-0.1318012202347835,0.1318012202347835,-0.1318012202347835,-0.1318012202347835,1,-0.15162898223884294,0.15162898223884294,-0.15162898223884294,-0.15162898223884294,1,True
arxiv,rps_lines_uppercase_letter_fraction,rps_doc_mean_word_length,-0.1310015753025686,0.1310015753025686,-0.1310015753025686,-0.1310015753025686,1,-0.07018094171548138,0.07018094171548138,-0.07018094171548138,-0.07018094171548138,1,True
arxiv,modernbert_cleanliness,rps_doc_word_count,-0.11647065725126947,0.11647065725126947,-0.11647065725126947,-0.11647065725126947,1,-0.14049813399134264,0.14049813399134264,-0.14049813399134264,-0.14049813399134264,1,True
arxiv,modernbert_cleanliness,rps_lines_ending_with_terminal_punctution_mark,-0.1148881705419377,0.1148881705419377,-0.1148881705419377,-0.1148881705419377,1,-0.12059368800781163,0.12059368800781163,-0.12059368800781163,-0.12059368800781163,1,True
arxiv,modernbert_readability,rps_doc_frac_unique_words,-0.11081122012922703,0.11081122012922703,-0.11081122012922703,-0.11081122012922703,1,-0.10539004690438672,0.10539004690438672,-0.10539004690438672,-0.10539004690438672,1,True
arxiv,modernbert_cleanliness,rps_doc_frac_unique_words,-0.10717867331708635,0.10717867331708635,-0.10717867331708635,-0.10717867331708635,1,-0.11844328439179325,0.11844328439179325,-0.11844328439179325,-0.11844328439179325,1,True
arxiv,fluency_en,rps_doc_frac_chars_top_2gram,-0.10599264626963882,0.10599264626963882,-0.10599264626963882,-0.10599264626963882,1,-0.11257829381317651,0.11257829381317651,-0.11257829381317651,-0.11257829381317651,1,True
arxiv,fineweb_edu,rps_lines_uppercase_letter_fraction,-0.10363811592460004,0.10363811592460004,-0.10363811592460004,-0.10363811592460004,1,-0.07568877839454916,0.07568877839454916,-0.07568877839454916,-0.07568877839454916,1,True
arxiv,qurater,rps_lines_uppercase_letter_fraction,-0.10318572839919281,0.10318572839919281,-0.10318572839919281,-0.10318572839919281,1,-0.09649718937802038,0.09649718937802038,-0.09649718937802038,-0.09649718937802038,1,True
arxiv,fineweb_edu,rps_doc_unigram_entropy,-0.10144360569529248,0.10144360569529248,-0.10144360569529248,-0.10144360569529248,1,-0.11849196659945281,0.11849196659945281,-0.11849196659945281,-0.11849196659945281,1,True
arxiv,ad_en,rps_doc_unigram_entropy,-0.10100104943045148,0.10100104943045148,-0.10100104943045148,-0.10100104943045148,1,-0.09638639274823843,0.09638639274823843,-0.09638639274823843,-0.09638639274823843,1,True
arxiv,modernbert_professionalism,rps_lines_numerical_chars_fraction,-0.10012756819477092,0.10012756819477092,-0.10012756819477092,-0.10012756819477092,1,-0.0861924709227475,0.0861924709227475,-0.0861924709227475,-0.0861924709227475,1,True
