quality_domain,metric_a,metric_b,mean_domain_spearman,conflict_strength,min_domain_spearman,max_domain_spearman,n_domains
arxiv,dsir_wiki,rps_doc_frac_no_alph_words,-0.6303406750984335,0.6303406750984335,-0.6303406750984335,-0.6303406750984335,1
arxiv,dsir_books,rps_doc_frac_no_alph_words,-0.6279940389793816,0.6279940389793816,-0.6279940389793816,-0.6279940389793816,1
arxiv,dsir_math,rps_doc_frac_no_alph_words,-0.5958758079914591,0.5958758079914591,-0.5958758079914591,-0.5958758079914591,1
arxiv,modernbert_professionalism,rps_doc_frac_no_alph_words,-0.5201581089132397,0.5201581089132397,-0.5201581089132397,-0.5201581089132397,1
arxiv,rps_doc_unigram_entropy,rps_doc_frac_chars_top_3gram,-0.4581025603256904,0.4581025603256904,-0.4581025603256904,-0.4581025603256904,1
arxiv,modernbert_readability,modernbert_professionalism,-0.43189968404704976,0.43189968404704976,-0.43189968404704976,-0.43189968404704976,1
arxiv,modernbert_readability,dsir_wiki,-0.3857855149405321,0.3857855149405321,-0.3857855149405321,-0.3857855149405321,1
arxiv,rps_doc_frac_no_alph_words,rps_lines_numerical_chars_fraction,-0.38171918032441987,0.38171918032441987,-0.38171918032441987,-0.38171918032441987,1
arxiv,modernbert_readability,dsir_books,-0.3811586524073961,0.3811586524073961,-0.3811586524073961,-0.3811586524073961,1
arxiv,ad_en,rps_doc_frac_no_alph_words,-0.3793208281972554,0.3793208281972554,-0.3793208281972554,-0.3793208281972554,1
arxiv,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,-0.3640574640368544,0.3640574640368544,-0.3640574640368544,-0.3640574640368544,1
arxiv,fineweb_edu,modernbert_professionalism,-0.3521910709543618,0.3521910709543618,-0.3521910709543618,-0.3521910709543618,1
arxiv,modernbert_readability,dsir_math,-0.3505131719324775,0.3505131719324775,-0.3505131719324775,-0.3505131719324775,1
arxiv,modernbert_readability,ad_en,-0.331829536294735,0.331829536294735,-0.331829536294735,-0.331829536294735,1
arxiv,rps_doc_word_count,rps_doc_frac_chars_top_3gram,-0.288189572744961,0.288189572744961,-0.288189572744961,-0.288189572744961,1
arxiv,modernbert_professionalism,rps_lines_uppercase_letter_fraction,-0.27945093916922426,0.27945093916922426,-0.27945093916922426,-0.27945093916922426,1
