metric_a,metric_b,mean_domain_spearman,conflict_strength,min_domain_spearman,max_domain_spearman,n_domains
rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,-0.43766216443559564,0.43766216443559564,-0.8190851869715882,0.5485394967537582,6
rps_doc_frac_no_alph_words,rps_lines_numerical_chars_fraction,-0.35689519961966576,0.35689519961966576,-0.5302498154807466,0.05987451995000304,7
modernbert_professionalism,rps_doc_mean_word_length,-0.322741220475599,0.322741220475599,-0.7047783617731058,-0.13551919108471408,7
dsir_wiki,rps_doc_frac_no_alph_words,-0.24688405067587946,0.24688405067587946,-0.6244504170460821,-0.03902435675713976,7
dsir_books,rps_doc_frac_no_alph_words,-0.2385479739771887,0.2385479739771887,-0.621767186689507,-0.005056771682093144,7
dsir_math,rps_doc_frac_no_alph_words,-0.21986141329617875,0.21986141329617875,-0.5884389876912718,0.04008259013554902,7
rps_doc_frac_no_alph_words,rps_doc_mean_word_length,-0.20927169388567682,0.20927169388567682,-0.6482387028870232,0.2931916971264656,7
rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,-0.20631502558622553,0.20631502558622553,-0.34009929080611845,-0.080066525473135,6
ad_en,rps_doc_unigram_entropy,-0.17319154125123767,0.17319154125123767,-0.3091547815370191,-0.06070788488173875,7
rps_doc_frac_no_alph_words,rps_lines_uppercase_letter_fraction,-0.1671501110086256,0.1671501110086256,-0.4552461735215733,0.28086079492014626,7
ad_en,rps_doc_num_sentences,-0.15647066262615422,0.15647066262615422,-0.2640173731850772,-0.04330929196674021,7
ad_en,rps_doc_word_count,-0.15082126321217706,0.15082126321217706,-0.2823674440088943,-0.012603081041114137,7
modernbert_professionalism,rps_lines_ending_with_terminal_punctution_mark,-0.13643942518077676,0.13643942518077676,-0.42308243100248394,0.3319270981130371,6
dsir_wiki,ad_en,-0.12825746409527813,0.12825746409527813,-0.30744786604381175,0.23177406705888398,7
dsir_math,ad_en,-0.1267128666566604,0.1267128666566604,-0.3027283459185146,0.21061265849722025,7
dsir_books,ad_en,-0.12657719634429762,0.12657719634429762,-0.2976882684553315,0.2305824509164728,7
rps_doc_num_sentences,rps_doc_frac_no_alph_words,-0.12450145212271567,0.12450145212271567,-0.3058662449365824,0.17336186772684323,7
dsir_books,rps_lines_ending_with_terminal_punctution_mark,-0.10445904229074882,0.10445904229074882,-0.5770663870134147,0.25904974932214986,6
rps_doc_frac_chars_top_3gram,rps_lines_numerical_chars_fraction,-0.09764785888244523,0.09764785888244523,-0.20099925345940628,0.008785443403895466,7
ad_en,rps_doc_frac_no_alph_words,-0.08757098286544004,0.08757098286544004,-0.40162285323384866,0.23458784765355475,7
fluency_en,rps_lines_numerical_chars_fraction,-0.08739220360240849,0.08739220360240849,-0.15756117896638006,-0.022637081467124297,7
rps_doc_frac_unique_words,rps_doc_frac_chars_top_3gram,-0.08361189262591599,0.08361189262591599,-0.4964633389254424,0.261214966420138,7
ad_en,rps_doc_frac_unique_words,-0.07962150831255764,0.07962150831255764,-0.1714379974084272,0.054800047136037,7
fluency_en,dsir_wiki,-0.0780589202418451,0.0780589202418451,-0.26225813809715215,0.09369488599027334,7
fluency_en,rps_doc_num_sentences,-0.07726378563985623,0.07726378563985623,-0.2407840713984506,0.03228653444189344,7
modernbert_cleanliness,rps_lines_numerical_chars_fraction,-0.07677913178698292,0.07677913178698292,-0.2153043074025121,0.0959533693870965,7
fluency_en,dsir_books,-0.07656704241059142,0.07656704241059142,-0.26135677402575636,0.09322855780684912,7
fluency_en,rps_doc_frac_chars_top_2gram,-0.07626933421856429,0.07626933421856429,-0.2060868459142564,0.03557695886793587,7
dsir_books,rps_doc_mean_word_length,-0.07326829351219123,0.07326829351219123,-0.41804447926087074,0.23753650458504977,7
rps_doc_unigram_entropy,rps_doc_mean_word_length,-0.06963346008157954,0.06963346008157954,-0.5131950944392445,0.18082582028104893,7
fineweb_edu,rps_doc_frac_chars_top_3gram,-0.06820039018241528,0.06820039018241528,-0.2650002973874147,0.0559572285057514,7
ad_en,rps_doc_frac_chars_top_2gram,-0.0674540732043586,0.0674540732043586,-0.2179813583532001,0.013484737017360214,7
dsir_wiki,rps_lines_ending_with_terminal_punctution_mark,-0.06629934309583486,0.06629934309583486,-0.5648263330103351,0.44557620700242456,6
fluency_en,dsir_math,-0.06571463195523516,0.06571463195523516,-0.24807052628770468,0.08612347289046059,7
modernbert_readability,rps_lines_uppercase_letter_fraction,-0.0652358186508372,0.0652358186508372,-0.40417116663066693,0.1606516729871781,7
modernbert_reasoning,ad_en,-0.06424055752126369,0.06424055752126369,-0.38813580585247887,0.10622943042123122,7
rps_doc_unigram_entropy,rps_doc_frac_no_alph_words,-0.05845480284225689,0.05845480284225689,-0.24252099933752047,0.31540067679458567,7
ad_en,rps_lines_ending_with_terminal_punctution_mark,-0.05739925818258763,0.05739925818258763,-0.21258621177264034,0.1428076470009175,6
rps_lines_numerical_chars_fraction,rps_doc_mean_word_length,-0.05545423574585484,0.05545423574585484,-0.47027246510153226,0.1445330084801886,7
dsir_math,rps_lines_ending_with_terminal_punctution_mark,-0.053663873670694674,0.053663873670694674,-0.5596101603213418,0.47896071707219784,6
modernbert_readability,rps_doc_mean_word_length,-0.05272424533189727,0.05272424533189727,-0.49538963688290494,0.3403154093907934,7
qurater,rps_lines_numerical_chars_fraction,-0.04857182735193564,0.04857182735193564,-0.19730769852002697,0.09114723536034641,7
rps_doc_word_count,rps_doc_frac_no_alph_words,-0.04296421822235472,0.04296421822235472,-0.2670712524766254,0.3194432512609649,7
rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,-0.038545369247390056,0.038545369247390056,-0.26599693131974383,0.19413684690522476,7
fluency_en,rps_doc_unigram_entropy,-0.03834969403632034,0.03834969403632034,-0.22618949803091007,0.09301594395059298,7
fineweb_edu,rps_doc_frac_chars_top_2gram,-0.03351739663556857,0.03351739663556857,-0.29711042311661506,0.18660072220016205,7
qurater,rps_lines_uppercase_letter_fraction,-0.03250841418987888,0.03250841418987888,-0.20958312333501333,0.23245026361370325,7
dsir_math,rps_doc_mean_word_length,-0.030658782962981863,0.030658782962981863,-0.41871380011501885,0.25042217561296853,7
fineweb_edu,rps_lines_ending_with_terminal_punctution_mark,-0.030384928374999686,0.030384928374999686,-0.3834953320373437,0.180152465334384,6
rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,-0.02911228718910631,0.02911228718910631,-0.1947965375544106,0.13786578057290186,7
rps_doc_num_sentences,rps_doc_mean_word_length,-0.027015188893484678,0.027015188893484678,-0.4631635152537566,0.18606771615841225,7
dsir_wiki,rps_doc_mean_word_length,-0.02351992323979904,0.02351992323979904,-0.40455157880051873,0.23749205047141983,7
modernbert_readability,rps_doc_frac_chars_top_3gram,-0.02351715028617925,0.02351715028617925,-0.1531706518825318,0.0933115426885824,7
modernbert_reasoning,rps_doc_mean_word_length,-0.023021320797950568,0.023021320797950568,-0.42886402890033326,0.22207980287171572,7
rps_lines_uppercase_letter_fraction,rps_lines_numerical_chars_fraction,-0.019959225779477365,0.019959225779477365,-0.3432679381110506,0.24362420343877578,7
rps_doc_frac_chars_top_2gram,rps_lines_numerical_chars_fraction,-0.018847313252640635,0.018847313252640635,-0.13652349334572422,0.08075924175728813,7
rps_lines_uppercase_letter_fraction,rps_doc_mean_word_length,-0.015992380798553658,0.015992380798553658,-0.3183612185921293,0.25833633330933353,7
qurater,rps_doc_mean_word_length,-0.013508392739346013,0.013508392739346013,-0.3473210981944533,0.33409304872238005,7
fluency_en,rps_doc_frac_chars_top_3gram,-0.011458932598109928,0.011458932598109928,-0.13654373436900394,0.098802646705463,7
modernbert_professionalism,rps_doc_frac_no_alph_words,-0.008699582760948616,0.008699582760948616,-0.5246009783540847,0.4681186550507596,7
rps_doc_unigram_entropy,rps_lines_ending_with_terminal_punctution_mark,-0.006774559670219518,0.006774559670219518,-0.28662364530721407,0.24432611934973816,6
ad_en,rps_doc_frac_chars_top_3gram,0.003932256108489087,0.0,-0.09277065230391282,0.08640563345687886,7
fineweb_edu,rps_doc_mean_word_length,0.01038525654517679,0.0,-0.34409244726042193,0.2504337734922199,7
fluency_en,rps_doc_word_count,0.010965395965973419,0.0,-0.21645438244030935,0.13783041567234564,7
modernbert_readability,ad_en,0.011152489668455065,0.0,-0.3055471652679027,0.17393867872680915,7
rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,0.017935125294178622,0.0,-0.15892565351981117,0.2431627555994027,7
